alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length,redraw_train_test,n_train,n_test
0.1,3,100,3,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,1,10.10753224977452,12.989591720545093,36.086715690864715,True,2400,600
0.1,3,100,3,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,2,10.635897940049047,9.915567237968219,30.467032415985457,True,2400,600
0.1,3,100,3,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,3,6.046131485288227,6.3208242256587965,18.687779936605818,True,2400,600
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,10.10753224977452,10.183421252571623,30.47437475491779,True,2400,600
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.635897940049047,10.183421252571623,31.002740445192273,True,2400,600
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,6.046131485288227,10.183421252571623,26.41297399043146,True,2400,600
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,10.10753224977452,16.485835669931177,43.079203589636876,True,2400,600
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,10.635897940049047,8.852745420363286,28.341388780775603,True,2400,600
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,6.046131485288227,6.308651420426187,18.66343432614058,True,2400,600
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.5,0.0,1,10.220763607221546,19.572348392205328,49.365460391632475,True,2400,600
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.5,0.0,2,10.840268356096162,148.97033934018344,308.78094703646275,True,2400,600
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.5,0.0,3,6.114960863788111,26.7829780519076,59.68091696760334,True,2400,600
0.1,3,100,4,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,1,10.220763607221546,11.519269945103417,33.25930349742836,True,2400,600
0.1,3,100,4,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,2,10.840268356096162,11.515511598450473,33.871291552997114,True,2400,600
0.1,3,100,4,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,3,6.114960863788111,8.102932713912395,22.32082629161291,True,2400,600
0.1,3,100,4,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,1,10.220763607221546,11.519269945103417,33.25930349742836,True,2400,600
0.1,3,100,4,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,2,10.840268356096162,11.515511598450473,33.871291552997114,True,2400,600
0.1,3,100,4,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,3,6.114960863788111,8.102932713912395,22.32082629161291,True,2400,600
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,10.220763607221546,9.61159429256808,29.443952192357713,True,2400,600
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.840268356096162,9.61159429256808,30.063456941232314,True,2400,600
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,6.114960863788111,9.61159429256808,25.33814944892426,True,2400,600
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,10.220763607221546,12.131190718251524,34.48314504372458,True,2400,600
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,10.840268356096162,11.171853700239382,33.183975756574895,True,2400,600
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,6.114960863788111,7.626455958800779,21.367872781389668,True,2400,600
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.5,0.0,1,10.485908233910578,14.550800058656662,39.58750835122359,True,2400,600
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.5,0.0,2,10.886019848267443,28.823496053068855,68.53301195440517,True,2400,600
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.5,0.0,3,6.199628552600616,13.846657298253835,33.8929431491083,True,2400,600
0.1,3,100,5,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,1,10.485908233910578,14.010007977181232,38.505924188273006,True,2400,600
0.1,3,100,5,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,2,10.886019848267443,13.755640176274241,38.39730020081589,True,2400,600
0.1,3,100,5,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,3,6.199628552600616,6.648825440652871,19.497279433906357,True,2400,600
0.1,3,100,5,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,1,10.485908233910578,14.010007977181232,38.505924188273006,True,2400,600
0.1,3,100,5,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,2,10.886019848267443,13.755640176274241,38.39730020081589,True,2400,600
0.1,3,100,5,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,3,6.199628552600616,6.648825440652871,19.497279433906357,True,2400,600
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,10.485908233910578,12.553151732951765,35.592211699814115,True,2400,600
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.886019848267443,12.553151732951765,35.992323314171024,True,2400,600
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,6.199628552600616,12.553151732951765,31.305932018504137,True,2400,600
0.1,3,100,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,10.485908233910578,12.553151732862453,35.592211699635484,True,2400,600
0.1,3,100,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,10.886019848267443,14.267166201744313,39.42035225175612,True,2400,600
0.1,3,100,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,6.199628552600616,5.245832749202023,16.691294051004665,True,2400,600
0.1,3,100,6,CQHR,Gaussian,cqr,native,0.5,0.0,1,9.942179401007843,14.116761215405855,38.175701831819524,True,2400,600
0.1,3,100,6,CQHR,Gaussian,cqr,native,0.5,0.0,2,11.146535677052839,28.378340406748084,67.903216490549,True,2400,600
0.1,3,100,6,CQHR,Gaussian,cqr,native,0.5,0.0,3,5.842222472242946,15.77885308563316,37.399928643509305,True,2400,600
