alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,contamination_fraction,contamination_multiplier,redraw_train_test,n_train,n_test
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,9,4.673229715369278,0.0,10.0,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,10,2.739059242374063,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,1,19.05010957600187,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,2,19.05010957600187,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,3,19.05010957600187,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,4,19.05010957600187,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,5,19.05010957600187,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,6,19.05010957600187,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,7,19.05010957600187,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,8,19.05010957600187,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,9,19.05010957600187,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,10,19.05010957600187,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,1,18.71538634547435,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,2,20.821874472946043,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,3,22.092568589920013,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,4,15.832747753903039,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,5,14.429200721393922,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,6,10.574742983784779,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,7,11.883708578571825,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,8,7.975073171576739,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,9,5.604540683410816,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,10,2.6163060466604406,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,1,22.837544618734302,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,2,21.11358521935925,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,3,20.443467100414065,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,4,17.233452713419204,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,5,15.257949996991076,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,6,12.412275224119918,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,7,10.644768956849614,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,8,8.261982054364928,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,9,5.421596333342489,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,10,2.7331917822771814,0.0,10.0,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,1,25.84878109601855,0.0,10.0,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,2,22.39211161257428,0.0,10.0,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,3,20.145960941511746,0.0,10.0,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,4,18.676269601554445,0.0,10.0,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,5,16.695882672975138,0.0,10.0,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,6,14.409260347817723,0.0,10.0,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,7,11.0741387429,0.0,10.0,True,7200,800
