alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,5,2.7322749427332242,True,7200,800,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,6,2.4204054434863322,True,7200,800,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,7,3.1009087612196105,True,7200,800,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,8,2.9431049439118375,True,7200,800,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,9,2.854102635970078,True,7200,800,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,10,3.7563746872083774,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,1,2.5754282607527026,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,2,2.5754282607527026,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,3,2.5754282607527026,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,4,2.5754282607527026,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,5,2.5754282607527026,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,6,2.5754282607527026,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,7,2.5754282607527026,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,8,2.5754282607527026,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,9,2.5754282607527026,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,10,2.5754282607527026,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,1,2.350872334190563,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,2,2.3240178878462174,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,3,2.128851539167202,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,4,2.171626866182322,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,5,2.0215390789037473,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,6,3.406361733680443,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,7,2.6165487118517863,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,8,2.2378597198687196,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,9,2.401603610311337,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,10,2.7294069360874076,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,1,2.6749785530388634,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,2,2.8322820545541108,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,3,2.8049455282726172,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,4,2.8685055979049205,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,5,2.5748588682635387,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,6,2.7829973112326107,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,7,2.485042023221837,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,8,2.5910013141341706,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,9,2.5117519179792183,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,10,2.4264905407300463,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,1,2.846650829945329,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,2,2.6903825452287737,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,3,3.2381880532122764,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,4,3.4510470456899105,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,5,2.784583547319158,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,6,3.469516520854719,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,7,2.0989276309132725,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,8,2.2719583210497083,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,9,2.4114491844549084,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,10,2.9972982107858552,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,1,2.652746601152018,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,2,2.652746601152018,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,3,2.652746601152018,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,4,2.652746601152018,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,5,2.652746601152018,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,6,2.652746601152018,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,7,2.652746601152018,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,8,2.652746601152018,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,9,2.652746601152018,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,10,2.652746601152018,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,1,2.796999675700805,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,2,2.6354362835695433,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,3,2.665386279136726,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,4,2.5256613877744956,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,5,2.7177373635831192,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,6,2.8261143658656636,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,7,2.223202960454886,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,8,2.0748684236311146,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,9,2.411449184454909,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,10,2.2193309609701615,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,1,2.570022163081411,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,2,2.288259957865039,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,3,2.4009770292941743,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,4,2.401283619588047,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,5,2.866129562856778,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,6,2.5269885701012136,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,7,2.642474432991725,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,8,2.3925869117545036,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,9,2.5387080696237407,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,10,2.4404834882753006,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,1,2.858489713918477,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,2,2.2176064072355954,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,3,2.571146026504514,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,4,2.646609655017228,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,5,2.586678864496343,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,6,2.6034795404154796,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,7,2.530139574214621,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,8,2.4965970887748408,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,9,2.4765997791583754,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,10,2.3875581566285113,True,7200,800,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,1,2.521926670199101,True,7200,800,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,2,2.521926670199101,True,7200,800,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,3,2.521926670199101,True,7200,800,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,4,2.521926670199101,True,7200,800,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,5,2.521926670199101,True,7200,800,1
