alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.1,10,100,8,Empirical_copula,Gaussian,absolute_residual,0.85125,14164903094.055544,20.42639609402935,0.002002716064453125,0.6,equicorrelated,True,7200,800
0.2,10,100,8,TSCP_R,Gaussian,absolute_residual,0.79875,7160390060.566158,19.385685463335296,0.0029973983764648438,0.6,equicorrelated,True,7200,800
0.2,10,100,8,Point_CHR,Gaussian,absolute_residual,0.8025,7134618589.627804,21.219927840905754,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,8,Unscaled,Gaussian,absolute_residual,0.77375,627017833438.2634,15.126135598121454,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,8,Empirical_copula,Gaussian,absolute_residual,0.73375,3624825729.1441054,17.94181850409828,0.0009996891021728516,0.6,equicorrelated,True,7200,800
0.05,10,100,9,TSCP_R,Gaussian,absolute_residual,0.9575,104520783330.20784,25.165718633564975,0.0040051937103271484,0.6,equicorrelated,True,7200,800
0.05,10,100,9,Point_CHR,Gaussian,absolute_residual,0.95875,130616951807.99829,26.27067709880715,0.0009999275207519531,0.6,equicorrelated,True,7200,800
0.05,10,100,9,Unscaled,Gaussian,absolute_residual,0.915,6317487813888.375,19.056995932854083,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,9,Empirical_copula,Gaussian,absolute_residual,0.84125,15686553179.286016,19.79550053057996,0.0009999275207519531,0.6,equicorrelated,True,7200,800
0.1,10,100,9,TSCP_R,Gaussian,absolute_residual,0.815,6720284016.757089,19.243269532216267,0.0030100345611572266,0.6,equicorrelated,True,7200,800
0.1,10,100,9,Point_CHR,Gaussian,absolute_residual,0.8925,21988592497.578278,23.688810388940233,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,9,Unscaled,Gaussian,absolute_residual,0.86875,2510112825765.7656,17.37678086205938,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,9,Empirical_copula,Gaussian,absolute_residual,0.785,5441517038.336371,19.08449829222082,0.000993967056274414,0.6,equicorrelated,True,7200,800
0.2,10,100,9,TSCP_R,Gaussian,absolute_residual,0.71,2075374061.2460537,17.200921692022963,0.001999378204345703,0.6,equicorrelated,True,7200,800
0.2,10,100,9,Point_CHR,Gaussian,absolute_residual,0.82,7741554859.471141,22.453634275876396,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,9,Unscaled,Gaussian,absolute_residual,0.76375,494996386982.0279,14.77271103861398,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,9,Empirical_copula,Gaussian,absolute_residual,0.71875,2401974554.894911,18.281992952955157,0.0009958744049072266,0.6,equicorrelated,True,7200,800
