alpha,n_dim,n_cal,trial,method,noise_type,score_type,redraw_train_test,n_train,n_test,test_coverage,coverage_volume,runtime,n_shapes,grid_size,template_calibration_size
0.1,2,30,82,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9116666666666666,10.084013504928523,0.10762749996501952,2,20,15
0.1,2,30,83,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9383333333333334,11.266430361638887,0.10207949997857213,1,20,15
0.1,2,30,84,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9716666666666667,19.038468889899107,0.1351857999106869,2,20,15
0.1,2,30,85,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9716666666666667,41.456195361470805,0.14051369996741414,2,20,15
0.1,2,30,86,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.97,17.31579394200726,0.1258689999813214,2,20,15
0.1,2,30,87,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.91,9.737588074074857,0.12648279999848455,2,20,15
0.1,2,30,88,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.995,21.413121655653057,0.15218680002726614,1,20,15
0.1,2,30,89,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9366666666666666,11.704820223901764,0.1086001000367105,1,20,15
0.1,2,30,90,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9683333333333334,12.23233234867551,0.11367160000372678,2,20,15
0.1,2,30,91,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9866666666666667,23.60416319176103,0.10423059994354844,1,20,15
0.1,2,30,92,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.955,15.792237365175488,0.10729290009476244,2,20,15
0.1,2,30,93,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.925,12.975139862794965,0.12169539998285472,2,20,15
0.1,2,30,94,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9566666666666667,10.74318857037903,0.1217526999535039,1,20,15
0.1,2,30,95,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9933333333333333,22.97360180985943,0.10622229997534305,2,20,15
0.1,2,30,96,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9983333333333333,42.76772339153122,0.1030647000297904,2,20,15
0.1,2,30,97,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.89,9.510725626383232,0.15519510000012815,2,20,15
0.1,2,30,98,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9916666666666667,30.995371431069742,0.13589430006686598,1,20,15
0.1,2,30,99,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8783333333333333,8.761828923084474,0.11973559996113181,1,20,15
