alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,19,Point_CHR,Gaussian,absolute_residual,0.95125,46439.7263826036,3.5015301399505536,0.0,True,7200,800,1
0.1,10,100,19,Unscaled,Gaussian,absolute_residual,0.91375,15720.955933037922,2.6281363620218867,0.0,True,7200,800,1
0.1,10,100,19,Empirical_copula,Gaussian,absolute_residual,0.885,12444.863715160107,2.9809944480020807,0.000997781753540039,True,7200,800,1
0.1,10,100,20,TSCP_R,Gaussian,absolute_residual,0.88125,9508.564559616805,2.7173850458756426,0.004002571105957031,True,7200,800,1
0.1,10,100,20,Point_CHR,Gaussian,absolute_residual,0.91,18795.909533173053,3.025517774780246,0.0,True,7200,800,1
0.1,10,100,20,Unscaled,Gaussian,absolute_residual,0.87,7235.002680549947,2.431889679327274,0.0,True,7200,800,1
0.1,10,100,20,Empirical_copula,Gaussian,absolute_residual,0.81,4268.0602500072055,2.621809950169549,0.001995563507080078,True,7200,800,1
0.1,10,100,21,TSCP_R,Gaussian,absolute_residual,0.915,23885.71856238274,3.219693915204456,0.0050029754638671875,True,7200,800,1
0.1,10,100,21,Point_CHR,Gaussian,absolute_residual,0.89,25876.52541317721,3.4604877654688297,0.0,True,7200,800,1
0.1,10,100,21,Unscaled,Gaussian,absolute_residual,0.95875,29672.70684171897,2.8005009000951193,0.0,True,7200,800,1
0.1,10,100,21,Empirical_copula,Gaussian,absolute_residual,0.80875,7080.079579635605,3.0340557480020056,0.0010008811950683594,True,7200,800,1
0.1,10,100,22,TSCP_R,Gaussian,absolute_residual,0.875,10822.156821687993,2.8690328032125567,0.004005908966064453,True,7200,800,1
0.1,10,100,22,Point_CHR,Gaussian,absolute_residual,0.91125,20728.844090989747,3.2628758690301414,0.0,True,7200,800,1
0.1,10,100,22,Unscaled,Gaussian,absolute_residual,0.90375,12667.305176684476,2.571984952224129,0.0,True,7200,800,1
0.1,10,100,22,Empirical_copula,Gaussian,absolute_residual,0.78625,5158.2620891267225,2.7688178245982975,0.0009965896606445312,True,7200,800,1
0.1,10,100,23,TSCP_R,Gaussian,absolute_residual,0.89625,11711.443528774927,2.744784575303949,0.004010438919067383,True,7200,800,1
0.1,10,100,23,Point_CHR,Gaussian,absolute_residual,0.9,11483.481010107904,2.875270295890266,0.0,True,7200,800,1
0.1,10,100,23,Unscaled,Gaussian,absolute_residual,0.915,11714.432364814891,2.5519497876571324,0.0,True,7200,800,1
0.1,10,100,23,Empirical_copula,Gaussian,absolute_residual,0.80875,4775.946475109312,2.6378583055513047,0.001995086669921875,True,7200,800,1
