alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,df,redraw_train_test,n_train,n_test
0.1,10,30,5,Point_CHR,t,absolute_residual,6,46.1807249229401,1.5,True,7200,800
0.1,10,30,5,Point_CHR,t,absolute_residual,7,132.2173698740118,1.5,True,7200,800
0.1,10,30,5,Point_CHR,t,absolute_residual,8,66.51258184547682,1.5,True,7200,800
0.1,10,30,5,Point_CHR,t,absolute_residual,9,21.078621824653467,1.5,True,7200,800
0.1,10,30,5,Point_CHR,t,absolute_residual,10,50.37384339453598,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,t,absolute_residual,1,28.73536587565106,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,t,absolute_residual,2,8.913430146466403,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,t,absolute_residual,3,45.44498265412392,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,t,absolute_residual,4,3.5851313904391544,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,t,absolute_residual,5,9.722344785195052,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,t,absolute_residual,6,17.37818822928648,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,t,absolute_residual,7,23.730424302566295,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,t,absolute_residual,8,12.448129378667076,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,t,absolute_residual,9,21.078621824653464,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,t,absolute_residual,10,7.1937189411726346,1.5,True,7200,800
0.1,10,30,6,TSCP_R,t,absolute_residual,1,57.610532294215105,1.5,True,7200,800
0.1,10,30,6,TSCP_R,t,absolute_residual,2,26.96708282336412,1.5,True,7200,800
0.1,10,30,6,TSCP_R,t,absolute_residual,3,20.216778879650263,1.5,True,7200,800
0.1,10,30,6,TSCP_R,t,absolute_residual,4,171.94843879511967,1.5,True,7200,800
0.1,10,30,6,TSCP_R,t,absolute_residual,5,66.45310391725408,1.5,True,7200,800
0.1,10,30,6,TSCP_R,t,absolute_residual,6,24.489034225575498,1.5,True,7200,800
0.1,10,30,6,TSCP_R,t,absolute_residual,7,53.34152752240452,1.5,True,7200,800
0.1,10,30,6,TSCP_R,t,absolute_residual,8,13.073143189324659,1.5,True,7200,800
0.1,10,30,6,TSCP_R,t,absolute_residual,9,36.313628424923884,1.5,True,7200,800
0.1,10,30,6,TSCP_R,t,absolute_residual,10,25.74104338463228,1.5,True,7200,800
0.1,10,30,6,Point_CHR,t,absolute_residual,1,53.30062885285485,1.5,True,7200,800
0.1,10,30,6,Point_CHR,t,absolute_residual,2,94.77223377322169,1.5,True,7200,800
0.1,10,30,6,Point_CHR,t,absolute_residual,3,32.9480349281976,1.5,True,7200,800
0.1,10,30,6,Point_CHR,t,absolute_residual,4,619.9289513999082,1.5,True,7200,800
0.1,10,30,6,Point_CHR,t,absolute_residual,5,79.41998416468492,1.5,True,7200,800
0.1,10,30,6,Point_CHR,t,absolute_residual,6,54.53493995587769,1.5,True,7200,800
0.1,10,30,6,Point_CHR,t,absolute_residual,7,23.552439632952208,1.5,True,7200,800
0.1,10,30,6,Point_CHR,t,absolute_residual,8,61.866934469910554,1.5,True,7200,800
0.1,10,30,6,Point_CHR,t,absolute_residual,9,34.45635884915667,1.5,True,7200,800
0.1,10,30,6,Point_CHR,t,absolute_residual,10,125.16835471084677,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,t,absolute_residual,1,26.58836211061917,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,t,absolute_residual,2,8.611727519036378,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,t,absolute_residual,3,7.392502328626648,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,t,absolute_residual,4,56.331469651677835,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,t,absolute_residual,5,30.583061796366717,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,t,absolute_residual,6,7.902109129806921,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,t,absolute_residual,7,23.552439632952204,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,t,absolute_residual,8,5.621701218606168,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,t,absolute_residual,9,16.053716637776525,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,t,absolute_residual,10,11.373750748085413,1.5,True,7200,800
0.1,10,30,7,TSCP_R,t,absolute_residual,1,22.02786078399035,1.5,True,7200,800
0.1,10,30,7,TSCP_R,t,absolute_residual,2,11.784574434992,1.5,True,7200,800
0.1,10,30,7,TSCP_R,t,absolute_residual,3,56.798935169585306,1.5,True,7200,800
0.1,10,30,7,TSCP_R,t,absolute_residual,4,15.941953846967328,1.5,True,7200,800
0.1,10,30,7,TSCP_R,t,absolute_residual,5,16.28096823854311,1.5,True,7200,800
0.1,10,30,7,TSCP_R,t,absolute_residual,6,19.870732928696537,1.5,True,7200,800
