alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,30,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,3.541360975883513,1.04780822921739,3.3650909303268453
0.1,10,30,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,28.542996206742487,4.570470548485765,27.917542976012854
0.1,10,30,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,25.556626802382542,4.485335662564752,25.75136304039661
0.1,10,30,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,23.09829334585887,3.806462108292395,22.588626236605386
0.1,10,30,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,20.122323715383253,3.4356773490560384,20.216826321183206
0.1,10,30,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,17.090438291362958,3.242829172705573,16.825943231227193
0.1,10,30,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,14.160861819120342,2.3385719913893,14.173743523255306
0.1,10,30,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,11.545968462261344,1.9388247691989364,11.379451599581632
0.1,10,30,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,8.574773125251339,1.5096419473521547,8.339617079272488
0.1,10,30,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,5.733100882536365,0.9773091202930704,5.668776510409936
0.1,10,30,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,2.8499220618482677,0.43968624052296484,2.7883622131365517
0.1,10,30,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,20.12562964057553,2.0186069494215064,20.055701773341163
0.1,10,30,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,20.12562964057553,2.0186069494215064,20.055701773341163
0.1,10,30,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,20.12562964057553,2.0186069494215064,20.055701773341163
0.1,10,30,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,20.12562964057553,2.0186069494215064,20.055701773341163
0.1,10,30,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,20.12562964057553,2.0186069494215064,20.055701773341163
0.1,10,30,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,20.12562964057553,2.0186069494215064,20.055701773341163
0.1,10,30,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,20.12562964057553,2.0186069494215064,20.055701773341163
0.1,10,30,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,20.12562964057553,2.0186069494215064,20.055701773341163
0.1,10,30,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,20.12562964057553,2.0186069494215064,20.055701773341163
0.1,10,30,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,20.12562964057553,2.0186069494215064,20.055701773341163
0.1,10,50,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,24.698444665643738,5.117779518893654,24.154018413426584
0.1,10,50,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,22.721500855164727,3.5432731268173603,22.38336495065003
0.1,10,50,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,20.171902263163307,3.4639146317947356,19.833715438550815
0.1,10,50,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,17.47438090174395,2.987778474662528,17.082373183114953
0.1,10,50,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,14.909290199521681,2.5816981196264086,14.472278256834855
0.1,10,50,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,12.751288724697172,2.0874479259667837,12.625461309205186
0.1,10,50,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,9.992903277045382,1.8142749467197736,9.808193297815372
0.1,10,50,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,7.582099218610796,1.3921984750688163,7.362540569717754
0.1,10,50,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,4.923957754729962,0.8237858484975409,4.859493031269621
0.1,10,50,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.4980136370971517,0.4233669063903974,2.4542456540728894
0.1,10,50,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,29.87655245630115,7.638712158406801,28.41732082341602
0.1,10,50,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,27.75070658380134,6.425389326831982,27.208425658374104
0.1,10,50,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,24.567503386532074,6.11958679589527,23.260041855980866
0.1,10,50,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,20.998085215123442,4.709969965703459,19.940881531776384
0.1,10,50,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,18.16279998945837,4.010508193545534,17.47687545132894
