alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,100,Point_CHR,Gaussian,5,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.307664815581353,1.8398816361301764,15.178724346559807
0.1,10,100,Point_CHR,Gaussian,6,0.6,equicorrelated,absolute_residual,True,7200,800,200,12.649930466610794,1.7706969308916507,12.467017423545887
0.1,10,100,Point_CHR,Gaussian,7,0.6,equicorrelated,absolute_residual,True,7200,800,200,10.213586302437491,1.312524262925544,10.055767032664598
0.1,10,100,Point_CHR,Gaussian,8,0.6,equicorrelated,absolute_residual,True,7200,800,200,7.605401465885834,0.923444577025903,7.488560233103973
0.1,10,100,Point_CHR,Gaussian,9,0.6,equicorrelated,absolute_residual,True,7200,800,200,5.093183932362201,0.6795846614323191,5.041242469304092
0.1,10,100,Point_CHR,Gaussian,10,0.6,equicorrelated,absolute_residual,True,7200,800,200,2.5399729997379943,0.3048673290876863,2.51564223862032
0.1,10,100,TSCP_R,Gaussian,1,0.6,equicorrelated,absolute_residual,True,7200,800,200,24.67661720986954,1.9955922495639995,24.511074070565037
0.1,10,100,TSCP_R,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,22.32468242054501,1.809027891303303,22.205326928698973
0.1,10,100,TSCP_R,Gaussian,3,0.6,equicorrelated,absolute_residual,True,7200,800,200,19.947980741736743,1.4721223361197433,19.850751090586176
0.1,10,100,TSCP_R,Gaussian,4,0.6,equicorrelated,absolute_residual,True,7200,800,200,17.359446869817894,1.450229417832314,17.2366076502043
0.1,10,100,TSCP_R,Gaussian,5,0.6,equicorrelated,absolute_residual,True,7200,800,200,14.907447183975494,1.2013946999040934,14.8646981163686
0.1,10,100,TSCP_R,Gaussian,6,0.6,equicorrelated,absolute_residual,True,7200,800,200,12.378825408882049,1.0262615825837624,12.425943572204858
0.1,10,100,TSCP_R,Gaussian,7,0.6,equicorrelated,absolute_residual,True,7200,800,200,9.897780108622301,0.8124147147211879,9.898134828095053
0.1,10,100,TSCP_R,Gaussian,8,0.6,equicorrelated,absolute_residual,True,7200,800,200,7.429103332592558,0.5362870476943243,7.424129882111124
0.1,10,100,TSCP_R,Gaussian,9,0.6,equicorrelated,absolute_residual,True,7200,800,200,4.977111543578751,0.37698838662008777,4.985383525961119
0.1,10,100,TSCP_R,Gaussian,10,0.6,equicorrelated,absolute_residual,True,7200,800,200,2.4759906573973653,0.18999641343203075,2.4704762097312822
0.1,10,100,Unscaled,Gaussian,1,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.995892742056895,1.2880417086570355,18.969182692227548
0.1,10,100,Unscaled,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.995892742056895,1.2880417086570355,18.969182692227548
0.1,10,100,Unscaled,Gaussian,3,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.995892742056895,1.2880417086570355,18.969182692227548
0.1,10,100,Unscaled,Gaussian,4,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.995892742056895,1.2880417086570355,18.969182692227548
0.1,10,100,Unscaled,Gaussian,5,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.995892742056895,1.2880417086570355,18.969182692227548
0.1,10,100,Unscaled,Gaussian,6,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.995892742056895,1.2880417086570355,18.969182692227548
0.1,10,100,Unscaled,Gaussian,7,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.995892742056895,1.2880417086570355,18.969182692227548
0.1,10,100,Unscaled,Gaussian,8,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.995892742056895,1.2880417086570355,18.969182692227548
0.1,10,100,Unscaled,Gaussian,9,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.995892742056895,1.2880417086570355,18.969182692227548
0.1,10,100,Unscaled,Gaussian,10,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.995892742056895,1.2880417086570355,18.969182692227548
0.2,10,100,Empirical_copula,Gaussian,1,0.6,equicorrelated,absolute_residual,True,7200,800,200,20.5648083843916,2.0409550775492793,20.429801082220976
0.2,10,100,Empirical_copula,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.794029065249052,1.877746338418222,18.96315749522875
0.2,10,100,Empirical_copula,Gaussian,3,0.6,equicorrelated,absolute_residual,True,7200,800,200,16.80626731577409,1.7076454298642463,16.65363853547427
0.2,10,100,Empirical_copula,Gaussian,4,0.6,equicorrelated,absolute_residual,True,7200,800,200,14.579516560012953,1.404048579140655,14.465664676287437
0.2,10,100,Empirical_copula,Gaussian,5,0.6,equicorrelated,absolute_residual,True,7200,800,200,12.538500718289248,1.2551886059760193,12.34195825528936
0.2,10,100,Empirical_copula,Gaussian,6,0.6,equicorrelated,absolute_residual,True,7200,800,200,10.315004180810798,1.0634909740614047,10.303912641336657
0.2,10,100,Empirical_copula,Gaussian,7,0.6,equicorrelated,absolute_residual,True,7200,800,200,8.281350415899173,0.8528072795751671,8.131077825735947
0.2,10,100,Empirical_copula,Gaussian,8,0.6,equicorrelated,absolute_residual,True,7200,800,200,6.256490091469423,0.6309255166007188,6.1971159374081175
0.2,10,100,Empirical_copula,Gaussian,9,0.6,equicorrelated,absolute_residual,True,7200,800,200,4.170970446927203,0.3699813041418491,4.191648460964588
0.2,10,100,Empirical_copula,Gaussian,10,0.6,equicorrelated,absolute_residual,True,7200,800,200,2.0679100642116293,0.19929218288309125,2.061201090333632
0.2,10,100,Point_CHR,Gaussian,1,0.6,equicorrelated,absolute_residual,True,7200,800,200,21.86441161181726,3.0186267112544005,21.615489709023272
0.2,10,100,Point_CHR,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,19.565869116912527,2.2779422051902403,19.353281113069848
0.2,10,100,Point_CHR,Gaussian,3,0.6,equicorrelated,absolute_residual,True,7200,800,200,17.533173122679653,2.1066729211986934,17.329214855360068
