alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test
0.1,2,30,22,Unscaled,Gaussian,absolute_residual,0.9383333333333334,15.888383996565551,3.986023582038314,0.0,True,2400,600
0.1,2,30,23,TSCP_R,Gaussian,absolute_residual,0.9433333333333334,10.405383472221539,4.482471616312002,0.0010066032409667969,True,2400,600
0.1,2,30,23,Point_CHR,Gaussian,absolute_residual,0.9716666666666667,12.967092223345757,4.975754578599027,0.0,True,2400,600
0.1,2,30,23,Unscaled,Gaussian,absolute_residual,0.9433333333333334,16.08993163323344,4.011225702105709,0.0,True,2400,600
0.1,2,30,24,TSCP_R,Gaussian,absolute_residual,0.8883333333333333,7.670323243865341,3.7474028263167236,0.0010161399841308594,True,2400,600
0.1,2,30,24,Point_CHR,Gaussian,absolute_residual,0.965,12.145677059814348,4.428076488012234,0.0,True,2400,600
0.1,2,30,24,Unscaled,Gaussian,absolute_residual,0.885,11.183122451781902,3.3441175894070923,0.0,True,2400,600
0.1,2,30,25,TSCP_R,Gaussian,absolute_residual,0.8966666666666666,7.51360797052885,3.7904150692206615,0.0009996891021728516,True,2400,600
0.1,2,30,25,Point_CHR,Gaussian,absolute_residual,0.8516666666666667,6.6736465571637735,3.3053208373845084,0.0,True,2400,600
0.1,2,30,25,Unscaled,Gaussian,absolute_residual,0.88,10.925145838559862,3.305320837461904,0.0,True,2400,600
0.1,2,30,26,TSCP_R,Gaussian,absolute_residual,0.9683333333333334,12.309251128954513,4.991863506407367,0.0,True,2400,600
0.1,2,30,26,Point_CHR,Gaussian,absolute_residual,0.9833333333333333,16.00552878995003,6.283895305324303,0.0009937286376953125,True,2400,600
0.1,2,30,26,Unscaled,Gaussian,absolute_residual,0.9333333333333333,12.342949264140056,3.5132533731770694,0.0,True,2400,600
0.1,2,30,27,TSCP_R,Gaussian,absolute_residual,0.95,10.751583974567351,5.331754263571592,0.0,True,2400,600
0.1,2,30,27,Point_CHR,Gaussian,absolute_residual,0.9716666666666667,20.2415141103419,9.119771122681286,0.0010154247283935547,True,2400,600
0.1,2,30,27,Unscaled,Gaussian,absolute_residual,0.9283333333333333,12.567189385118011,3.545023185413321,0.0,True,2400,600
0.1,2,30,28,TSCP_R,Gaussian,absolute_residual,0.855,6.71504571871214,3.8356246609374125,0.001007080078125,True,2400,600
0.1,2,30,28,Point_CHR,Gaussian,absolute_residual,0.8166666666666667,5.796275829614027,3.416583881562086,0.0009996891021728516,True,2400,600
0.1,2,30,28,Unscaled,Gaussian,absolute_residual,0.8633333333333333,9.071857742737631,3.011952480159279,0.0,True,2400,600
0.1,2,30,29,TSCP_R,Gaussian,absolute_residual,0.8566666666666667,7.153895947060548,3.728466977907013,0.0010004043579101562,True,2400,600
0.1,2,30,29,Point_CHR,Gaussian,absolute_residual,0.8783333333333333,7.608029583490508,4.012938474886512,0.0,True,2400,600
0.1,2,30,29,Unscaled,Gaussian,absolute_residual,0.89,10.620849745061454,3.2589645203747546,0.0,True,2400,600
0.1,2,30,30,TSCP_R,Gaussian,absolute_residual,0.9683333333333334,11.966845011982812,5.145577492545463,0.000993967056274414,True,2400,600
0.1,2,30,30,Point_CHR,Gaussian,absolute_residual,0.765,4.571127798116927,3.2902513777561615,0.0,True,2400,600
0.1,2,30,30,Unscaled,Gaussian,absolute_residual,0.9416666666666667,13.077962388819008,3.616346552643843,0.0,True,2400,600
0.1,2,30,31,TSCP_R,Gaussian,absolute_residual,0.945,9.262911964037887,4.264969053092226,0.00099945068359375,True,2400,600
0.1,2,30,31,Point_CHR,Gaussian,absolute_residual,0.9833333333333333,15.16794868022907,4.739062045667257,0.0,True,2400,600
0.1,2,30,31,Unscaled,Gaussian,absolute_residual,0.8533333333333334,9.013715410867356,3.0022850315830034,0.0,True,2400,600
0.1,2,30,32,TSCP_R,Gaussian,absolute_residual,0.98,13.622120839841251,5.691717164006211,0.0010073184967041016,True,2400,600
0.1,2,30,32,Point_CHR,Gaussian,absolute_residual,0.9833333333333333,15.137361879938199,5.815155848151747,0.0,True,2400,600
0.1,2,30,32,Unscaled,Gaussian,absolute_residual,0.985,24.232313084790004,4.922632739174232,0.0,True,2400,600
0.1,2,30,33,TSCP_R,Gaussian,absolute_residual,0.915,8.822886905172217,4.482471239135346,0.0,True,2400,600
0.1,2,30,33,Point_CHR,Gaussian,absolute_residual,0.92,8.877919072419722,4.26394002730802,0.0010001659393310547,True,2400,600
0.1,2,30,33,Unscaled,Gaussian,absolute_residual,0.95,16.429021177625653,4.0532728970087435,0.0,True,2400,600
0.1,2,30,34,TSCP_R,Gaussian,absolute_residual,0.975,12.486800442589747,4.921835416932976,0.0,True,2400,600
0.1,2,30,34,Point_CHR,Gaussian,absolute_residual,0.9833333333333333,18.51516510940004,4.921052014575075,0.0009999275207519531,True,2400,600
0.1,2,30,34,Unscaled,Gaussian,absolute_residual,0.885,10.340059879514508,3.215596348970826,0.0,True,2400,600
0.1,2,30,35,TSCP_R,Gaussian,absolute_residual,0.945,9.447606090623388,4.084489594957503,0.0010025501251220703,True,2400,600
0.1,2,30,35,Point_CHR,Gaussian,absolute_residual,0.9116666666666666,8.0828219985082,3.7044471820444116,0.0009999275207519531,True,2400,600
0.1,2,30,35,Unscaled,Gaussian,absolute_residual,0.9316666666666666,13.010243363666671,3.606971494712243,0.0,True,2400,600
0.1,2,30,36,TSCP_R,Gaussian,absolute_residual,0.925,9.059764200666242,3.9850257468258814,0.0009884834289550781,True,2400,600
0.1,2,30,36,Point_CHR,Gaussian,absolute_residual,0.9433333333333334,12.893880074952254,3.9176639286419985,0.0,True,2400,600
0.1,2,30,36,Unscaled,Gaussian,absolute_residual,0.93,14.108960246300024,3.75618959136783,0.0,True,2400,600
0.1,2,30,37,TSCP_R,Gaussian,absolute_residual,0.83,5.662170462817942,3.2286907680507975,0.0010073184967041016,True,2400,600
0.1,2,30,37,Point_CHR,Gaussian,absolute_residual,0.965,10.183807723059894,4.352546449105439,0.0,True,2400,600
0.1,2,30,37,Unscaled,Gaussian,absolute_residual,0.815,6.732552198900364,2.5947162077769437,0.0,True,2400,600
0.1,2,30,38,TSCP_R,Gaussian,absolute_residual,0.9583333333333334,11.08566002185669,5.10662212343143,0.0010068416595458984,True,2400,600
0.1,2,30,38,Point_CHR,Gaussian,absolute_residual,0.9866666666666667,16.591777706252465,6.604058456971737,0.0,True,2400,600
0.1,2,30,38,Unscaled,Gaussian,absolute_residual,0.95,14.933101407746078,3.8643371239769024,0.0,True,2400,600
0.1,2,30,39,TSCP_R,Gaussian,absolute_residual,0.9233333333333333,9.142517520997856,4.008756069648533,0.0009984970092773438,True,2400,600
0.1,2,30,39,Point_CHR,Gaussian,absolute_residual,0.7983333333333333,5.618247863755044,3.0409023223232183,0.0,True,2400,600
0.1,2,30,39,Unscaled,Gaussian,absolute_residual,0.8716666666666667,9.247086933968019,3.040902322332636,0.0,True,2400,600
0.1,2,30,40,TSCP_R,Gaussian,absolute_residual,0.9583333333333334,12.493282913820845,5.85039441728504,0.0010008811950683594,True,2400,600
0.1,2,30,40,Point_CHR,Gaussian,absolute_residual,0.955,11.97453692706156,5.692085926109478,0.0,True,2400,600
0.1,2,30,40,Unscaled,Gaussian,absolute_residual,0.93,14.113808375946428,3.7568348880335996,0.0,True,2400,600
0.1,2,30,41,TSCP_R,Gaussian,absolute_residual,0.905,8.114875422257489,4.796737227007958,0.0,True,2400,600
0.1,2,30,41,Point_CHR,Gaussian,absolute_residual,0.995,17.214217191968864,7.186150379302518,0.0010013580322265625,True,2400,600
0.1,2,30,41,Unscaled,Gaussian,absolute_residual,0.9783333333333334,17.448376218689333,4.177125353480469,0.0,True,2400,600
0.1,2,30,42,TSCP_R,Gaussian,absolute_residual,0.83,6.132090816155741,3.6382676361712796,0.0,True,2400,600
0.1,2,30,42,Point_CHR,Gaussian,absolute_residual,0.9083333333333333,8.457192899118764,3.5393792735152214,0.0009996891021728516,True,2400,600
0.1,2,30,42,Unscaled,Gaussian,absolute_residual,0.8366666666666667,8.004369284398784,2.829199406969891,0.0,True,2400,600
0.1,2,30,43,TSCP_R,Gaussian,absolute_residual,0.905,7.3667143258114,4.367014330002214,0.001007080078125,True,2400,600
0.1,2,30,43,Point_CHR,Gaussian,absolute_residual,0.9983333333333333,23.94507889669379,5.605277999707742,0.0,True,2400,600
0.1,2,30,43,Unscaled,Gaussian,absolute_residual,0.8966666666666666,11.776866783514357,3.4317439857183922,0.0009951591491699219,True,2400,600
0.1,2,30,44,TSCP_R,Gaussian,absolute_residual,0.97,11.037794409371678,5.100998899292503,0.0009989738464355469,True,2400,600
0.1,2,30,44,Point_CHR,Gaussian,absolute_residual,0.9716666666666667,12.46017493342375,5.862010879662424,0.0,True,2400,600
0.1,2,30,44,Unscaled,Gaussian,absolute_residual,0.9416666666666667,14.04184631995342,3.7472451641110194,0.0,True,2400,600
0.1,2,30,45,TSCP_R,Gaussian,absolute_residual,0.925,8.612628628081364,3.6432966932081774,0.0009949207305908203,True,2400,600
