alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,2,inf,True,7200,800
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,3,inf,True,7200,800
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,4,inf,True,7200,800
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,5,inf,True,7200,800
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,6,inf,True,7200,800
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,7,inf,True,7200,800
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,8,inf,True,7200,800
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,9,inf,True,7200,800
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,10,inf,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,1,18.819665592875623,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,2,18.819665592875623,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,3,18.819665592875623,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,4,18.819665592875623,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,5,18.819665592875623,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,6,18.819665592875623,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,7,18.819665592875623,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,8,18.819665592875623,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,9,18.819665592875623,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,10,18.819665592875623,True,7200,800
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,1,15.199074795329452,True,7200,800
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,2,14.666337311044522,True,7200,800
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,3,12.223937583222872,True,7200,800
