alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,9,4.311783717784623,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,10,1.4125476169731002,0.0,equicorrelated,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,1,25.62409433839255,0.0,equicorrelated,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,2,33.94493167039193,0.0,equicorrelated,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,3,20.433880064796107,0.0,equicorrelated,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,4,21.339252737567566,0.0,equicorrelated,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,5,13.176293882068286,0.0,equicorrelated,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,6,13.845079592171198,0.0,equicorrelated,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,7,11.054465113030554,0.0,equicorrelated,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,8,8.24540295682997,0.0,equicorrelated,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,9,7.853065115072839,0.0,equicorrelated,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,10,2.9442535668644307,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,1,35.836727057776514,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,2,29.87640053602621,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,3,19.79956612590788,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,4,23.610958494828157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,5,17.35611062638947,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,6,13.278815620258193,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,7,10.73168412068426,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,8,6.850906924993929,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,9,6.376165354209242,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,10,2.3874349458699435,0.0,equicorrelated,True,7200,800
