alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,100,25,CQHR,Gaussian,cqr,native,0.7,0.0,0.8866666666666667,31215400.045179628,205.99957563535688,32.142075659928395,0.0009999275207519531,True,2400,600
0.1,3,100,25,TSCP_R,Gaussian,cqr,capped,0.7,0.0,0.8733333333333333,21437.146065382913,36.63096629981239,,0.00099945068359375,True,2400,600
0.1,3,100,25,Unscaled,Gaussian,cqr,raw,0.7,0.0,0.8783333333333333,28365.66801436358,31.34872582055495,,0.0,True,2400,600
0.1,3,100,25,Empirical_copula,Gaussian,cqr,raw,0.7,0.0,0.8483333333333334,17639.654407740814,36.476386005666726,,0.0009930133819580078,True,2400,600
0.1,3,100,26,CQHR,Gaussian,cqr,native,0.7,0.0,0.9533333333333334,2892445901.3407145,664.5311025990277,54.61653864224449,0.0,True,2400,600
0.1,3,100,26,TSCP_R,Gaussian,cqr,capped,0.7,0.0,0.855,19412.266859722808,33.01401105461885,,0.0009987354278564453,True,2400,600
0.1,3,100,26,Unscaled,Gaussian,cqr,raw,0.7,0.0,0.8883333333333333,31113.754818169302,32.53851317809741,,0.0,True,2400,600
0.1,3,100,26,Empirical_copula,Gaussian,cqr,raw,0.7,0.0,0.855,18619.722040188622,32.538513178041114,,0.0,True,2400,600
0.1,3,100,27,CQHR,Gaussian,cqr,native,0.7,0.0,0.945,457751642.35591245,387.09616578485685,57.109075769756856,0.0,True,2400,600
0.1,3,100,27,TSCP_R,Gaussian,cqr,capped,0.7,0.0,0.9083333333333333,25343.665121688635,39.15759841304487,,0.0009989738464355469,True,2400,600
0.1,3,100,27,Unscaled,Gaussian,cqr,raw,0.7,0.0,0.9033333333333333,30474.556331474087,32.028231865464456,,0.0,True,2400,600
0.1,3,100,27,Empirical_copula,Gaussian,cqr,raw,0.7,0.0,0.9066666666666666,24185.236292330042,37.53164638954226,,0.00099945068359375,True,2400,600
0.1,3,100,28,CQHR,Gaussian,cqr,native,0.7,0.0,0.93,78603782.38587855,278.18361294669774,47.51371382612867,0.0,True,2400,600
0.1,3,100,28,TSCP_R,Gaussian,cqr,capped,0.7,0.0,0.9333333333333333,40073.095498826326,43.31719284067377,,0.0010013580322265625,True,2400,600
0.1,3,100,28,Unscaled,Gaussian,cqr,raw,0.7,0.0,0.9383333333333334,54501.03062834258,38.92777796164679,,0.0,True,2400,600
0.1,3,100,28,Empirical_copula,Gaussian,cqr,raw,0.7,0.0,0.9233333333333333,34107.08520170162,42.07657230844411,,0.0,True,2400,600
0.1,3,100,29,CQHR,Gaussian,cqr,native,0.7,0.0,0.88,13029879.815303514,192.5454151625927,31.703050417617913,0.0,True,2400,600
0.1,3,100,29,TSCP_R,Gaussian,cqr,capped,0.7,0.0,0.9166666666666666,33815.29942030822,40.689570030017386,,0.0010001659393310547,True,2400,600
0.1,3,100,29,Unscaled,Gaussian,cqr,raw,0.7,0.0,0.9066666666666666,39234.27478169359,34.81152542654607,,0.0,True,2400,600
0.1,3,100,29,Empirical_copula,Gaussian,cqr,raw,0.7,0.0,0.9116666666666666,35021.28718871659,37.09565883303189,,0.0010006427764892578,True,2400,600
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.5,0.0,0.87,597602.7911681741,75.751249923805,15.94218758114844,0.0010008811950683594,True,2400,600
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.885,24846.56475208991,36.237193997360876,,0.0010006427764892578,True,2400,600
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8833333333333333,27459.69818931396,31.59398587971504,,0.0,True,2400,600
