alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,heteroskedastic_fraction,heteroskedastic_strength,redraw_train_test,n_train,n_test
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,1,26.58680965709076,0.5,1.5,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,2,26.58680965709076,0.5,1.5,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,3,26.58680965709076,0.5,1.5,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,4,26.58680965709076,0.5,1.5,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,5,26.58680965709076,0.5,1.5,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,6,26.58680965709076,0.5,1.5,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,7,26.58680965709076,0.5,1.5,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,8,26.58680965709076,0.5,1.5,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,9,26.58680965709076,0.5,1.5,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,10,26.58680965709076,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,1,26.889892222260457,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,2,26.586809657014648,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,3,27.620487863844087,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,4,20.222271893264097,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,5,16.779547631265263,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,6,11.421702408412045,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,7,8.176517005506795,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,8,7.76266525329433,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,9,5.05329128589694,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,10,2.695389544408421,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,1,39.91732886884769,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,2,33.01803421157349,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,3,32.28608363701484,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,4,17.399868288633318,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,5,19.870690900036145,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,6,13.555178018606322,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,7,12.14376468640165,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,8,9.185399528448286,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,9,7.862729693362299,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,10,3.0945150240641275,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,1,65.74720968555022,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,2,54.64066402581376,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,3,31.295138703671,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,4,21.087432744535818,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,5,31.510055335128662,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,6,12.336418999807677,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,7,17.326582976696393,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,8,13.891196961016128,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,9,7.691603631606106,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,10,4.497712273632294,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,1,27.394567545443273,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,2,27.394567545443273,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,3,27.394567545443273,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,4,27.394567545443273,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,5,27.394567545443273,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,6,27.394567545443273,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,7,27.394567545443273,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,8,27.394567545443273,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,9,27.394567545443273,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,10,27.394567545443273,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,1,32.962929875871396,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,2,27.394567545423808,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,3,30.908151650986568,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,4,12.26960359664041,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,5,15.797837647624895,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,6,10.408788310116233,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,7,8.686831614313103,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,8,6.964471245363399,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,9,7.691603631606106,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,10,2.2549667885019185,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,1,25.077718435013978,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,2,21.93010488827679,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,3,40.95608355969699,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,4,16.699951040535332,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,5,19.655123586090564,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,6,12.931409117246508,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,7,12.7881332120793,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,8,11.826220462504356,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,9,7.219420834500683,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,10,2.8519148381692645,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,1,57.79749623193037,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,2,68.41220569343935,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,3,54.50218442881473,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,4,55.41794013999158,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,5,52.291400594642305,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,6,40.1379771071545,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,7,35.92603785644099,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,8,46.56628276079648,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,9,28.911890071302746,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,10,8.08764241161857,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,1,19.340973363846683,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,2,19.340973363846683,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,3,19.340973363846683,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,4,19.340973363846683,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,5,19.340973363846683,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,6,19.340973363846683,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,7,19.340973363846683,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,8,19.340973363846683,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,9,19.340973363846683,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,10,19.340973363846683,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,1,19.919916592453944,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,2,19.750834160546113,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,3,54.50218442881473,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,4,13.828509288527679,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,5,19.340973363782297,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,6,8.89545968359435,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,7,8.131825517270341,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,8,9.934401033603883,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,9,6.168031751282506,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,10,1.879274417027097,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,1,37.37084148482215,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,2,23.154255172708705,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,3,27.177058117431706,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,4,26.50235300664265,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,5,22.153122145477116,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,6,20.942061121540505,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,7,11.404278775953305,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,8,9.074998212384871,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,9,6.988784358399899,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,10,3.668081082076561,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,1,50.44526466726273,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,2,27.350796744039425,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,3,23.014512861346585,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,4,28.041615348948216,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,5,25.30879406930975,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,6,17.751726514286048,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,7,13.43095518815327,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,8,8.935299045587819,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,9,8.187393128161355,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,10,3.458761587719769,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,1,22.621598823564995,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,2,22.621598823564995,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,3,22.621598823564995,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,4,22.621598823564995,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,5,22.621598823564995,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,6,22.621598823564995,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,7,22.621598823564995,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,8,22.621598823564995,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,9,22.621598823564995,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,10,22.621598823564995,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,1,28.151650000164768,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,2,15.263475417218467,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,3,23.014512861346585,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,4,22.621598823560614,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,5,14.123908701143801,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,6,13.270448190842457,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,7,7.495322942971185,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,8,7.543140154466098,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,9,4.569083486389793,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,10,1.9884621904086632,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,1,34.30803165553555,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,2,23.093242930844173,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,3,23.719934537863562,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,4,35.83608908640759,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,5,19.678949300837587,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,6,17.49012649653426,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,7,13.18100852544259,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,8,9.522680484932659,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,9,6.192090600229028,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,10,3.0659878392079305,0.5,1.5,True,7200,800
