dataset,trial,n_cal,n_test,n_dim,method,covered_count,joint_coverage,residual_volume,infinite_region
stock,27,15,64,6,Point_CHR,64,1.0,inf,1
stock,27,15,64,6,TSCP_R,60,0.9375,2.97078890256391e-05,0
stock,28,15,64,6,Empirical_copula,38,0.59375,3.439826457775091e-06,0
stock,28,15,64,6,Unscaled,51,0.796875,0.0005691151898361441,0
stock,28,15,64,6,Point_CHR,64,1.0,inf,1
stock,28,15,64,6,TSCP_R,56,0.875,1.750627938213149e-05,0
stock,29,15,64,6,Empirical_copula,50,0.78125,1.1848542986106187e-05,0
stock,29,15,64,6,Unscaled,64,1.0,0.025803622196394222,0
stock,29,15,64,6,Point_CHR,64,1.0,inf,1
stock,29,15,64,6,TSCP_R,64,1.0,0.0005003435240740746,0
stock,30,15,64,6,Empirical_copula,47,0.734375,2.5905733866645343e-05,0
stock,30,15,64,6,Unscaled,63,0.984375,0.37333410526779665,0
stock,30,15,64,6,Point_CHR,64,1.0,inf,1
stock,30,15,64,6,TSCP_R,64,1.0,0.006930076749454438,0
stock,31,15,64,6,Empirical_copula,48,0.75,8.674519937229423e-06,0
stock,31,15,64,6,Unscaled,63,0.984375,0.009970869548078682,0
stock,31,15,64,6,Point_CHR,64,1.0,inf,1
stock,31,15,64,6,TSCP_R,64,1.0,0.0009148268819763499,0
stock,32,15,64,6,Empirical_copula,41,0.640625,4.248307424968473e-06,0
stock,32,15,64,6,Unscaled,61,0.953125,0.0027566759192478515,0
stock,32,15,64,6,Point_CHR,64,1.0,inf,1
stock,32,15,64,6,TSCP_R,60,0.9375,2.0962181226131155e-05,0
stock,33,15,64,6,Empirical_copula,33,0.515625,3.62446978070754e-06,0
stock,33,15,64,6,Unscaled,61,0.953125,0.004723323468766228,0
stock,33,15,64,6,Point_CHR,64,1.0,inf,1
stock,33,15,64,6,TSCP_R,59,0.921875,3.9677558475728567e-05,0
stock,34,15,64,6,Empirical_copula,36,0.5625,2.5817395593057173e-06,0
stock,34,15,64,6,Unscaled,61,0.953125,0.001302454537248896,0
stock,34,15,64,6,Point_CHR,64,1.0,inf,1
stock,34,15,64,6,TSCP_R,56,0.875,1.6298930758063103e-05,0
stock,35,15,64,6,Empirical_copula,40,0.625,3.331673168815397e-06,0
stock,35,15,64,6,Unscaled,54,0.84375,0.0008407122238433661,0
stock,35,15,64,6,Point_CHR,64,1.0,inf,1
stock,35,15,64,6,TSCP_R,55,0.859375,1.326892664287101e-05,0
stock,36,15,64,6,Empirical_copula,48,0.75,7.762093806855905e-06,0
stock,36,15,64,6,Unscaled,61,0.953125,0.023767054803093778,0
stock,36,15,64,6,Point_CHR,64,1.0,inf,1
stock,36,15,64,6,TSCP_R,61,0.953125,6.330876854697038e-05,0
stock,37,15,64,6,Empirical_copula,46,0.71875,4.8199382889102235e-06,0
stock,37,15,64,6,Unscaled,56,0.875,0.0007409737548832489,0
stock,37,15,64,6,Point_CHR,64,1.0,inf,1
stock,37,15,64,6,TSCP_R,62,0.96875,3.781773952474216e-05,0
stock,38,15,64,6,Empirical_copula,44,0.6875,6.355028887350337e-06,0
stock,38,15,64,6,Unscaled,64,1.0,0.028560466424439896,0
stock,38,15,64,6,Point_CHR,64,1.0,inf,1
stock,38,15,64,6,TSCP_R,64,1.0,0.00045393016962692656,0
stock,39,15,64,6,Empirical_copula,59,0.921875,9.322826086449878e-06,0
stock,39,15,64,6,Unscaled,62,0.96875,0.007432572043564632,0
stock,39,15,64,6,Point_CHR,64,1.0,inf,1
stock,39,15,64,6,TSCP_R,64,1.0,8.520324364038441e-05,0
stock,40,15,64,6,Empirical_copula,46,0.71875,6.573687948052335e-06,0
stock,40,15,64,6,Unscaled,63,0.984375,0.006034769008307027,0
stock,40,15,64,6,Point_CHR,64,1.0,inf,1
stock,40,15,64,6,TSCP_R,63,0.984375,7.427274750000812e-05,0
stock,41,15,64,6,Empirical_copula,45,0.703125,4.657771118176206e-06,0
stock,41,15,64,6,Unscaled,59,0.921875,0.001361251610136089,0
stock,41,15,64,6,Point_CHR,64,1.0,inf,1
stock,41,15,64,6,TSCP_R,61,0.953125,4.6924303476080074e-05,0
stock,42,15,64,6,Empirical_copula,51,0.796875,7.514144194243334e-06,0
stock,42,15,64,6,Unscaled,62,0.96875,0.005156371415385774,0
stock,42,15,64,6,Point_CHR,64,1.0,inf,1
stock,42,15,64,6,TSCP_R,62,0.96875,4.861302617299173e-05,0
stock,43,15,64,6,Empirical_copula,55,0.859375,2.3399775381600805e-05,0
stock,43,15,64,6,Unscaled,64,1.0,0.02189076984305673,0
stock,43,15,64,6,Point_CHR,64,1.0,inf,1
stock,43,15,64,6,TSCP_R,64,1.0,0.001320328705170844,0
stock,44,15,64,6,Empirical_copula,52,0.8125,5.854366148845774e-06,0
stock,44,15,64,6,Unscaled,62,0.96875,0.003895898149304546,0
stock,44,15,64,6,Point_CHR,64,1.0,inf,1
stock,44,15,64,6,TSCP_R,63,0.984375,5.9998229440484567e-05,0
stock,45,15,64,6,Empirical_copula,41,0.640625,4.132915984278183e-06,0
stock,45,15,64,6,Unscaled,49,0.765625,0.0004446789847362365,0
stock,45,15,64,6,Point_CHR,64,1.0,inf,1
stock,45,15,64,6,TSCP_R,60,0.9375,4.2059442292068365e-05,0
stock,46,15,64,6,Empirical_copula,40,0.625,5.8243721362668e-06,0
stock,46,15,64,6,Unscaled,62,0.96875,0.011012430273023548,0
stock,46,15,64,6,Point_CHR,64,1.0,inf,1
