alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,100,15,CQHR,Gaussian,cqr,native,0.5,0.0,0.9583333333333334,1528699.9811532875,95.20617952882792,22.72485384665897,0.0010068416595458984,True,2400,600
0.1,3,100,15,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.91,24621.716829365912,35.137828024263364,,0.00099945068359375,True,2400,600
0.1,3,100,15,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.91,24621.716829365912,35.137828024263364,,0.0,True,2400,600
0.1,3,100,15,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8816666666666667,24355.603210451114,30.847121599862117,,0.0,True,2400,600
0.1,3,100,15,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8883333333333333,23982.041930447194,33.860059284604155,,0.00099945068359375,True,2400,600
0.1,3,100,16,CQHR,Gaussian,cqr,native,0.5,0.0,0.8866666666666667,294627.53584188735,71.55182655364672,16.61375297215912,0.0,True,2400,600
0.1,3,100,16,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.795,15690.581729462428,30.335251641202177,,0.0010001659393310547,True,2400,600
0.1,3,100,16,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.795,15690.581729462428,30.335251641202177,,0.0,True,2400,600
0.1,3,100,16,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8216666666666667,21428.1225662517,29.78221303022897,,0.0,True,2400,600
0.1,3,100,16,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7716666666666666,13806.210717578826,29.555206609458757,,0.00099945068359375,True,2400,600
0.1,3,100,17,CQHR,Gaussian,cqr,native,0.5,0.0,0.9366666666666666,630817.1998732152,77.38135609162207,23.299919665218145,0.0,True,2400,600
0.1,3,100,17,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.9316666666666666,34374.63828981627,39.36724446678031,,0.0009992122650146484,True,2400,600
0.1,3,100,17,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.9316666666666666,34374.63828981627,39.36724446678031,,0.0,True,2400,600
