alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.703542562641052,4.5376280149881865,13.77879859261743
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.381040337046846,5.507556679756499,15.396153696559837
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.3943406054668346,3.0117290687740255,9.417798743014874
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.703542562641052,4.929652473206831,14.562847509054714
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.381040337046846,4.929652473206831,14.240345283460517
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.3943406054668346,4.929652473206831,13.25364555188049
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.703542562641052,5.006781778594021,14.71710611982909
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.381040337046846,4.929652473168083,14.240345283383013
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.3943406054668346,2.9951702327357026,9.384681070938235
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.627487606155158,15.818109817943556,36.26370724204206
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.52836322041175,25.888005395588266,56.304374011588166
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.4751975168420284,21.348809402662138,46.17281632216626
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.627487606155158,6.511372330952572,17.650232268060297
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.52836322041175,5.809288406762673,16.1469400339371
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.4751975168420284,3.63963534983272,10.754468216507476
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.627487606155158,5.430477504246511,15.488442614648177
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.52836322041175,5.430477504246511,15.389318228904777
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.4751975168420284,5.430477504246511,14.33615252533505
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.627487606155158,5.430477504167818,15.488442614490799
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.52836322041175,6.107404775953835,16.74317277231942
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.4751975168420284,4.411363041044556,12.29792359893113
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.809761652361764,12.786342812248943,30.382447276859462
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.203716053455974,13.541064723154227,31.285845499764413
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.3064248506538716,10.13807091205282,23.582566674759494
0.1,3,100,2,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.809761652361764,6.192156841870451,17.194075336102667
0.1,3,100,2,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.203716053455974,6.251928375291502,16.707572804038993
0.1,3,100,2,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.3064248506538716,4.099405877099469,11.505236604852808
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.809761652361764,4.957914363330205,14.725590379022169
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.203716053455974,4.957914363330205,14.1195447801164
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.3064248506538716,4.957914363330205,13.222253577314286
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.809761652361764,6.266267522168405,17.342296696698575
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.203716053455974,4.957914363264013,14.119544779983993
