alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length
0.1,3,30,70,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.329724188553502,8.677090857941952,21.683905904437395
0.1,3,30,70,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.413894712644613,6.3112482914061685,16.03639129545694
0.1,3,30,70,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.707563353409199,7.029368626991202,18.766300607391596
0.1,3,30,70,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.329724188553502,6.33396204986214,16.997648288277777
0.1,3,30,70,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.413894712644613,3.7743163272675107,10.96252736717961
0.1,3,30,70,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.707563353409199,5.494891123118819,15.697345599646832
0.1,3,30,70,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.329724188553502,5.494891123118819,15.31950643479115
0.1,3,30,70,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.413894712644613,5.494891123118819,14.403676958882254
0.1,3,30,70,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.707563353409199,5.494891123106008,15.697345599621203
0.1,3,30,70,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.329724188553502,4.4205327510677375,13.170789690688974
0.1,3,30,70,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.413894712644613,3.706402583345806,10.82669987933623
0.1,3,30,71,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.740230817631843,21.49202717646448,47.72428517056104
0.1,3,30,71,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.305264044925487,31.76730436976676,67.83987278445909
0.1,3,30,71,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.567299643880383,26.87218488489397,57.31166941366834
0.1,3,30,71,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.740230817631843,7.215931337344412,19.172093492320695
0.1,3,30,71,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.305264044925487,5.378821898933573,15.062907842792644
0.1,3,30,71,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.567299643880383,3.920467489251167,11.40823462238271
0.1,3,30,71,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.740230817631843,5.29258977936329,15.325410376358432
0.1,3,30,71,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.305264044925487,5.29258977936329,14.89044360365206
0.1,3,30,71,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.567299643880383,5.29258977936329,14.152479202606983
0.1,3,30,71,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.740230817631843,4.79911431523367,14.338459448099186
0.1,3,30,71,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.305264044925487,4.146764223971954,12.598792492869412
0.1,3,30,71,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.567299643880383,3.2642822844425368,10.09586421276546
0.1,3,30,72,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.5982607468424055,32.25421107982009,69.10668290648228
0.1,3,30,72,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.26946784838975,47.40268840541575,99.07484465922104
0.1,3,30,72,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.397876638391661,32.748044068384154,68.89396477515997
0.1,3,30,72,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.5982607468424055,6.5662409044421715,17.730742555726742
0.1,3,30,72,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.26946784838975,4.906287315536754,14.082042479463258
0.1,3,30,72,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.397876638391661,3.2378249307736935,9.873526499939041
0.1,3,30,72,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.5982607468424055,5.446530559244912,15.49132186533223
0.1,3,30,72,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.26946784838975,5.446530559244912,15.162528966879579
0.1,3,30,72,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.397876638391661,5.446530559244912,14.290937756881492
0.1,3,30,72,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.5982607468424055,5.446530559162635,15.491321865167686
0.1,3,30,72,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.26946784838975,4.633842067383117,13.53715198315599
