alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime
0.1,3,100,23,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.9266666666666666,3237.051167287516,16.525245528014327,,0.00099945068359375
0.1,3,100,24,CQHR,Gaussian,cqr,native,0.9,0.0,0.8816666666666667,7704232.505605252,202.9785573532531,25.343499070047116,0.0
0.1,3,100,24,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8883333333333333,2237.256658193685,15.955740717469741,,0.0009996891021728516
0.1,3,100,24,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.885,2798.062816294045,14.20686022574914,,0.0
0.1,3,100,24,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.87,2057.6347058001816,16.410317448053902,,0.0
0.1,3,100,25,CQHR,Gaussian,cqr,native,0.9,0.0,0.92,36838281.72539238,279.11873520925013,33.695197249253724,0.0
0.1,3,100,25,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.85,1813.8847169017886,15.565103520599335,,0.0009999275207519531
0.1,3,100,25,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8566666666666667,2153.212781124576,12.997770657795362,,0.0
0.1,3,100,25,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.83,1575.801212346323,13.662026217321364,,0.0009937286376953125
0.1,3,100,26,CQHR,Gaussian,cqr,native,0.9,0.0,0.9283333333333333,49615215.75968933,233.2111502550863,28.86520083702886,0.0
0.1,3,100,26,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8883333333333333,2406.800010553151,16.08306026794628,,0.0009889602661132812
0.1,3,100,26,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8933333333333333,3164.9370462819625,14.757885203637871,,0.0
0.1,3,100,26,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8833333333333333,2243.6342549325727,15.62685126762554,,0.0010068416595458984
0.1,3,100,27,CQHR,Gaussian,cqr,native,0.9,0.0,0.8633333333333333,16565077.387612619,135.09337803227805,18.39376530637661,0.0
0.1,3,100,27,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.875,1768.3028485463929,14.230697450315938,,0.00099945068359375
0.1,3,100,27,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.88,2339.8211821858927,13.399692051398382,,0.0
0.1,3,100,27,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8266666666666667,1401.7179887694872,14.206947238092459,,0.0010004043579101562
0.1,3,100,28,CQHR,Gaussian,cqr,native,0.9,0.0,0.9566666666666667,429578965275.6824,10160.33147555981,58.36665220521536,0.0
0.1,3,100,28,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9033333333333333,2259.888382231018,18.222861588636857,,0.0009951591491699219
0.1,3,100,28,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8833333333333333,2952.2310410184236,14.43779845972616,,0.0
0.1,3,100,28,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8866666666666667,2383.822303902847,15.634244628178857,,0.0009295940399169922
0.1,3,100,29,CQHR,Gaussian,cqr,native,0.9,0.0,0.9283333333333333,2785481036.416327,1980.2108490825253,38.1966590273008,0.000993490219116211
0.1,3,100,29,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8866666666666667,2290.2258566988385,15.121759665918644,,0.001007080078125
