alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime
0.1,3,30,13,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8683333333333333,3025.969240378347,18.777256260711503,,0.0009999275207519531
0.1,3,30,14,CQHR,Gaussian,cqr,native,0.5,0.0,0.8683333333333333,34572933.18674176,99.16325591695778,8.894821921606967,0.0
0.1,3,30,14,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9033333333333333,2469.893811785424,20.01722145019782,,0.0010001659393310547
0.1,3,30,14,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9216666666666666,3387.563950118546,15.42032670831135,,0.0
0.1,3,30,14,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8033333333333333,1534.978089127579,16.819882594709217,,0.0010020732879638672
0.1,3,30,15,CQHR,Gaussian,cqr,native,0.5,0.0,0.7916666666666666,11251.361687695771,19.91376042403,6.6285800264763575,0.0
0.1,3,30,15,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8383333333333334,1937.7594081875757,13.12490683321522,,0.0010004043579101562
0.1,3,30,15,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8166666666666667,1816.0943742963043,12.400809935876943,,0.0
0.1,3,30,15,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7166666666666667,1193.058364952593,11.14268947868348,,0.0009999275207519531
0.1,3,30,16,CQHR,Gaussian,cqr,native,0.5,0.0,0.8833333333333333,103007.67501139997,29.768225704968213,8.410163092208181,0.0
0.1,3,30,16,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.7633333333333333,1307.9528150877431,12.787960956985598,,0.0010006427764892578
0.1,3,30,16,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8233333333333334,1994.9226125178373,12.834922958496435,,0.0
0.1,3,30,16,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.68,1014.4916227876512,12.62464979278322,,0.0010106563568115234
0.1,3,30,17,CQHR,Gaussian,cqr,native,0.5,0.0,0.8233333333333334,23535.789209288578,23.139368638823218,7.6542958381954636,0.0
0.1,3,30,17,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.885,3360.353123805071,24.553193325413492,,0.0010061264038085938
0.1,3,30,17,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8183333333333334,1747.7101162656365,12.354278546766215,,0.0
0.1,3,30,17,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8166666666666667,1832.6941729280857,15.259392013104943,,0.0
0.1,3,30,18,CQHR,Gaussian,cqr,native,0.5,0.0,0.8966666666666666,37104.138950206376,35.41945586313363,11.347806094972126,0.0
0.1,3,30,18,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9683333333333334,5583.662953845519,21.931724768068058,,0.0020110607147216797
0.1,3,30,18,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9583333333333334,5536.824165277917,17.91848691629622,,0.0
0.1,3,30,18,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.945,4156.608152621952,18.950400641920464,,0.0
0.1,3,30,19,CQHR,Gaussian,cqr,native,0.5,0.0,0.9366666666666666,590576.6572882086,51.5931115344488,15.935349291474195,0.0
0.1,3,30,19,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.955,3741.8037491480495,19.78273685763559,,0.0010001659393310547
0.1,3,30,19,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.885,3034.633177757573,14.92854290578208,,0.0
0.1,3,30,19,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.91,2502.339588350689,18.586568988408178,,0.0009999275207519531
0.1,3,30,20,CQHR,Gaussian,cqr,native,0.5,0.0,0.9266666666666666,100865.73336526385,47.02834752855598,16.872202117513222,0.0
0.1,3,30,20,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9333333333333333,4238.024459620452,22.299770051833036,,0.0009999275207519531
0.1,3,30,20,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9566666666666667,5094.712844324528,17.547114790361892,,0.0
0.1,3,30,20,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.895,2429.5245869603273,17.54711479028772,,0.0
0.1,3,30,21,CQHR,Gaussian,cqr,native,0.5,0.0,0.8983333333333333,65050.114220949225,35.13542544702509,11.133903714321018,0.0
0.1,3,30,21,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9666666666666667,8307.198502883724,27.805075176843765,,0.0009851455688476562
0.1,3,30,21,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9133333333333333,3797.0945800460145,15.892135883388386,,0.0
0.1,3,30,21,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7766666666666666,1822.4198310507547,14.11459121491049,,0.0010077953338623047
0.1,3,30,22,CQHR,Gaussian,cqr,native,0.5,0.0,0.835,140517.62319167575,27.418427859758157,8.520302699727267,0.0
0.1,3,30,22,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9083333333333333,3654.684979949657,24.415927694723404,,0.0009999275207519531
0.1,3,30,22,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.96,5850.130738878876,18.54832824888246,,0.0009999275207519531
0.1,3,30,22,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8533333333333334,2508.2602100289682,19.73645724917752,,0.0
0.1,3,30,23,CQHR,Gaussian,cqr,native,0.5,0.0,0.8866666666666667,35600.46388416382,32.58629540017581,10.00423735146702,0.0
0.1,3,30,23,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8216666666666667,1739.7524157634148,14.921303320496532,,0.0
0.1,3,30,23,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8633333333333333,2589.7158533497063,13.900109063371186,,0.0
0.1,3,30,23,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7383333333333333,1259.828102031123,13.925470748511135,,0.0
0.1,3,30,24,CQHR,Gaussian,cqr,native,0.5,0.0,0.91,36192.474621426125,32.99204711430127,11.905990533681788,0.0
0.1,3,30,24,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.77,1470.9714541760754,15.016441499422966,,0.0010001659393310547
0.1,3,30,24,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.83,1812.5216435082436,12.547490603939046,,0.0
0.1,3,30,24,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7133333333333334,1128.457136248327,12.8114927772654,,0.0
0.1,3,30,25,CQHR,Gaussian,cqr,native,0.5,0.0,0.9,48715.78547470568,32.1048190974996,10.330446713439114,0.0
0.1,3,30,25,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8416666666666667,2483.0609704068174,17.627249127987056,,0.0009999275207519531
0.1,3,30,25,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.7416666666666667,1646.4900254287552,11.89293290489006,,0.0
0.1,3,30,25,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.715,1538.8149488991833,16.473366119946842,,0.0
0.1,3,30,26,CQHR,Gaussian,cqr,native,0.5,0.0,0.9233333333333333,338391.7843379091,48.867596452793784,12.895512322711776,0.0
