alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length
0.1,3,100,57,Unscaled,Gaussian,cqr,raw,0.5,1000.0,1,4.812888998616729,5.383118356011962,15.57912571064065
0.1,3,100,57,Unscaled,Gaussian,cqr,raw,0.5,1000.0,2,4.453055908738883,5.383118356011962,15.219292620762804
0.1,3,100,57,Unscaled,Gaussian,cqr,raw,0.5,1000.0,3,3.5910749518530776,5.383118356011962,14.357311663876995
0.1,3,100,57,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,1,4.812888998616729,6.271597627342995,17.35608425330272
0.1,3,100,57,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,2,4.453055908738883,5.383118355914892,15.219292620568648
0.1,3,100,57,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,3,3.5910749518530776,3.6886360457498877,10.968347043352868
0.1,3,100,58,CQHR,Gaussian,cqr,native,0.5,1000.0,1,4.841534537412664,19.37293132355493,43.58739718452268
0.1,3,100,58,CQHR,Gaussian,cqr,native,0.5,1000.0,2,4.385674897541657,22.00485183521354,48.3953785679688
0.1,3,100,58,CQHR,Gaussian,cqr,native,0.5,1000.0,3,3.4273659054784154,15.916531076382674,35.26042805824374
0.1,3,100,58,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,1,4.841534537412664,5.790690722336649,16.422915982085968
0.1,3,100,58,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,2,4.385674897541657,3.9926805049914265,12.371035907524508
0.1,3,100,58,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,3,3.4273659054784154,3.1416744103063365,9.710714726091085
0.1,3,100,58,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,1,4.841534537412664,5.790690722336649,16.422915982085968
0.1,3,100,58,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,2,4.385674897541657,3.9926805049914265,12.371035907524508
0.1,3,100,58,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,3,3.4273659054784154,3.1416744103063365,9.710714726091085
0.1,3,100,58,Unscaled,Gaussian,cqr,raw,0.5,1000.0,1,4.841534537412664,4.982416089473795,14.806366716360262
0.1,3,100,58,Unscaled,Gaussian,cqr,raw,0.5,1000.0,2,4.385674897541657,4.982416089473795,14.350507076489242
0.1,3,100,58,Unscaled,Gaussian,cqr,raw,0.5,1000.0,3,3.4273659054784154,4.982416089473795,13.392198084426004
0.1,3,100,58,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,1,4.841534537412664,5.766295562350399,16.37412566211347
0.1,3,100,58,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,2,4.385674897541657,3.881230164748704,12.148135227039074
0.1,3,100,58,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,3,3.4273659054784154,2.878529216478144,9.184424338434702
0.1,3,100,59,CQHR,Gaussian,cqr,native,0.5,1000.0,1,4.830430131447706,13.467854044186645,31.7661382198213
0.1,3,100,59,CQHR,Gaussian,cqr,native,0.5,1000.0,2,4.349587524135725,18.143887004393665,40.63736153292306
0.1,3,100,59,CQHR,Gaussian,cqr,native,0.5,1000.0,3,3.4592070882196078,12.57200563470624,28.603218357632088
0.1,3,100,59,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,1,4.830430131447706,5.119884368578482,15.070198868604693
0.1,3,100,59,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,2,4.349587524135725,4.958033020988637,14.265653566112993
0.1,3,100,59,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,3,3.4592070882196078,4.317526255911503,12.094259600042609
0.1,3,100,59,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,1,4.830430131447706,5.119884368578482,15.070198868604693
0.1,3,100,59,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,2,4.349587524135725,4.958033020988637,14.265653566112993
0.1,3,100,59,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,3,3.4592070882196078,4.317526255911503,12.094259600042609
0.1,3,100,59,Unscaled,Gaussian,cqr,raw,0.5,1000.0,1,4.830430131447706,4.626485307395099,14.083400746237915
0.1,3,100,59,Unscaled,Gaussian,cqr,raw,0.5,1000.0,2,4.349587524135725,4.626485307395099,13.602558138925916
0.1,3,100,59,Unscaled,Gaussian,cqr,raw,0.5,1000.0,3,3.4592070882196078,4.626485307395099,12.712177703009813
0.1,3,100,59,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,1,4.830430131447706,5.479682120250483,15.789794371948695
0.1,3,100,59,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,2,4.349587524135725,4.408909521587744,13.167406567311229
0.1,3,100,59,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,3,3.4592070882196078,4.626485307331933,12.712177702883485
0.1,3,100,60,CQHR,Gaussian,cqr,native,0.5,1000.0,1,4.549217434481614,19.365290484438408,43.27979840335808
0.1,3,100,60,CQHR,Gaussian,cqr,native,0.5,1000.0,2,4.4435899694599215,35.268393265612474,74.98037650068481
0.1,3,100,60,CQHR,Gaussian,cqr,native,0.5,1000.0,3,3.348762616225984,23.458170350771695,50.26510331776941
0.1,3,100,60,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,1,4.549217434481614,5.684447333796925,15.918112102075447
0.1,3,100,60,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,2,4.4435899694599215,6.011660753379601,16.466911476219114
0.1,3,100,60,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,3,3.348762616225984,4.169416051239523,11.687594718705027
0.1,3,100,60,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,1,4.549217434481614,5.684447333796925,15.918112102075447
0.1,3,100,60,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,2,4.4435899694599215,6.011660753379601,16.466911476219114
0.1,3,100,60,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,3,3.348762616225984,4.169416051239523,11.687594718705027
0.1,3,100,60,Unscaled,Gaussian,cqr,raw,0.5,1000.0,1,4.549217434481614,5.165698241877244,14.880613918236104
0.1,3,100,60,Unscaled,Gaussian,cqr,raw,0.5,1000.0,2,4.4435899694599215,5.165698241877244,14.774986453214396
0.1,3,100,60,Unscaled,Gaussian,cqr,raw,0.5,1000.0,3,3.348762616225984,5.165698241877244,13.680159099980477
0.1,3,100,60,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,1,4.549217434481614,5.509599410812751,15.568416256107112
0.1,3,100,60,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,2,4.4435899694599215,5.158151113247956,14.759892195955826
0.1,3,100,60,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,3,3.348762616225984,2.9848962297878536,9.31855507580169
0.1,3,100,61,CQHR,Gaussian,cqr,native,0.5,1000.0,1,4.84522977929176,12.385386926242,29.61600363177545
0.1,3,100,61,CQHR,Gaussian,cqr,native,0.5,1000.0,2,4.598229322795044,15.010104049053089,34.61843742090124
0.1,3,100,61,CQHR,Gaussian,cqr,native,0.5,1000.0,3,3.571780948390501,10.394283579190082,24.36034810677065
0.1,3,100,61,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,1,4.84522977929176,5.009802368831288,14.864834516954296
0.1,3,100,61,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,2,4.598229322795044,5.073160688475809,14.74455069974665
0.1,3,100,61,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,3,3.571780948390501,3.8252626367885796,11.222306221967676
0.1,3,100,61,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,1,4.84522977929176,5.009802368831288,14.864834516954296
0.1,3,100,61,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,2,4.598229322795044,5.073160688475809,14.74455069974665
0.1,3,100,61,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,3,3.571780948390501,3.8252626367885796,11.222306221967676
0.1,3,100,61,Unscaled,Gaussian,cqr,raw,0.5,1000.0,1,4.84522977929176,4.873191724951462,14.591613229194696
0.1,3,100,61,Unscaled,Gaussian,cqr,raw,0.5,1000.0,2,4.598229322795044,4.873191724951462,14.344612772697971
0.1,3,100,61,Unscaled,Gaussian,cqr,raw,0.5,1000.0,3,3.571780948390501,4.873191724951462,13.318164398293412
0.1,3,100,61,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,1,4.84522977929176,4.564854571063215,13.974938921418186
0.1,3,100,61,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,2,4.598229322795044,5.433294235972083,15.464817794739213
0.1,3,100,61,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,3,3.571780948390501,2.8583774822632506,9.288535912917006
0.1,3,100,62,CQHR,Gaussian,cqr,native,0.5,1000.0,1,4.403040573122467,9.0830635736214,22.56916772036539
