alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,score_transform,base_interval_alpha,shift_constant,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,coordinate_base_length_avg,coordinate_adjustment_avg
0.1,3,30,Unscaled,Gaussian,3,cqr,raw,0.5,0.0,100,13.97983852927312,2.313331138652344,13.963045176230814,3.4601424820630795,5.25984802360502
0.1,3,50,CQHR,Gaussian,1,cqr,native,0.5,0.0,100,34.061667714637416,12.555589916230435,31.597500188882762,4.745687449510327,14.657990132563533
0.1,3,50,CQHR,Gaussian,2,cqr,native,0.5,0.0,100,62.04400135659717,95.25030658905177,44.538081570271714,4.390330197455711,28.82683557957073
0.1,3,50,CQHR,Gaussian,3,cqr,native,0.5,0.0,100,44.82562622718414,57.15675914148625,31.40876324924198,3.4640263652771988,20.680799930953466
0.1,3,50,Empirical_copula,Gaussian,1,cqr,raw,0.5,0.0,100,16.43535599532796,2.346072467381701,16.15400409409194,4.745687449510327,5.844834272908818
0.1,3,50,Empirical_copula,Gaussian,2,cqr,raw,0.5,0.0,100,14.499177569699368,2.881589843048718,14.168496837041982,4.390330197455711,5.054423686121828
0.1,3,50,Empirical_copula,Gaussian,3,cqr,raw,0.5,0.0,100,10.295536680167588,1.9114980952710228,10.004330288039148,3.4640263652771988,3.4157551574451945
0.1,3,50,TSCP_R,Gaussian,1,cqr,capped,0.5,0.0,100,17.524558194733896,2.2683678782610426,17.280485184898822,4.745687449510327,6.389435372611785
0.1,3,50,TSCP_R,Gaussian,2,cqr,capped,0.5,0.0,100,15.869932061002128,3.2736741223508847,15.178048286595992,4.390330197455711,5.739800931773208
0.1,3,50,TSCP_R,Gaussian,3,cqr,capped,0.5,0.0,100,11.24468739400611,2.0144317318429046,11.014385797280042,3.4640263652771988,3.8903305143644555
0.1,3,50,Unscaled,Gaussian,1,cqr,raw,0.5,0.0,100,15.166816723941412,1.7726738146751813,15.019831731096291,4.745687449510327,5.210564637215542
0.1,3,50,Unscaled,Gaussian,2,cqr,raw,0.5,0.0,100,14.811459471886797,1.7721694042658236,14.662910081733752,4.390330197455711,5.210564637215542
0.1,3,50,Unscaled,Gaussian,3,cqr,raw,0.5,0.0,100,13.885155639708282,1.7698884322307382,13.611162803972736,3.4640263652771988,5.210564637215542
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.5,0.0,100,30.77763098950977,7.998329003442445,29.710845283971718,4.740969271164555,13.018330859172622
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.5,0.0,100,43.04369158549352,18.171727184654966,39.17579430410113,4.4146887098601475,19.314501437816688
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.5,0.0,100,31.995770603024006,18.265330825611308,28.617881834490937,3.460634540294441,14.267568031364782
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.5,0.0,100,15.801152027847488,1.8057440447069077,15.518607990564025,4.740969271164555,5.530091378341467
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.5,0.0,100,14.570431987248739,1.417920390564406,14.422901855946627,4.4146887098601475,5.077871638694296
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.5,0.0,100,10.118821736345293,1.4255291865721151,9.95228687297271,3.460634540294441,3.329093598025427
0.1,3,100,TSCP_R,Gaussian,1,cqr,capped,0.5,0.0,100,16.36732757594954,1.8320372315261435,16.121900039800476,4.740969271164555,5.813179152392492
0.1,3,100,TSCP_R,Gaussian,2,cqr,capped,0.5,0.0,100,15.218201301236865,1.634116843770352,15.136419721772047,4.4146887098601475,5.401756295688359
0.1,3,100,TSCP_R,Gaussian,3,cqr,capped,0.5,0.0,100,10.675623642885823,1.3246242207834762,10.541570034804458,3.460634540294441,3.6074945512956917
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.5,0.0,100,14.986080882328965,1.1123760842120503,14.860369741287842,4.740969271164555,5.122555805582206
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.5,0.0,100,14.659800321024559,1.0999295684026813,14.55029726017027,4.4146887098601475,5.122555805582206
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.5,0.0,100,13.705746151458852,1.1194274207853416,13.53604625512053,3.460634540294441,5.122555805582206
0.1,3,200,CQHR,Gaussian,1,cqr,native,0.5,0.0,100,29.258769294159897,3.9394688398122586,28.64182557817904,4.7774007084265575,12.240684292866685
0.1,3,200,CQHR,Gaussian,2,cqr,native,0.5,0.0,100,61.36056704602131,190.28969072941783,37.60418372440236,4.41703131343842,28.47176786629144
0.1,3,200,CQHR,Gaussian,3,cqr,native,0.5,0.0,100,36.58327343283951,54.75906773962603,27.391537140280935,3.482534087459345,16.55036967269009
0.1,3,200,Empirical_copula,Gaussian,1,cqr,raw,0.5,0.0,100,16.272631502567748,1.0985610490675015,16.212090667804205,4.7774007084265575,5.747615397070596
0.1,3,200,Empirical_copula,Gaussian,2,cqr,raw,0.5,0.0,100,14.774883159184094,1.3275396887609505,14.672588800089766,4.41703131343842,5.178925922872837
0.1,3,200,Empirical_copula,Gaussian,3,cqr,raw,0.5,0.0,100,10.329047939804727,1.041479977871495,10.235345610901232,3.482534087459345,3.4232569261726904
0.1,3,200,TSCP_R,Gaussian,1,cqr,capped,0.5,0.0,100,16.464974690745507,1.012894009645096,16.380151526575727,4.7774007084265575,5.843786991159475
0.1,3,200,TSCP_R,Gaussian,2,cqr,capped,0.5,0.0,100,15.154120553633334,1.3726020777775203,15.023816571909826,4.41703131343842,5.368544620097457
0.1,3,200,TSCP_R,Gaussian,3,cqr,capped,0.5,0.0,100,10.79060921135512,1.077725185531926,10.635170916419476,3.482534087459345,3.6540375619478875
0.1,3,200,Unscaled,Gaussian,1,cqr,raw,0.5,0.0,100,15.098498101773403,0.8443170276422971,15.179455148490892,4.7774007084265575,5.160548696673422
0.1,3,200,Unscaled,Gaussian,2,cqr,raw,0.5,0.0,100,14.738128706785263,0.8468473452417034,14.804690497081435,4.41703131343842,5.160548696673422
0.1,3,200,Unscaled,Gaussian,3,cqr,raw,0.5,0.0,100,13.803631480806189,0.8503407550452752,13.814449025545123,3.482534087459345,5.160548696673422
