figure,source,setting,target,coverage_mean,coverage_1std,n_trials,redraw_train_test,n_train,n_test,one_sd_low,one_sd_high,target_within_one_sd,naive_standard_error,naive_ci95_low,naive_ci95_high
fig_app_cqr_base_interval,reviewer_update\data\cqr_base_alpha_summary.csv,base_interval_alpha=0.7,0.9,0.9055,0.0355044382310101,30,True,2400.0,600.0,0.8699955617689898,0.9410044382310101,True,0.0064821939035576825,0.8927948999490269,0.918205100050973
fig_app_cqr_base_interval,reviewer_update\data\cqr_base_alpha_summary.csv,base_interval_alpha=0.5,0.9,0.9045,0.0374374318387625,30,True,2400.0,600.0,0.8670625681612375,0.9419374318387624,True,0.0068351086377174426,0.8911031870700737,0.9178968129299262
fig_app_cqr_base_interval,reviewer_update\data\cqr_base_alpha_summary.csv,base_interval_alpha=0.3,0.9,0.9044444444444444,0.0336773436277068,30,True,2400.0,600.0,0.8707671008167376,0.9381217880721512,True,0.00614861359391596,0.8923931618003691,0.9164957270885197
fig_app_cqr_shift_sensitivity,reviewer_update\data\cqr_shift_summary.csv,shift_constant=100.0,0.9,0.9076666666666668,0.036482295081397,30,True,2400.0,600.0,0.8711843715852698,0.9441489617480638,True,0.006660725321880302,0.8946116450357815,0.9207216882975522
fig_app_cqr_shift_sensitivity,reviewer_update\data\cqr_shift_summary.csv,shift_constant=300.0,0.9,0.9076666666666668,0.036482295081397,30,True,2400.0,600.0,0.8711843715852698,0.9441489617480638,True,0.006660725321880302,0.8946116450357815,0.9207216882975522
fig_app_cqr_shift_sensitivity,reviewer_update\data\cqr_shift_summary.csv,shift_constant=1000.0,0.9,0.9076666666666668,0.036482295081397,30,True,2400.0,600.0,0.8711843715852698,0.9441489617480638,True,0.006660725321880302,0.8946116450357815,0.9207216882975522
fig_app_contamination_stress,reviewer_update\data\contamination_stress_summary.csv,contamination_fraction=0.0,0.9,0.90426875,0.0283126494083492,200,True,7200.0,800.0,0.8759561005916507,0.9325813994083492,True,0.0020020066390001013,0.9003448169875597,0.9081926830124402
fig_app_contamination_stress,reviewer_update\data\contamination_stress_summary.csv,contamination_fraction=0.01,0.9,0.90405,0.0301733475856195,200,True,7200.0,800.0,0.8738766524143805,0.9342233475856195,True,0.002133577868889029,0.8998681873769775,0.9082318126230225
fig_app_contamination_stress,reviewer_update\data\contamination_stress_summary.csv,contamination_fraction=0.05,0.9,0.89948125,0.0297062876943653,200,True,7200.0,800.0,0.8697749623056347,0.9291875376943654,True,0.002100551747256419,0.8953641685753775,0.9035983314246225
fig_app_contamination_stress,reviewer_update\data\contamination_stress_summary.csv,contamination_fraction=0.1,0.9,0.9024,0.0311533328996074,200,True,7200.0,800.0,0.8712466671003926,0.9335533328996074,True,0.002202873294987436,0.8980823683418246,0.9067176316581753
fig_app_shape_template_baseline,reviewer_update\data\shape_template_standard_summary.csv,n_cal=30,0.9,0.9131666666666668,0.0480457016813795,100,True,2400.0,600.0,0.8651209649852873,0.9612123683480462,True,0.00480457016813795,0.9037497091371164,0.9225836241962172
fig_app_shape_template_baseline,reviewer_update\data\shape_template_standard_summary.csv,n_cal=50,0.9,0.9013666666666666,0.0427783549744609,100,True,2400.0,600.0,0.8585883116922057,0.9441450216411276,True,0.00427783549744609,0.8929821090916723,0.909751224241661
