alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test
0.1,10,10,24,Empirical_copula,Gaussian,absolute_residual,0.34125,1022653224.7194859,18.506690119975666,0.0,True,7200,800
0.1,10,10,25,TSCP_R,Gaussian,absolute_residual,0.91875,713440022257.1708,36.85968056425378,0.001995086669921875,True,7200,800
0.1,10,10,25,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,25,Unscaled,Gaussian,absolute_residual,0.87875,4552184144843.51,18.44259300167425,0.0,True,7200,800
0.1,10,10,25,Empirical_copula,Gaussian,absolute_residual,0.31875,1192557937.775639,18.44259300166144,0.0009996891021728516,True,7200,800
0.1,10,10,26,TSCP_R,Gaussian,absolute_residual,0.97375,725158347646.8544,49.46474587539132,0.00200653076171875,True,7200,800
0.1,10,10,26,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010001659393310547,True,7200,800
0.1,10,10,26,Unscaled,Gaussian,absolute_residual,0.975,56879848768463.69,23.740826999256814,0.0,True,7200,800
0.1,10,10,26,Empirical_copula,Gaussian,absolute_residual,0.33125,813405230.8688785,23.740826999211777,0.0,True,7200,800
0.1,10,10,27,TSCP_R,Gaussian,absolute_residual,0.97375,2602275478799.8896,37.06231073086431,0.00200653076171875,True,7200,800
0.1,10,10,27,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,27,Unscaled,Gaussian,absolute_residual,0.8775,7690680604472.721,19.43553399877216,0.0,True,7200,800
0.1,10,10,27,Empirical_copula,Gaussian,absolute_residual,0.2875,606981692.8061852,19.435533998762743,0.0009999275207519531,True,7200,800
0.1,10,10,28,TSCP_R,Gaussian,absolute_residual,0.99375,3607858872263.698,39.35337870353726,0.0020062923431396484,True,7200,800
0.1,10,10,28,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,28,Unscaled,Gaussian,absolute_residual,0.81,2302879792811.482,17.22769311618776,0.0,True,7200,800
0.1,10,10,28,Empirical_copula,Gaussian,absolute_residual,0.2975,920333676.8353692,17.22769311610915,0.0,True,7200,800
0.1,10,10,29,TSCP_R,Gaussian,absolute_residual,0.85,3992185679746.8003,44.25503863857118,0.00200653076171875,True,7200,800
0.1,10,10,29,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,29,Unscaled,Gaussian,absolute_residual,0.95125,23934842537227.49,21.772237216519127,0.0,True,7200,800
0.1,10,10,29,Empirical_copula,Gaussian,absolute_residual,0.27,1689135392.7593853,21.772237216421566,0.0009999275207519531,True,7200,800
0.1,10,10,30,TSCP_R,Gaussian,absolute_residual,0.77375,187822564242.92007,39.66004174791515,0.00200653076171875,True,7200,800
0.1,10,10,30,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,30,Unscaled,Gaussian,absolute_residual,0.96625,46600680161518.74,23.272295651147157,0.0,True,7200,800
0.1,10,10,30,Empirical_copula,Gaussian,absolute_residual,0.24625,663335593.4460269,23.2722956510613,0.0009999275207519531,True,7200,800
0.1,10,10,31,TSCP_R,Gaussian,absolute_residual,0.9975,7725400108786.227,53.8910451535075,0.0010066032409667969,True,7200,800
0.1,10,10,31,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010001659393310547,True,7200,800
0.1,10,10,31,Unscaled,Gaussian,absolute_residual,0.9275,14329264395377.043,20.683421844611303,0.0,True,7200,800
0.1,10,10,31,Empirical_copula,Gaussian,absolute_residual,0.34375,1007785429.1752491,20.683421844532695,0.0009949207305908203,True,7200,800
0.1,10,10,32,TSCP_R,Gaussian,absolute_residual,0.965,4427308798411.158,49.346351533882384,0.002007007598876953,True,7200,800
0.1,10,10,32,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,32,Unscaled,Gaussian,absolute_residual,0.96625,34652421973020.375,22.59297175754699,0.0,True,7200,800
0.1,10,10,32,Empirical_copula,Gaussian,absolute_residual,0.26625,788321023.871671,22.592971757470877,0.0,True,7200,800
0.1,10,10,33,TSCP_R,Gaussian,absolute_residual,1.0,2.2496177150992656e+16,130.16203940278984,0.0009989738464355469,True,7200,800
0.1,10,10,33,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0009944438934326172,True,7200,800
0.1,10,10,33,Unscaled,Gaussian,absolute_residual,0.97125,43135245384716.055,23.093152701084293,0.0,True,7200,800
0.1,10,10,33,Empirical_copula,Gaussian,absolute_residual,0.6575,10212983074.987331,23.093152701039255,0.0,True,7200,800
0.1,10,10,34,TSCP_R,Gaussian,absolute_residual,0.97875,4958542947931.381,50.67256910794685,0.001999378204345703,True,7200,800
0.1,10,10,34,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,34,Unscaled,Gaussian,absolute_residual,0.94125,25063226260699.54,21.872765530646408,0.0,True,7200,800
0.1,10,10,34,Empirical_copula,Gaussian,absolute_residual,0.3375,1718867937.6330707,21.872765530569012,0.0010013580322265625,True,7200,800
0.1,10,10,35,TSCP_R,Gaussian,absolute_residual,0.985,7881751314520.801,51.479024735266364,0.0020012855529785156,True,7200,800
0.1,10,10,35,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010008811950683594,True,7200,800
0.1,10,10,35,Unscaled,Gaussian,absolute_residual,0.975,108473787658530.77,25.324010242300062,0.0,True,7200,800
0.1,10,10,35,Empirical_copula,Gaussian,absolute_residual,0.4275,1647876623.9246027,25.324010242221455,0.0,True,7200,800
0.1,10,10,36,TSCP_R,Gaussian,absolute_residual,0.9575,1566904426987.1116,48.734289247386485,0.0009944438934326172,True,7200,800
0.1,10,10,36,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0009992122650146484,True,7200,800
0.1,10,10,36,Unscaled,Gaussian,absolute_residual,0.98625,193835210706922.8,26.837574749593394,0.0,True,7200,800
0.1,10,10,36,Empirical_copula,Gaussian,absolute_residual,0.36,1427926112.5017571,26.837574749515998,0.0,True,7200,800
0.1,10,10,37,TSCP_R,Gaussian,absolute_residual,1.0,132367999994178.33,65.84416371815594,0.002012014389038086,True,7200,800
0.1,10,10,37,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0009953975677490234,True,7200,800
0.1,10,10,37,Unscaled,Gaussian,absolute_residual,0.9875,128545076537025.36,25.757608904361728,0.0,True,7200,800
0.1,10,10,37,Empirical_copula,Gaussian,absolute_residual,0.50875,3785720141.7097273,25.757608904285615,0.0,True,7200,800
