alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,30,20,CQHR,Gaussian,cqr,native,0.5,0.0,0.9083333333333333,17749718.790010482,136.78486073114297,18.72974608929658,0.0,True,2400,600
0.1,3,30,20,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.985,60362.985085950255,49.127101281757994,,0.0030074119567871094,True,2400,600
0.1,3,30,20,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8983333333333333,30762.334384386726,33.19262990629008,,0.0,True,2400,600
0.1,3,30,20,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.86,23498.053776132492,30.19598224619256,,0.0,True,2400,600
0.1,3,30,21,CQHR,Gaussian,cqr,native,0.5,0.0,0.9366666666666666,71018968.77364135,131.56351967071012,20.62254210853438,0.0,True,2400,600
0.1,3,30,21,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8633333333333333,20777.869921959664,33.55112186011177,,0.0009984970092773438,True,2400,600
0.1,3,30,21,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8683333333333333,24449.720909324882,30.639019346692645,,0.0,True,2400,600
0.1,3,30,21,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7783333333333333,13838.025907994306,30.17063624538906,,0.00099945068359375,True,2400,600
0.1,3,30,22,CQHR,Gaussian,cqr,native,0.5,0.0,0.87,274206.48186594853,69.61048109898888,20.52554308801972,0.0,True,2400,600
0.1,3,30,22,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8,15299.93357264805,36.33194926639649,,0.0009984970092773438,True,2400,600
0.1,3,30,22,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.805,18337.915691470156,27.640930310052955,,0.0,True,2400,600
0.1,3,30,22,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7333333333333333,10743.266163757846,30.500447438432428,,0.0009992122650146484,True,2400,600
0.1,3,30,23,CQHR,Gaussian,cqr,native,0.5,0.0,0.8333333333333334,6850197.678470682,87.76432172123681,13.479327065302503,0.0009996891021728516,True,2400,600
0.1,3,30,23,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.95,39236.64711854863,41.066490333293686,,0.0010001659393310547,True,2400,600
0.1,3,30,23,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9066666666666666,33189.238203790395,33.83423811614858,,0.0,True,2400,600
0.1,3,30,23,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8966666666666666,25565.093122948736,34.022189104674226,,0.0,True,2400,600
0.1,3,30,24,CQHR,Gaussian,cqr,native,0.5,0.0,0.8983333333333333,5189852.591367746,88.4024954116882,16.722885452598664,0.0,True,2400,600
0.1,3,30,24,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.92,36383.04854347648,51.989692048636826,,0.0009992122650146484,True,2400,600
0.1,3,30,24,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.94,43777.4866949591,37.23437905017488,,0.0,True,2400,600
0.1,3,30,24,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7583333333333333,14549.54138735004,38.96473770542453,,0.0010006427764892578,True,2400,600
0.1,3,30,25,CQHR,Gaussian,cqr,native,0.5,0.0,0.895,1879800.4826568062,83.3416005613036,17.12035531320817,0.0,True,2400,600
0.1,3,30,25,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.895,27568.80600790615,34.93415987533368,,0.0009999275207519531,True,2400,600
0.1,3,30,25,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.85,23186.728404879013,30.366712196399742,,0.0,True,2400,600
0.1,3,30,25,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.84,19364.778995258745,32.440621067844205,,0.0010025501251220703,True,2400,600
0.1,3,30,26,CQHR,Gaussian,cqr,native,0.5,0.0,0.8966666666666666,619674.4001557492,74.90717447718234,17.472011279816567,0.0,True,2400,600
0.1,3,30,26,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9316666666666666,32789.67719225283,42.09577446323476,,0.0009999275207519531,True,2400,600
0.1,3,30,26,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9583333333333334,51104.53967088861,38.930048020815896,,0.0,True,2400,600
0.1,3,30,26,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.845,19769.523876296866,37.67312000650189,,0.0009996891021728516,True,2400,600
0.1,3,30,27,CQHR,Gaussian,cqr,native,0.5,0.0,0.9316666666666666,1002094.8978900884,75.77963693090074,20.695880763589308,0.0,True,2400,600
0.1,3,30,27,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9483333333333334,43539.75594507347,48.83713089800562,,0.0009932518005371094,True,2400,600
0.1,3,30,27,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.955,63412.199508900456,41.368934102604435,,0.0,True,2400,600
0.1,3,30,27,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.9033333333333333,26729.818953225426,41.19563632968955,,0.0010068416595458984,True,2400,600
0.1,3,30,28,CQHR,Gaussian,cqr,native,0.5,0.0,0.9266666666666666,2471856.8771037078,121.2816953300054,23.24620264524807,0.0,True,2400,600
0.1,3,30,28,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9233333333333333,35372.36636852815,47.74760985749256,,0.0010004043579101562,True,2400,600
0.1,3,30,28,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9183333333333333,35666.46828663396,34.535813573339844,,0.0,True,2400,600
0.1,3,30,28,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.875,20375.42304457935,34.88806420887583,,0.0009944438934326172,True,2400,600
0.1,3,30,29,CQHR,Gaussian,cqr,native,0.5,0.0,0.8433333333333334,1222917.8277034806,65.53206229488633,13.522696983588922,0.0,True,2400,600
0.1,3,30,29,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.975,51556.30065604219,49.118040806030564,,0.0009996891021728516,True,2400,600
0.1,3,30,29,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9533333333333334,45956.67376570812,37.50932157089196,,0.0,True,2400,600
0.1,3,30,29,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.9033333333333333,25596.316056299922,36.76677587067555,,0.0,True,2400,600
0.1,3,50,0,CQHR,Gaussian,cqr,native,0.5,0.0,0.8966666666666666,1149739.9128512905,74.47296329089991,17.5820458336018,0.0010097026824951172,True,2400,600
0.1,3,50,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9383333333333334,37298.70051530506,36.775205915735,,0.000997781753540039,True,2400,600
0.1,3,50,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9316666666666666,37658.498577829305,34.964182151234716,,0.0,True,2400,600
0.1,3,50,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.9033333333333333,25810.637598708832,35.43659055599612,,0.0,True,2400,600
0.1,3,50,1,CQHR,Gaussian,cqr,native,0.5,0.0,0.9516666666666667,1041173.7636867396,94.41709830343602,22.780378572865107,0.0,True,2400,600
0.1,3,50,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9583333333333334,38251.44415046879,39.123081670038346,,0.0010004043579101562,True,2400,600
