alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,df,redraw_train_test,n_train,n_test
0.1,10,30,36,Empirical_copula,t,absolute_residual,0.705,55950928530.22644,169.23063589679566,0.0,1.5,True,7200,800
0.1,10,30,37,TSCP_R,t,absolute_residual,0.88125,13711796140596.996,67.31488413683454,0.001991748809814453,1.5,True,7200,800
0.1,10,30,37,Point_CHR,t,absolute_residual,0.9275,1799499881489990.0,150.51962205827266,0.0010001659393310547,1.5,True,7200,800
0.1,10,30,37,Empirical_copula,t,absolute_residual,0.73875,158741005064.89352,45.30835699087086,0.0,1.5,True,7200,800
0.1,10,30,38,TSCP_R,t,absolute_residual,0.7675,31339410849.30674,27.33035086693795,0.0030066967010498047,1.5,True,7200,800
0.1,10,30,38,Point_CHR,t,absolute_residual,0.88875,24986405636969.52,58.415492089486655,0.0,1.5,True,7200,800
0.1,10,30,38,Empirical_copula,t,absolute_residual,0.6375,1290657363.9659348,20.590383429580115,0.000993967056274414,1.5,True,7200,800
0.1,10,30,39,TSCP_R,t,absolute_residual,0.88375,895528374495.8829,34.303095539366495,0.0019948482513427734,1.5,True,7200,800
0.1,10,30,39,Point_CHR,t,absolute_residual,0.94875,224753663428598.2,50.5681569070331,0.0010023117065429688,1.5,True,7200,800
0.1,10,30,39,Empirical_copula,t,absolute_residual,0.63625,2078780113.5142412,27.618776572797305,0.0,1.5,True,7200,800
0.1,10,30,40,TSCP_R,t,absolute_residual,0.9775,1.2377218635463173e+18,130.42764789730694,0.0020012855529785156,1.5,True,7200,800
0.1,10,30,40,Point_CHR,t,absolute_residual,0.97375,1.9299207862043622e+18,215.42263153186337,0.0009987354278564453,1.5,True,7200,800
0.1,10,30,40,Empirical_copula,t,absolute_residual,0.82125,2863198266813.321,40.5939553676929,0.0,1.5,True,7200,800
0.1,10,30,41,TSCP_R,t,absolute_residual,0.925,57487412192327.5,51.970739987981624,0.0030057430267333984,1.5,True,7200,800
0.1,10,30,41,Point_CHR,t,absolute_residual,0.935,329022391935320.9,127.60931033463513,0.0,1.5,True,7200,800
0.1,10,30,41,Empirical_copula,t,absolute_residual,0.68625,12786641715.910843,41.85109041783702,0.000993490219116211,1.5,True,7200,800
0.1,10,30,42,TSCP_R,t,absolute_residual,0.99125,4.1568006840092203e+20,580.8668334765052,0.0020105838775634766,1.5,True,7200,800
0.1,10,30,42,Point_CHR,t,absolute_residual,0.995,1.7629420443976968e+24,3166.7668326164717,0.0009958744049072266,1.5,True,7200,800
0.1,10,30,42,Empirical_copula,t,absolute_residual,0.83375,19465110439361.066,121.23422744739078,0.0,1.5,True,7200,800
0.1,10,30,43,TSCP_R,t,absolute_residual,0.725,14233996929.25032,35.214994072157964,0.0019903182983398438,1.5,True,7200,800
0.1,10,30,43,Point_CHR,t,absolute_residual,0.95625,1972648622319014.8,54.6810055871227,0.00099945068359375,1.5,True,7200,800
0.1,10,30,43,Empirical_copula,t,absolute_residual,0.5875,729201344.4213516,36.79063835695409,0.0,1.5,True,7200,800
0.1,10,30,44,TSCP_R,t,absolute_residual,0.9675,2.7895906101960506e+17,232.21136406064883,0.0020008087158203125,1.5,True,7200,800
0.1,10,30,44,Point_CHR,t,absolute_residual,0.945,1.694315321790549e+17,389.20924017426034,0.001001119613647461,1.5,True,7200,800
0.1,10,30,44,Empirical_copula,t,absolute_residual,0.80375,1369738629514.2039,81.74194543067742,0.0,1.5,True,7200,800
0.1,10,30,45,TSCP_R,t,absolute_residual,0.88125,10936309466112.482,121.42765505576394,0.002995014190673828,1.5,True,7200,800
