alpha,n_dim,n_cal,method,noise_type,coordinate,df,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,500,TSCP_R,t,6,1.5,absolute_residual,True,7200,800,200,25.235546619008854,35.33850512814142,17.7641378029858
0.1,10,500,TSCP_R,t,7,1.5,absolute_residual,True,7200,800,200,25.46760355888411,44.77400859711843,17.994964993604945
0.1,10,500,TSCP_R,t,8,1.5,absolute_residual,True,7200,800,200,28.567616427201703,76.15608378613788,18.219220765158113
0.1,10,500,TSCP_R,t,9,1.5,absolute_residual,True,7200,800,200,29.990280309410377,88.49599396247457,17.590611721520162
0.1,10,500,TSCP_R,t,10,1.5,absolute_residual,True,7200,800,200,24.127828191474187,18.874476375368864,17.834172117489445
0.1,10,30,Empirical_copula,t,1,2.0,absolute_residual,True,7200,800,200,9.788368017763839,12.276550869127021,6.354370015366774
0.1,10,30,Empirical_copula,t,2,2.0,absolute_residual,True,7200,800,200,8.990314555331844,13.330589766729792,6.3242433416568105
0.1,10,30,Empirical_copula,t,3,2.0,absolute_residual,True,7200,800,200,8.801920282575722,8.02311865693348,6.805970445008342
0.1,10,30,Empirical_copula,t,4,2.0,absolute_residual,True,7200,800,200,8.527543656700123,9.629145509349014,6.27957094381839
0.1,10,30,Empirical_copula,t,5,2.0,absolute_residual,True,7200,800,200,8.781300333468355,7.44064821892244,6.311926392802696
0.1,10,30,Empirical_copula,t,6,2.0,absolute_residual,True,7200,800,200,9.29564178866193,9.413223038782869,6.69541040637632
0.1,10,30,Empirical_copula,t,7,2.0,absolute_residual,True,7200,800,200,8.645935782625736,7.728164418868796,6.581535528863976
0.1,10,30,Empirical_copula,t,8,2.0,absolute_residual,True,7200,800,200,8.858545981256809,8.073922919393969,6.783588158089124
0.1,10,30,Empirical_copula,t,9,2.0,absolute_residual,True,7200,800,200,8.579883482453383,8.187617370958126,6.098003704637728
0.1,10,30,Empirical_copula,t,10,2.0,absolute_residual,True,7200,800,200,9.30851611757715,8.89372303503879,6.879044051948819
0.1,10,30,Point_CHR,t,1,2.0,absolute_residual,True,7200,800,200,30.30571743822756,34.969004331466984,19.85971213199408
0.1,10,30,Point_CHR,t,2,2.0,absolute_residual,True,7200,800,200,31.10280597042838,47.220390315559214,19.891894723518902
0.1,10,30,Point_CHR,t,3,2.0,absolute_residual,True,7200,800,200,31.895231104166122,36.71141674521419,19.0240020028942
0.1,10,30,Point_CHR,t,4,2.0,absolute_residual,True,7200,800,200,31.57885516377403,43.70300127337205,18.911591004700732
0.1,10,30,Point_CHR,t,5,2.0,absolute_residual,True,7200,800,200,27.765762591857428,26.101133569825635,18.068169532138363
0.1,10,30,Point_CHR,t,6,2.0,absolute_residual,True,7200,800,200,32.614091898901,43.885372094254606,19.312339721444808
0.1,10,30,Point_CHR,t,7,2.0,absolute_residual,True,7200,800,200,31.89232143269399,43.57458274509183,20.045697545840827
0.1,10,30,Point_CHR,t,8,2.0,absolute_residual,True,7200,800,200,30.290696579420313,28.3360985530801,19.696991748436524
0.1,10,30,Point_CHR,t,9,2.0,absolute_residual,True,7200,800,200,30.150239683010163,32.584492509737686,17.818207331361272
0.1,10,30,Point_CHR,t,10,2.0,absolute_residual,True,7200,800,200,39.7840226168389,87.92723808360451,19.813082738770866
0.1,10,30,TSCP_R,t,1,2.0,absolute_residual,True,7200,800,200,16.701336132834047,18.39648952667476,11.975953236096807
0.1,10,30,TSCP_R,t,2,2.0,absolute_residual,True,7200,800,200,16.45899279403214,23.06448435459457,11.444416791721899
0.1,10,30,TSCP_R,t,3,2.0,absolute_residual,True,7200,800,200,15.327197512366784,11.889401195122655,12.077379924333414
0.1,10,30,TSCP_R,t,4,2.0,absolute_residual,True,7200,800,200,16.732342421701496,30.092635638986998,12.52952861139596
0.1,10,30,TSCP_R,t,5,2.0,absolute_residual,True,7200,800,200,15.861611020501975,13.405957941772945,11.505545300314713
0.1,10,30,TSCP_R,t,6,2.0,absolute_residual,True,7200,800,200,16.55011841562751,15.49703468858052,12.598517638087655
0.1,10,30,TSCP_R,t,7,2.0,absolute_residual,True,7200,800,200,15.300828444401418,11.323571966338841,12.139218341134475
0.1,10,30,TSCP_R,t,8,2.0,absolute_residual,True,7200,800,200,15.668942471295374,11.650745362903212,12.07960670524039
0.1,10,30,TSCP_R,t,9,2.0,absolute_residual,True,7200,800,200,14.918983778149276,11.596918962228944,11.652295068741935
0.1,10,30,TSCP_R,t,10,2.0,absolute_residual,True,7200,800,200,17.32826188018906,19.78596642841161,12.025971466235895
0.1,10,500,Empirical_copula,t,1,2.0,absolute_residual,True,7200,800,200,9.423735604649059,2.06705426059837,9.067703380469677
0.1,10,500,Empirical_copula,t,2,2.0,absolute_residual,True,7200,800,200,10.075644302016865,2.2541417776619603,9.66225935129791
0.1,10,500,Empirical_copula,t,3,2.0,absolute_residual,True,7200,800,200,9.579574767542715,2.292610177406555,9.248578349743369
0.1,10,500,Empirical_copula,t,4,2.0,absolute_residual,True,7200,800,200,9.674349436418588,1.8181100841446365,9.443681719339637
0.1,10,500,Empirical_copula,t,5,2.0,absolute_residual,True,7200,800,200,9.534747460070058,2.0408882712706466,9.338946832585645
0.1,10,500,Empirical_copula,t,6,2.0,absolute_residual,True,7200,800,200,9.602437298540814,2.096341301059166,9.186606701383493
0.1,10,500,Empirical_copula,t,7,2.0,absolute_residual,True,7200,800,200,9.636979709679418,2.0494747472339827,9.190806044681082
0.1,10,500,Empirical_copula,t,8,2.0,absolute_residual,True,7200,800,200,9.627222196585436,2.1009107139136836,9.347581785184348
0.1,10,500,Empirical_copula,t,9,2.0,absolute_residual,True,7200,800,200,9.904488796014117,2.28417175555165,9.420516533161244
0.1,10,500,Empirical_copula,t,10,2.0,absolute_residual,True,7200,800,200,9.562086663379255,2.1079642391778144,9.328109617318686
0.1,10,500,Point_CHR,t,1,2.0,absolute_residual,True,7200,800,200,10.030604202344922,1.372473388413082,9.975598622287947
0.1,10,500,Point_CHR,t,2,2.0,absolute_residual,True,7200,800,200,10.200869255849671,1.5601405758760494,9.934615741671358
0.1,10,500,Point_CHR,t,3,2.0,absolute_residual,True,7200,800,200,10.11253709697107,1.390168363702009,9.999440191992068
0.1,10,500,Point_CHR,t,4,2.0,absolute_residual,True,7200,800,200,10.119016506163987,1.6088680482172966,9.925693794573311
0.1,10,500,Point_CHR,t,5,2.0,absolute_residual,True,7200,800,200,9.988598237809013,1.5708939971511733,9.901108636444453
0.1,10,500,Point_CHR,t,6,2.0,absolute_residual,True,7200,800,200,9.944518935048146,1.304779624320662,9.773183056390309
0.1,10,500,Point_CHR,t,7,2.0,absolute_residual,True,7200,800,200,10.056488452652207,1.5806296512999005,9.834253831144931
0.1,10,500,Point_CHR,t,8,2.0,absolute_residual,True,7200,800,200,10.083200428820586,1.479599653499721,9.942299641049019
0.1,10,500,Point_CHR,t,9,2.0,absolute_residual,True,7200,800,200,10.17222136888489,1.4890919270994731,9.944033820761092
0.1,10,500,Point_CHR,t,10,2.0,absolute_residual,True,7200,800,200,10.168282005831362,1.4951068773360354,9.973148029982827
0.1,10,500,TSCP_R,t,1,2.0,absolute_residual,True,7200,800,200,11.49359398796282,7.812482618095518,9.389465829119843
0.1,10,500,TSCP_R,t,2,2.0,absolute_residual,True,7200,800,200,13.274768359310892,17.693265948793037,10.639814147606996
0.1,10,500,TSCP_R,t,3,2.0,absolute_residual,True,7200,800,200,11.450687184000753,7.629073910040562,9.901040646145667
0.1,10,500,TSCP_R,t,4,2.0,absolute_residual,True,7200,800,200,12.379111185011213,14.218674923820087,9.939376554682635
0.1,10,500,TSCP_R,t,5,2.0,absolute_residual,True,7200,800,200,11.0094987007553,4.852089948132404,9.768915491302817
0.1,10,500,TSCP_R,t,6,2.0,absolute_residual,True,7200,800,200,11.769238996479991,10.00947257482067,9.662171062482361
0.1,10,500,TSCP_R,t,7,2.0,absolute_residual,True,7200,800,200,11.840550769214564,11.640215725574192,9.74426594965517
0.1,10,500,TSCP_R,t,8,2.0,absolute_residual,True,7200,800,200,11.37654131031211,5.069449508486784,10.414583329785465
0.1,10,500,TSCP_R,t,9,2.0,absolute_residual,True,7200,800,200,11.731563918931618,8.68964275361836,9.96057152810408
0.1,10,500,TSCP_R,t,10,2.0,absolute_residual,True,7200,800,200,11.563978547082513,5.508225803432061,10.073149391067227
0.1,10,30,Empirical_copula,t,1,3.0,absolute_residual,True,7200,800,200,5.423034593514428,4.6516087794771455,4.21671573266746
0.1,10,30,Empirical_copula,t,2,3.0,absolute_residual,True,7200,800,200,5.1399978837471725,3.234080823154531,4.470805223615724
0.1,10,30,Empirical_copula,t,3,3.0,absolute_residual,True,7200,800,200,4.880658446702945,2.7824765816739534,4.165731575820086
0.1,10,30,Empirical_copula,t,4,3.0,absolute_residual,True,7200,800,200,5.240834560119783,3.158167907576156,4.280740480905123
0.1,10,30,Empirical_copula,t,5,3.0,absolute_residual,True,7200,800,200,4.97329740197213,2.6078920554501686,4.227135732751945
0.1,10,30,Empirical_copula,t,6,3.0,absolute_residual,True,7200,800,200,4.967636414668174,3.1378752280380184,4.0127600845745555
0.1,10,30,Empirical_copula,t,7,3.0,absolute_residual,True,7200,800,200,5.1270418299849085,2.9013310972851944,4.412095554203195
0.1,10,30,Empirical_copula,t,8,3.0,absolute_residual,True,7200,800,200,5.082125171725258,2.6317593036173275,4.462973888430406
0.1,10,30,Empirical_copula,t,9,3.0,absolute_residual,True,7200,800,200,5.054372033716168,2.2875465149546104,4.515340111038723
0.1,10,30,Empirical_copula,t,10,3.0,absolute_residual,True,7200,800,200,5.556117149348575,3.609812485705621,4.431816304862508
0.1,10,30,Point_CHR,t,1,3.0,absolute_residual,True,7200,800,200,15.040194091240856,37.99238642978838,9.194996709814252
0.1,10,30,Point_CHR,t,2,3.0,absolute_residual,True,7200,800,200,12.696623716304124,13.690018253193328,9.32472844568747
0.1,10,30,Point_CHR,t,3,3.0,absolute_residual,True,7200,800,200,11.969486294078997,8.276773062609236,9.71467089520052
0.1,10,30,Point_CHR,t,4,3.0,absolute_residual,True,7200,800,200,13.2784811021272,17.150974403179514,8.68487634744141
0.1,10,30,Point_CHR,t,5,3.0,absolute_residual,True,7200,800,200,13.046028844246667,11.532200309063834,8.661021436874314
0.1,10,30,Point_CHR,t,6,3.0,absolute_residual,True,7200,800,200,12.341803388532883,8.936935726300593,10.607608092519058
0.1,10,30,Point_CHR,t,7,3.0,absolute_residual,True,7200,800,200,12.57897069995364,10.43268080219157,9.578057624280044
0.1,10,30,Point_CHR,t,8,3.0,absolute_residual,True,7200,800,200,11.434797113793309,7.319455870232447,9.618883517858894
0.1,10,30,Point_CHR,t,9,3.0,absolute_residual,True,7200,800,200,11.315383842906847,7.928106827433242,8.761318011336124
