alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,6,inf,0.0,equicorrelated
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,7,inf,0.0,equicorrelated
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,8,inf,0.0,equicorrelated
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,9,inf,0.0,equicorrelated
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,10,inf,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,1,16.511803413581394,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,2,16.511803413581394,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,3,16.511803413581394,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,4,16.511803413581394,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,5,16.511803413581394,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,6,16.511803413581394,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,7,16.511803413581394,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,8,16.511803413581394,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,9,16.511803413581394,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,10,16.511803413581394,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,1,7.926216069952691,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,2,16.511803413536356,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,3,4.034307166407963,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,4,15.363572218524414,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,5,6.340739112455722,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,6,6.988761617702366,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,7,10.236839681340896,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,8,6.808833262443574,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,9,5.047995121829476,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,10,1.7070280401228133,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,1,31.22737577465681,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,2,34.61095424757139,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,3,27.36142890384035,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,4,21.411054471955495,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,5,14.130565664931643,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,6,14.65406106323671,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,7,16.29097897798685,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,8,12.70812422533486,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,9,3.6787549361667473,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,10,4.0556059764712895,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,1,inf,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,2,inf,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,3,inf,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,4,inf,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,5,inf,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,6,inf,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,7,inf,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,8,inf,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,9,inf,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,10,inf,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,1,16.60649400817589,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,2,16.60649400817589,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,3,16.60649400817589,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,4,16.60649400817589,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,5,16.60649400817589,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,6,16.60649400817589,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,7,16.60649400817589,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,8,16.60649400817589,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,9,16.60649400817589,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,10,16.60649400817589,0.0,equicorrelated
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,1,15.547782323378232,0.0,equicorrelated
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,2,16.60649400809003,0.0,equicorrelated
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,3,11.280542096419957,0.0,equicorrelated
