alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,6,13.626555645193378,0.6,equicorrelated
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,7,10.747128572623936,0.6,equicorrelated
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,8,8.613730186435472,0.6,equicorrelated
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,9,5.929477931847305,0.6,equicorrelated
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,10,2.8604080570121146,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,1,28.22611536430249,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,2,25.334212866854564,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,3,20.631631114325156,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,4,20.68825337910642,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,5,16.734380002208002,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,6,16.355026404522977,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,7,13.485324291131537,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,8,9.513685994491125,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,9,6.922101851945069,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,10,3.2959706985631376,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,1,20.688253379199097,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,2,20.688253379199097,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,3,20.688253379199097,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,4,20.688253379199097,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,5,20.688253379199097,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,6,20.688253379199097,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,7,20.688253379199097,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,8,20.688253379199097,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,9,20.688253379199097,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,10,20.688253379199097,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,1,27.59368297616663,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,2,26.5751348087797,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,3,23.171272120765856,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,4,20.68825337910642,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,5,14.20281126294243,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,6,11.981007923236767,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,7,12.558347043252793,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,8,8.823302940707144,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,9,5.328849676587282,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,10,2.4653610442721337,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,1,23.763658270679763,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,2,22.84608910605108,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,3,19.779091853932172,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,4,18.454409299675948,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,5,12.689071429643194,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,6,11.603125033131445,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,7,9.10156205625894,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,8,7.35647749166355,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,9,5.045605894466522,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,10,2.354357504426666,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,1,21.685643893626686,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,2,23.136840387437104,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,3,15.645352951481144,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,4,15.839519019851659,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,5,12.751601044135189,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,6,13.238819396759936,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,7,9.271217945096257,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,8,7.430970208836437,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,9,4.575370468098357,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,10,2.0950626077463066,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,1,18.457506652126717,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,2,18.457506652126717,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,3,18.457506652126717,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,4,18.457506652126717,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,5,18.457506652126717,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,6,18.457506652126717,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,7,18.457506652126717,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,8,18.457506652126717,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,9,18.457506652126717,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,10,18.457506652126717,0.6,equicorrelated
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,1,26.562842677434624,0.6,equicorrelated
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,2,23.35118565869125,0.6,equicorrelated
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,3,18.457506652070798,0.6,equicorrelated
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,4,19.513722514190647,0.6,equicorrelated
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,5,12.676014168966645,0.6,equicorrelated
