alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,noise_ratio
0.1,10,100,15,TSCP_R,Gaussian,absolute_residual,0.88625,13315.642773037232,2.858868296145734,0.003999948501586914,1
0.1,10,100,15,Point_CHR,Gaussian,absolute_residual,0.95,66042.52057205835,3.7561423965250746,0.0009999275207519531,1
0.1,10,100,15,Unscaled,Gaussian,absolute_residual,0.878125,10753.031365948475,2.5301897454619007,0.0,1
0.1,10,100,15,Empirical_copula,Gaussian,absolute_residual,0.79125,4843.5216342628055,2.7236977477662707,0.0010089874267578125,1
0.1,10,100,16,TSCP_R,Gaussian,absolute_residual,0.90125,13320.666072442684,2.866738070178554,0.004007577896118164,1
0.1,10,100,16,Point_CHR,Gaussian,absolute_residual,0.821875,6578.916457961034,3.1068748987858354,0.0,1
0.1,10,100,16,Unscaled,Gaussian,absolute_residual,0.90375,13329.679267130821,2.5851275140342036,0.0,1
0.1,10,100,16,Empirical_copula,Gaussian,absolute_residual,0.803125,5724.347852845934,2.866181691416876,0.0020008087158203125,1
0.1,10,100,17,TSCP_R,Gaussian,absolute_residual,0.9625,47991.59934831493,3.2645260968965513,0.004195451736450195,1
0.1,10,100,17,Point_CHR,Gaussian,absolute_residual,0.989375,220744.97214476918,4.169825464570729,0.0,1
0.1,10,100,17,Unscaled,Gaussian,absolute_residual,0.96625,43620.40678622563,2.910509164625082,0.0012860298156738281,1
0.1,10,100,17,Empirical_copula,Gaussian,absolute_residual,0.834375,11079.3761422105,3.262815571520431,0.001004934310913086,1
0.1,10,100,18,TSCP_R,Gaussian,absolute_residual,0.916875,16711.729916336477,3.0313101161755713,0.005008697509765625,1
0.1,10,100,18,Point_CHR,Gaussian,absolute_residual,0.90125,13945.175982801762,3.2585216842571416,0.0,1
0.1,10,100,18,Unscaled,Gaussian,absolute_residual,0.928125,16806.073543905575,2.645736726467512,0.0,1
0.1,10,100,18,Empirical_copula,Gaussian,absolute_residual,0.82125,5593.566360953648,2.6711409546942635,0.0009911060333251953,1
0.1,10,100,19,TSCP_R,Gaussian,absolute_residual,0.9125,19502.380029993554,3.142725016270716,0.0040056705474853516,1
0.1,10,100,19,Point_CHR,Gaussian,absolute_residual,0.93125,33344.52085504427,3.4431781103830286,0.0,1
0.1,10,100,19,Unscaled,Gaussian,absolute_residual,0.934375,21417.617054967483,2.7106729061493477,0.0,1
0.1,10,100,19,Empirical_copula,Gaussian,absolute_residual,0.838125,7898.125309711086,2.8785469767912346,0.00099945068359375,1
0.1,10,100,20,TSCP_R,Gaussian,absolute_residual,0.910625,17301.599018942277,3.225746666605683,0.004000186920166016,1
0.1,10,100,20,Point_CHR,Gaussian,absolute_residual,0.87,17711.33686914841,3.9773801611950432,0.0,1
0.1,10,100,20,Unscaled,Gaussian,absolute_residual,0.914375,15906.795844053564,2.63122671985132,0.0,1
0.1,10,100,20,Empirical_copula,Gaussian,absolute_residual,0.849375,7570.09877308256,2.799636891025643,0.0010089874267578125,1
0.1,10,100,21,TSCP_R,Gaussian,absolute_residual,0.9225,17958.753249169677,2.9042509200358086,0.005002498626708984,1
0.1,10,100,21,Point_CHR,Gaussian,absolute_residual,0.91125,20337.57852548143,3.189007731992522,0.0,1
0.1,10,100,21,Unscaled,Gaussian,absolute_residual,0.869375,8904.585755627639,2.482912255112308,0.0,1
0.1,10,100,21,Empirical_copula,Gaussian,absolute_residual,0.84625,9040.521869214588,3.2325254498908267,0.0010008811950683594,1
0.1,10,100,22,TSCP_R,Gaussian,absolute_residual,0.89625,13306.927255499333,2.791276556515863,0.0030095577239990234,1
0.1,10,100,22,Point_CHR,Gaussian,absolute_residual,0.89125,16147.90645177234,3.23105744887039,0.0009906291961669922,1
0.1,10,100,22,Unscaled,Gaussian,absolute_residual,0.879375,11135.630233115982,2.539051326443474,0.0,1
0.1,10,100,22,Empirical_copula,Gaussian,absolute_residual,0.815,5955.895177288076,2.6196215264665206,0.0010008811950683594,1
0.1,10,100,23,TSCP_R,Gaussian,absolute_residual,0.916875,17161.407116535935,3.093569868590302,0.00400543212890625,1
0.1,10,100,23,Point_CHR,Gaussian,absolute_residual,0.881875,10670.253126779486,2.8959182256422267,0.0010006427764892578,1
0.1,10,100,23,Unscaled,Gaussian,absolute_residual,0.9075,13244.55148194428,2.583471801376412,0.0,1
0.1,10,100,23,Empirical_copula,Gaussian,absolute_residual,0.84375,7885.1758341508785,3.0958793730369933,0.0009992122650146484,1
0.1,10,100,24,TSCP_R,Gaussian,absolute_residual,0.870625,11103.320022154427,2.9319907503299154,0.0040073394775390625,1
0.1,10,100,24,Point_CHR,Gaussian,absolute_residual,0.8725,10164.231768688158,2.754103062381528,0.0,1
0.1,10,100,24,Unscaled,Gaussian,absolute_residual,0.8925,11252.368432203813,2.5417006170859837,0.0,1
0.1,10,100,24,Empirical_copula,Gaussian,absolute_residual,0.8075,6930.487835668177,2.8648434620381913,0.0009996891021728516,1
0.1,10,100,25,TSCP_R,Gaussian,absolute_residual,0.9425,27471.204089599076,3.219731862442753,0.004001140594482422,1
0.1,10,100,25,Point_CHR,Gaussian,absolute_residual,0.924375,28062.31613584679,3.4778633732178683,0.0,1
0.1,10,100,25,Unscaled,Gaussian,absolute_residual,0.90375,12263.043004715482,2.5636564454903903,0.0,1
0.1,10,100,25,Empirical_copula,Gaussian,absolute_residual,0.860625,8308.876433161027,2.7934802710185522,0.0010075569152832031,1
0.1,10,100,26,TSCP_R,Gaussian,absolute_residual,0.900625,17757.810418549234,3.191850120125746,0.004000425338745117,1
0.1,10,100,26,Point_CHR,Gaussian,absolute_residual,0.913125,19962.695311238436,2.9794239787496535,0.0,1
0.1,10,100,26,Unscaled,Gaussian,absolute_residual,0.90625,16391.56281294123,2.6391376125521746,0.0,1
0.1,10,100,26,Empirical_copula,Gaussian,absolute_residual,0.81,6294.370198847167,2.804001362752889,0.0010104179382324219,1
0.1,10,100,27,TSCP_R,Gaussian,absolute_residual,0.893125,13871.040839236015,2.861842182927396,0.0040013790130615234,1
0.1,10,100,27,Point_CHR,Gaussian,absolute_residual,0.9125,25919.79789013981,3.321555267960523,0.0010008811950683594,1
0.1,10,100,27,Unscaled,Gaussian,absolute_residual,0.898125,13395.51636048503,2.586401514516953,0.0,1
0.1,10,100,27,Empirical_copula,Gaussian,absolute_residual,0.794375,5941.561141550525,2.979989338175953,0.0009987354278564453,1
0.1,10,100,28,TSCP_R,Gaussian,absolute_residual,0.92125,22526.97480158719,2.9817606984150604,0.004008769989013672,1
0.1,10,100,28,Point_CHR,Gaussian,absolute_residual,0.9625,108317.62610173583,4.329027328979432,0.001001119613647461,1
0.1,10,100,28,Unscaled,Gaussian,absolute_residual,0.89625,12753.61302408071,2.5737320073067775,0.0,1
0.1,10,100,28,Empirical_copula,Gaussian,absolute_residual,0.8375,8378.957070882785,2.9814671905656844,0.0009970664978027344,1
0.1,10,100,29,TSCP_R,Gaussian,absolute_residual,0.899375,14004.668259303116,2.943410987442017,0.0040056705474853516,1
0.1,10,100,29,Point_CHR,Gaussian,absolute_residual,0.91375,20958.768102455164,3.040291501899014,0.0010025501251220703,1
0.1,10,100,29,Unscaled,Gaussian,absolute_residual,0.886875,11000.408558173283,2.535951138596164,0.0,1
0.1,10,100,29,Empirical_copula,Gaussian,absolute_residual,0.846875,7625.18042851767,2.661172843235466,0.000997304916381836,1
0.1,10,100,30,TSCP_R,Gaussian,absolute_residual,0.915625,19811.138764113413,2.9652376138252663,0.0030059814453125,1
0.1,10,100,30,Point_CHR,Gaussian,absolute_residual,0.895,20552.39722950872,3.1818847103221186,0.0009999275207519531,1
0.1,10,100,30,Unscaled,Gaussian,absolute_residual,0.91,13370.958890284603,2.585926968142531,0.0,1
0.1,10,100,30,Empirical_copula,Gaussian,absolute_residual,0.810625,8249.985567800184,3.069030342410761,0.0009937286376953125,1
0.1,10,100,31,TSCP_R,Gaussian,absolute_residual,0.831875,6417.529024771048,2.6504545107282587,0.0040013790130615234,1
0.1,10,100,31,Point_CHR,Gaussian,absolute_residual,0.796875,5968.341212036579,2.930489673106167,0.0,1
0.1,10,100,31,Unscaled,Gaussian,absolute_residual,0.805,4600.434498321859,2.324234188328648,0.0,1
0.1,10,100,31,Empirical_copula,Gaussian,absolute_residual,0.734375,2889.875926495248,2.6173493339405347,0.0010063648223876953,1
0.1,10,100,32,TSCP_R,Gaussian,absolute_residual,0.87125,8913.643809654415,2.7507448698743096,0.004003047943115234,1
0.1,10,100,32,Point_CHR,Gaussian,absolute_residual,0.889375,16174.250880236277,3.216154384050437,0.0009999275207519531,1
0.1,10,100,32,Unscaled,Gaussian,absolute_residual,0.876875,8104.466192798536,2.4596450650959714,0.0,1
0.1,10,100,32,Empirical_copula,Gaussian,absolute_residual,0.788125,4371.832613975558,2.6690334418925197,0.000997781753540039,1
0.1,10,100,33,TSCP_R,Gaussian,absolute_residual,0.9375,31973.429118819506,3.276361314434297,0.004006147384643555,1
0.1,10,100,33,Point_CHR,Gaussian,absolute_residual,0.939375,32343.176077635377,3.240144979363665,0.0,1
