alpha,n_dim,n_cal,method,noise_type,correlation,correlation_structure,score_type,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,10,50,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,200,0.84895625,0.05582151534187166,26321076078.49437,26657123313.78047,24.360670202363934,0.000608060359954834
0.1,10,50,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,200,0.924040625,0.04998707737763996,315095804147.0507,773863938061.0762,29.135476455432883,0.0003403019905090332
0.1,10,50,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,200,0.911821875,0.03889136646205432,53780543561.46027,49845002225.94835,25.531185607752516,0.0032056725025177003
0.1,10,50,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,200,0.9062468749999999,0.03890876140963025,11006378211252.86,15141875636290.555,18.90839078753934,6.998538970947266e-05
0.1,10,100,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,200,0.863615625,0.037527673912471284,20896359146.18332,11794655345.931957,23.9281077015641,0.0010998189449310304
0.1,10,100,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,200,0.897509375,0.043850005832862596,47633862528.36282,45750891582.28875,25.506589078741914,0.00036029338836669923
0.1,10,100,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,200,0.902628125,0.03093175245453966,32761483212.845863,18729048108.370243,24.7280691341867,0.0035443508625030515
0.1,10,100,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,200,0.900409375,0.03023668655463743,6524775629734.915,4754551744089.8125,18.698956856424758,4.9976110458374026e-05
0.1,10,300,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,200,0.890478125,0.020389384113602735,22899751254.08714,7478235698.168576,23.952811165965205,0.003692294359207153
0.1,10,300,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,200,0.90123125,0.026935876039728825,29639190039.64458,13537274902.906845,24.519458638740595,0.0004169082641601563
0.1,10,300,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,200,0.902440625,0.019146416382336526,26013370324.32097,8562784578.567644,24.225601303494155,0.004425455331802369
0.1,10,300,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,200,0.90414375,0.0190408049581622,5918864362121.268,2477027030030.894,18.72344394062584,8.490800857543945e-05
0.1,10,500,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,200,0.8945406250000001,0.01723444394300255,22917295022.52991,5939302703.981155,24.04828912049846,0.007582672834396362
0.1,10,500,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,200,0.901803125,0.021018747753971945,27233222594.920303,9447690517.397648,24.45132208444751,0.00041816949844360353
0.1,10,500,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,200,0.90188125,0.015945148548970764,24716639402.8656,6036162640.238954,24.153931996939313,0.005497816801071167
0.1,10,500,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,200,0.9039562499999999,0.015301758231076315,5694608629809.961,1903336940279.7854,18.766902988638957,3.494977951049805e-05
0.1,10,30,Empirical_copula,Gaussian,0.9,equicorrelated,absolute_residual,200,0.8359218749999999,0.07354711728315863,5916001768.671506,10347998928.65088,19.936244771139275,0.0005348694324493409
0.1,10,30,Point_CHR,Gaussian,0.9,equicorrelated,absolute_residual,200,0.9358625,0.05790415914015712,538997889309.2209,3271531142924.5522,27.61726376809009,0.00034507036209106444
0.1,10,30,TSCP_R,Gaussian,0.9,equicorrelated,absolute_residual,200,0.9213625000000001,0.04378232653519194,27717105256.21846,37204852536.271515,22.863167418141863,0.0026357567310333254
0.1,10,30,Unscaled,Gaussian,0.9,equicorrelated,absolute_residual,200,0.9089156250000001,0.04841960897094141,8486357955580.5625,14866617577737.775,17.8672268264192,2.9964447021484377e-05
0.1,10,50,Empirical_copula,Gaussian,0.9,equicorrelated,absolute_residual,200,0.8663031250000001,0.04856797359014106,6015767470.882984,5970457430.2192545,20.431993849697328,0.0005851244926452637
0.1,10,50,Point_CHR,Gaussian,0.9,equicorrelated,absolute_residual,200,0.92421875,0.04596278425115354,56844509993.39487,119312935805.86224,24.493370894087278,0.0003549826145172119
0.1,10,50,TSCP_R,Gaussian,0.9,equicorrelated,absolute_residual,200,0.913915625,0.04005916231226228,14886311581.994064,15179375177.005793,21.976376107028294,0.002885575294494629
0.1,10,50,Unscaled,Gaussian,0.9,equicorrelated,absolute_residual,200,0.9059843750000001,0.03942845226768993,5688500727159.068,8922079713604.053,17.62048454645206,7.502317428588868e-05
0.1,10,100,Empirical_copula,Gaussian,0.9,equicorrelated,absolute_residual,200,0.879375,0.03417601727871719,5449463523.985107,3880662203.633257,20.549317270528046,0.0010502564907073975
0.1,10,100,Point_CHR,Gaussian,0.9,equicorrelated,absolute_residual,200,0.9026625,0.041604576644146914,13426816692.542166,15051796661.359211,22.14111978758192,0.0004046630859375
