alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,30,Unscaled,Gaussian,3,0.0,equicorrelated,absolute_residual,200,19.981475912456247,2.12366362267041,19.719591372992795
0.1,10,30,Unscaled,Gaussian,4,0.0,equicorrelated,absolute_residual,200,19.981475912456247,2.12366362267041,19.719591372992795
0.1,10,30,Unscaled,Gaussian,5,0.0,equicorrelated,absolute_residual,200,19.981475912456247,2.12366362267041,19.719591372992795
0.1,10,30,Unscaled,Gaussian,6,0.0,equicorrelated,absolute_residual,200,19.981475912456247,2.12366362267041,19.719591372992795
0.1,10,30,Unscaled,Gaussian,7,0.0,equicorrelated,absolute_residual,200,19.981475912456247,2.12366362267041,19.719591372992795
0.1,10,30,Unscaled,Gaussian,8,0.0,equicorrelated,absolute_residual,200,19.981475912456247,2.12366362267041,19.719591372992795
0.1,10,30,Unscaled,Gaussian,9,0.0,equicorrelated,absolute_residual,200,19.981475912456247,2.12366362267041,19.719591372992795
0.1,10,30,Unscaled,Gaussian,10,0.0,equicorrelated,absolute_residual,200,19.981475912456247,2.12366362267041,19.719591372992795
0.1,10,50,Empirical_copula,Gaussian,1,0.0,equicorrelated,absolute_residual,200,25.1563652686968,3.9610378405638293,24.8962087180953
0.1,10,50,Empirical_copula,Gaussian,2,0.0,equicorrelated,absolute_residual,200,22.270948539988,3.5927779919316714,21.75976022353867
0.1,10,50,Empirical_copula,Gaussian,3,0.0,equicorrelated,absolute_residual,200,20.505672791271714,3.589690703607809,20.214405819990382
0.1,10,50,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,200,17.92793565323478,2.8816949032430483,17.879284053729045
0.1,10,50,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,200,14.74335379413186,2.4172653205624934,14.41125455786018
0.1,10,50,Empirical_copula,Gaussian,6,0.0,equicorrelated,absolute_residual,200,12.589913088016974,2.1591588361757283,12.370623198731806
0.1,10,50,Empirical_copula,Gaussian,7,0.0,equicorrelated,absolute_residual,200,10.18446122232947,1.9162874862348793,10.052409072767688
0.1,10,50,Empirical_copula,Gaussian,8,0.0,equicorrelated,absolute_residual,200,7.4121068751168435,1.119162163859201,7.37979552524069
0.1,10,50,Empirical_copula,Gaussian,9,0.0,equicorrelated,absolute_residual,200,5.056454699975094,0.8919181099173505,5.054881782789842
0.1,10,50,Empirical_copula,Gaussian,10,0.0,equicorrelated,absolute_residual,200,2.5700288403897633,0.4611025266069865,2.4747729024239136
0.1,10,50,Point_CHR,Gaussian,1,0.0,equicorrelated,absolute_residual,200,30.438311093520788,6.881724723096022,29.70994794532705
0.1,10,50,Point_CHR,Gaussian,2,0.0,equicorrelated,absolute_residual,200,26.83866418392864,5.794854938054956,25.85493970350666
