alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,noise_ratio
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,200,11.401576274836671,1.4752176759992452,11.470498805149756,5
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,200,9.586587668787283,1.3012222202226118,9.62416084870501,5
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,200,7.9050477937199775,1.1494571484274616,7.794499725815444,5
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,200,6.631126219187748,0.8674458970095625,6.47954528223492,5
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,200,5.623905765660186,0.7793851559100696,5.59703290729133,5
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,200,4.7026970680337135,0.6271931523836471,4.687510874666487,5
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,200,3.9304918380103144,0.5186810871588655,3.899991215274273,5
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,200,3.232212253390045,0.43864611126051734,3.2065267717305566,5
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,200,2.694452317258648,0.38652091086685014,2.6220804364047083,5
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,200,13.216997270259446,1.0935984461845758,13.21037031992947,5
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,200,11.084406532575283,0.8576025583367022,11.098858062836955,5
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,200,9.313571002381522,0.8068164895214325,9.3401546381082,5
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,200,7.75362479349908,0.6642861934692085,7.7397310876364225,5
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,200,6.39986548057094,0.5295340459175102,6.430924659442955,5
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,200,5.391447458987333,0.43368507555295643,5.36857876028099,5
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,200,4.485943401441757,0.3943938267552668,4.478525878014047,5
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,200,3.8233505637857905,0.3382930081770644,3.8049619412430404,5
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,200,3.1580819678362486,0.2864049106969927,3.145891685952187,5
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,200,2.6296278786977796,0.2383966338716077,2.604275976188286,5
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,200,9.40722320891284,0.5258583134143507,9.387792866690912,5
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,200,9.40722320891284,0.5258583134143507,9.387792866690912,5
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,200,9.40722320891284,0.5258583134143507,9.387792866690912,5
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,200,9.40722320891284,0.5258583134143507,9.387792866690912,5
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,200,9.40722320891284,0.5258583134143507,9.387792866690912,5
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,200,9.40722320891284,0.5258583134143507,9.387792866690912,5
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,200,9.40722320891284,0.5258583134143507,9.387792866690912,5
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,200,9.40722320891284,0.5258583134143507,9.387792866690912,5
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,200,9.40722320891284,0.5258583134143507,9.387792866690912,5
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,200,9.40722320891284,0.5258583134143507,9.387792866690912,5
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,200,24.266320263038416,2.7452549353083047,24.081495089282278,10
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,200,18.837724591935388,1.939693189191166,18.48535341280793,10
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,200,14.571127358977073,1.6661787735002285,14.513194522147272,10
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,200,11.251221985783031,1.3060522911443269,11.050130319650407,10
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,200,8.631930235063722,0.9298818984924934,8.553739583651508,10
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,200,6.720166108197594,0.8088338966205284,6.613127279610443,10
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,200,5.225836099789304,0.6711232302112243,5.152651274362013,10
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,200,4.065595175503887,0.4777521727912081,3.9999170027388447,10
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,200,3.1375360885925376,0.40474778612017726,3.0694102318572325,10
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,200,2.432335577182991,0.28167516664775777,2.387080204656253,10
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,200,27.438936328725546,3.8333545770256645,27.26322589297056,10
