alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure
0.1,10,10,16,Empirical_copula,Gaussian,absolute_residual,0.49875,3330495516.5656304,25.113899173985917,0.0,0.0,equicorrelated
0.1,10,10,17,TSCP_R,Gaussian,absolute_residual,0.99125,5046541186843.361,38.08878166988517,0.0027768611907958984,0.0,equicorrelated
0.1,10,10,17,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,17,Unscaled,Gaussian,absolute_residual,0.813125,1950679340887.0396,16.944103221782434,0.0,0.0,equicorrelated
0.1,10,10,17,Empirical_copula,Gaussian,absolute_residual,0.259375,462301115.29359496,16.944103221696576,0.0009987354278564453,0.0,equicorrelated
0.1,10,10,18,TSCP_R,Gaussian,absolute_residual,0.951875,569731130428.6945,31.01138711999164,0.0030198097229003906,0.0,equicorrelated
0.1,10,10,18,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,18,Unscaled,Gaussian,absolute_residual,0.856875,3840641925283.2886,18.131777532266103,0.0,0.0,equicorrelated
0.1,10,10,18,Empirical_copula,Gaussian,absolute_residual,0.335,977471815.9347105,18.13177753216854,0.0009958744049072266,0.0,equicorrelated
0.1,10,10,19,TSCP_R,Gaussian,absolute_residual,0.874375,230257559966.6218,50.83692779444837,0.0020105838775634766,0.0,equicorrelated
0.1,10,10,19,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,19,Unscaled,Gaussian,absolute_residual,0.986875,210080537499341.4,27.054442061523186,0.0,0.0,equicorrelated
0.1,10,10,19,Empirical_copula,Gaussian,absolute_residual,0.3525,1168855945.6733394,27.054442061437328,0.0,0.0,equicorrelated
0.1,10,10,20,TSCP_R,Gaussian,absolute_residual,0.96125,1177815976480.3032,30.806161237315848,0.002016305923461914,0.0,equicorrelated
0.1,10,10,20,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0009899139404296875,0.0,equicorrelated
0.1,10,10,20,Unscaled,Gaussian,absolute_residual,0.63125,256729672572.38486,13.833994755216404,0.0,0.0,equicorrelated
0.1,10,10,20,Empirical_copula,Gaussian,absolute_residual,0.388125,961457811.0572466,13.833994755139008,0.0,0.0,equicorrelated
0.1,10,10,21,TSCP_R,Gaussian,absolute_residual,0.926875,319914099602.8664,30.603091207393497,0.0015103816986083984,0.0,equicorrelated
0.1,10,10,21,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,21,Unscaled,Gaussian,absolute_residual,0.96625,45566203492422.27,23.220110628426244,0.0,0.0,equicorrelated
0.1,10,10,21,Empirical_copula,Gaussian,absolute_residual,0.408125,1789506963.564864,23.220110628347637,0.0010175704956054688,0.0,equicorrelated
0.1,10,10,22,TSCP_R,Gaussian,absolute_residual,0.97875,1595316789408.3477,39.28062621390398,0.002004861831665039,0.0,equicorrelated
0.1,10,10,22,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,22,Unscaled,Gaussian,absolute_residual,0.96,38238041784483.81,22.816528314970277,0.0,0.0,equicorrelated
0.1,10,10,22,Empirical_copula,Gaussian,absolute_residual,0.466875,3546196410.7461333,22.816528314894164,0.0010025501251220703,0.0,equicorrelated
0.1,10,10,23,TSCP_R,Gaussian,absolute_residual,1.0,1529596494044890.2,78.05238801899996,0.0020029544830322266,0.0,equicorrelated
0.1,10,10,23,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,23,Unscaled,Gaussian,absolute_residual,0.9275,19973570232139.88,21.381864355675013,0.0,0.0,equicorrelated
0.1,10,10,23,Empirical_copula,Gaussian,absolute_residual,0.311875,997472226.6619381,21.381864355605277,0.0,0.0,equicorrelated
0.1,10,10,24,TSCP_R,Gaussian,absolute_residual,0.983125,826722585640.9368,39.60399236238697,0.0020079612731933594,0.0,equicorrelated
0.1,10,10,24,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
