alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure
0.05,10,100,9,TSCP_R,Gaussian,absolute_residual,0.97625,274470743511.27957,30.231772638269405,0.0040280818939208984,0.6,equicorrelated
0.05,10,100,9,Point_CHR,Gaussian,absolute_residual,0.98875,1071953371542.893,41.04447609388867,0.0,0.6,equicorrelated
0.05,10,100,9,Unscaled,Gaussian,absolute_residual,0.9825,94869471640754.88,24.986915503622132,0.0,0.6,equicorrelated
0.05,10,100,9,Empirical_copula,Gaussian,absolute_residual,0.913125,44397465103.911705,28.329153142450124,0.0010042190551757812,0.6,equicorrelated
0.1,10,100,9,TSCP_R,Gaussian,absolute_residual,0.91,25125079670.71331,23.637438062360953,0.003006458282470703,0.6,equicorrelated
0.1,10,100,9,Point_CHR,Gaussian,absolute_residual,0.949375,173792821194.5142,32.51434638467729,0.0,0.6,equicorrelated
0.1,10,100,9,Unscaled,Gaussian,absolute_residual,0.9475,15363772338694.562,20.828106338573413,0.0009996891021728516,0.6,equicorrelated
0.1,10,100,9,Empirical_copula,Gaussian,absolute_residual,0.87875,20598568534.113865,25.933124819011766,0.0010497570037841797,0.6,equicorrelated
0.2,10,100,9,TSCP_R,Gaussian,absolute_residual,0.83875,8881503420.127882,21.279409677018627,0.0029451847076416016,0.6,equicorrelated
0.2,10,100,9,Point_CHR,Gaussian,absolute_residual,0.8975,34580678316.41925,23.359981802885663,0.0010008811950683594,0.6,equicorrelated
0.2,10,100,9,Unscaled,Gaussian,absolute_residual,0.780625,612081425896.6602,15.089710926146385,0.0,0.6,equicorrelated
0.2,10,100,9,Empirical_copula,Gaussian,absolute_residual,0.775625,5065210512.58838,22.89731809098787,0.0009999275207519531,0.6,equicorrelated
0.05,10,100,10,TSCP_R,Gaussian,absolute_residual,0.94375,96750670879.56456,29.383141999585423,0.00500035285949707,0.6,equicorrelated
0.05,10,100,10,Point_CHR,Gaussian,absolute_residual,0.955,160237378611.3295,33.88824691225993,0.0,0.6,equicorrelated
0.05,10,100,10,Unscaled,Gaussian,absolute_residual,0.948125,19667815156460.055,21.34890535058249,0.0,0.6,equicorrelated
0.05,10,100,10,Empirical_copula,Gaussian,absolute_residual,0.89875,65481278370.59154,28.770825328155894,0.0009999275207519531,0.6,equicorrelated
0.1,10,100,10,TSCP_R,Gaussian,absolute_residual,0.87125,19047071114.788746,25.056885609527907,0.003005504608154297,0.6,equicorrelated
0.1,10,100,10,Point_CHR,Gaussian,absolute_residual,0.8975,30698300869.426502,21.4844736543368,0.0009930133819580078,0.6,equicorrelated
0.1,10,100,10,Unscaled,Gaussian,absolute_residual,0.895625,4857414687513.895,18.562673169201947,0.0,0.6,equicorrelated
0.1,10,100,10,Empirical_copula,Gaussian,absolute_residual,0.8375,16121467762.912725,28.172658520480784,0.001001596450805664,0.6,equicorrelated
0.2,10,100,10,TSCP_R,Gaussian,absolute_residual,0.744375,3412565378.4423833,21.00174262929228,0.0030107498168945312,0.6,equicorrelated
0.2,10,100,10,Point_CHR,Gaussian,absolute_residual,0.824375,9187263517.32379,21.13072049099517,0.0009872913360595703,0.6,equicorrelated
0.2,10,100,10,Unscaled,Gaussian,absolute_residual,0.7625,461393507892.153,14.669224257096987,0.0,0.6,equicorrelated
0.2,10,100,10,Empirical_copula,Gaussian,absolute_residual,0.715625,2531134512.719591,21.348905350504417,0.0010077953338623047,0.6,equicorrelated
0.05,10,100,11,TSCP_R,Gaussian,absolute_residual,0.965625,170427512733.44376,25.767988382846458,0.003992557525634766,0.6,equicorrelated
0.05,10,100,11,Point_CHR,Gaussian,absolute_residual,0.981875,545686281038.4357,31.962331572503913,0.0,0.6,equicorrelated
0.05,10,100,11,Unscaled,Gaussian,absolute_residual,0.935625,12930295409943.094,20.472026954967465,0.0,0.6,equicorrelated
0.05,10,100,11,Empirical_copula,Gaussian,absolute_residual,0.87625,26007030101.916668,21.051738806291908,0.002008199691772461,0.6,equicorrelated
0.1,10,100,11,TSCP_R,Gaussian,absolute_residual,0.88875,23733346519.200054,20.649878542619224,0.0029964447021484375,0.6,equicorrelated
