alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,noise_ratio
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,7,2.6233949106466277,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,8,2.4880845688274427,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,9,2.9207307047134208,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,10,2.493276265532902,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,1,2.2845514345767866,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,2,2.663645477538449,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,3,3.127352300404245,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,4,2.469686699864659,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,5,2.837044638521503,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,6,2.6488003808962954,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,7,2.9513219445445493,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,8,2.800421864385897,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,9,2.676297637592582,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,10,2.555661130116963,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,1,2.2167596432303043,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,2,2.575139656671848,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,3,3.2865360948991764,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,4,2.049846100914582,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,5,3.0628576971076233,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,6,2.949360889097001,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,7,3.284789074307234,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,8,2.6778096355475256,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,9,2.343904843807331,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,10,2.2405616047885744,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,1,2.790170673287979,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,2,2.790170673287979,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,3,2.790170673287979,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,4,2.790170673287979,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,5,2.790170673287979,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,6,2.790170673287979,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,7,2.790170673287979,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,8,2.790170673287979,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,9,2.790170673287979,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,10,2.790170673287979,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,1,2.1967516858155784,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,2,2.790170673276526,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,3,2.8898550327181987,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,4,1.9369864029151422,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,5,2.5394269338640605,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,6,2.3643148053978127,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,7,2.8358015266250334,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,8,2.360112683238426,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,9,2.566628675910488,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,10,2.363515600473026,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,1,2.808569775526915,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,2,2.7715402893607672,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,3,2.319919582176655,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,4,2.5530007670375783,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,5,2.1378641129066613,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,6,3.0043903161129295,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,7,2.5259587701318846,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,8,2.616573437747501,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,9,2.9679399627829213,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,10,2.3966568921653013,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,1,3.3715408252672394,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,2,2.6119937521453664,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,3,2.477109679940995,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,4,2.3011942089482194,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,5,2.52066570439761,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,6,2.5460328232898632,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,7,2.8232760888924466,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,8,2.8089353109281245,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,9,2.5365283624186943,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,10,2.63618376352244,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,1,2.6119937521543712,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,2,2.6119937521543712,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,3,2.6119937521543712,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,4,2.6119937521543712,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,5,2.6119937521543712,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,6,2.6119937521543712,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,7,2.6119937521543712,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,8,2.6119937521543712,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,9,2.6119937521543712,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,10,2.6119937521543712,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,1,2.6387801972366454,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,2,2.9838635622532084,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,3,2.0183717613680363,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,4,2.2708564139409444,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,5,2.110259882175253,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,6,3.5367620701957243,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,7,1.9603135907939402,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,8,2.3686020923222237,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,9,2.6091616636935715,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,10,2.2327116792160915,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,1,2.7061323989840855,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,2,2.65596771992628,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,3,2.497411106236341,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,4,2.662785784418129,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,5,2.5841193086592744,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,6,2.482590110388462,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,7,2.1380466977920083,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,8,2.723953360213491,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,9,2.6773519456678168,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,10,2.515692706393674,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,1,3.2326373762218332,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,2,2.856429041642011,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,3,2.9877371009536926,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,4,2.967607653705077,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,5,3.1912484277408284,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,6,3.1524925423698917,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,7,2.5249293490519116,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,8,3.2636628118636617,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,9,3.228895618739867,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,10,2.366729789013224,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,1,2.5881557931943227,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,2,2.5881557931943227,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,3,2.5881557931943227,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,4,2.5881557931943227,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,5,2.5881557931943227,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,6,2.5881557931943227,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,7,2.5881557931943227,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,8,2.5881557931943227,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,9,2.5881557931943227,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,10,2.5881557931943227,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,1,2.4898937013888087,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,2,2.856429041642011,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,3,2.2280439678355215,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,4,2.3641046281296054,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,5,2.1220406593744716,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,6,2.3184922016677234,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,7,2.0011127405615285,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,8,2.429759541368858,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,9,2.850183346445233,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,10,2.6970394911970317,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,1,2.6457632369978055,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,2,2.598408384271301,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,3,2.6824405289526236,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,4,3.0399793880774637,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,5,2.461784112100868,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,6,2.572237588140996,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,7,2.6923916512232227,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,8,2.89045118850688,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,9,2.6773117284728345,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,10,2.7889625261486453,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,1,2.9456458844270044,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,2,2.5714386038325565,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,3,2.7651054286457466,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,4,3.1898022848903755,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,5,2.625026369394389,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,6,2.3836997137855462,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,7,3.091563139483513,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,8,3.0694086397714777,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,9,2.7057589357135208,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,10,2.5362290426785723,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,1,2.6250263694509126,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,2,2.6250263694509126,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,3,2.6250263694509126,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,4,2.6250263694509126,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,5,2.6250263694509126,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,6,2.6250263694509126,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,7,2.6250263694509126,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,8,2.6250263694509126,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,9,2.6250263694509126,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,10,2.6250263694509126,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,1,2.3659559080289254,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,2,2.371172815240807,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,3,2.3086488875957336,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,4,2.790268979660958,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,5,2.3561411082449597,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,6,2.4840927038429683,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,7,2.576032655884438,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,8,2.6823481425485003,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,9,2.7390136004035366,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,10,2.3700604264568845,1
0.1,10,100,8,TSCP_R,Gaussian,absolute_residual,1,2.432132567432988,1
0.1,10,100,8,TSCP_R,Gaussian,absolute_residual,2,2.39544499453136,1
0.1,10,100,8,TSCP_R,Gaussian,absolute_residual,3,2.4862358360558807,1
0.1,10,100,8,TSCP_R,Gaussian,absolute_residual,4,2.426431347904486,1
0.1,10,100,8,TSCP_R,Gaussian,absolute_residual,5,2.7328534526919173,1
