alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length,redraw_train_test,n_train,n_test
0.1,3,100,4,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.4495372901631884,11.206249151941313,23.86203559404581,True,2400,600
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.3690161876850437,13.55113634936138,29.47128888640781,True,2400,600
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.55451763309356,13.55113634936138,29.656790331816342,True,2400,600
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.4495372901631884,13.55113634936138,28.551809988885907,True,2400,600
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.3690161876850437,13.551136349317666,29.47128888632038,True,2400,600
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.55451763309356,14.756374302810116,32.06726623871378,True,2400,600
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.4495372901631884,11.095070339834825,23.63967796983286,True,2400,600
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.530931099070235,175.40121464365893,353.33336038639163,True,2400,600
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.3396171868335967,704.9926916743786,1412.325000535591,True,2400,600
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.3106740083909358,459.44757919437075,920.205832397133,True,2400,600
0.1,3,100,5,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.530931099070235,19.44112296069678,41.413177020463806,True,2400,600
0.1,3,100,5,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.3396171868335967,18.757512144848167,39.85464147652991,True,2400,600
0.1,3,100,5,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.3106740083909358,8.525595061350488,18.361864131091924,True,2400,600
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.530931099070235,17.640481882258243,37.81189486358673,True,2400,600
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.3396171868335967,17.640481882258243,37.6205809513501,True,2400,600
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.3106740083909358,17.640481882258243,36.59163777290742,True,2400,600
0.1,3,100,5,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.530931099070235,19.485153570044837,41.50123823915988,True,2400,600
0.1,3,100,5,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.3396171868335967,17.640481882188215,37.62058095120997,True,2400,600
0.1,3,100,5,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.3106740083909358,8.446769034826673,18.204212078044282,True,2400,600
0.1,3,100,6,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.410785024831809,73.83756111760171,150.08590726003612,True,2400,600
0.1,3,100,6,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.4354403471183486,426.3181839693783,855.0718082858749,True,2400,600
0.1,3,100,6,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.362524886841233,292.6623073435606,586.6871395739635,True,2400,600
0.1,3,100,6,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.410785024831809,17.373273300783076,37.15733162639798,True,2400,600
0.1,3,100,6,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.4354403471183486,18.1449732072571,38.72538676163258,True,2400,600
0.1,3,100,6,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.362524886841233,10.611494876843423,22.585514640528075,True,2400,600
0.1,3,100,6,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.410785024831809,15.869445882292915,34.14967678941761,True,2400,600
0.1,3,100,6,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.4354403471183486,15.869445882292915,34.174332111704175,True,2400,600
0.1,3,100,6,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.362524886841233,15.869445882292915,33.101416651427016,True,2400,600
0.1,3,100,6,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.410785024831809,15.98436056988062,34.37950616459307,True,2400,600
0.1,3,100,6,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.4354403471183486,18.079240218166483,38.5939207834513,True,2400,600
0.1,3,100,6,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.362524886841233,10.575303713488143,22.5131323138175,True,2400,600
0.1,3,100,7,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.255275055531244,80.16535726805112,162.58598959163237,True,2400,600
0.1,3,100,7,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.40029388947255,384.04485850437544,770.4900108982229,True,2400,600
0.1,3,100,7,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.4154421710182072,215.26127541571316,431.9379930024449,True,2400,600
0.1,3,100,7,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.255275055531244,15.371758602048818,32.99879225962888,True,2400,600
0.1,3,100,7,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.40029388947255,17.469247618118274,37.33878912570911,True,2400,600
0.1,3,100,7,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.4154421710182072,9.459881815106979,20.33520580123217,True,2400,600
0.1,3,100,7,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.255275055531244,15.179943372101642,32.615161799734516,True,2400,600
0.1,3,100,7,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.40029388947255,15.179943372101642,32.76018063367583,True,2400,600
0.1,3,100,7,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.4154421710182072,15.179943372101642,31.7753289152215,True,2400,600
0.1,3,100,7,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.255275055531244,14.030104241752452,30.315483539036165,True,2400,600
0.1,3,100,7,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.40029388947255,16.0200019141577,34.44029771778793,True,2400,600
0.1,3,100,7,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.4154421710182072,9.412368641661809,20.240179454341835,True,2400,600
0.1,3,100,8,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.286367643058637,84.18671982143864,170.6598072859365,True,2400,600
0.1,3,100,8,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.5260446541747585,543.3628512631813,1089.2517471805354,True,2400,600
0.1,3,100,8,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.5725088741674296,301.8572002552093,605.2869093845864,True,2400,600
0.1,3,100,8,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.286367643058637,19.141971258876165,40.57031016081098,True,2400,600
0.1,3,100,8,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.5260446541747585,20.41050907781577,43.347062809806324,True,2400,600
0.1,3,100,8,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.5725088741674296,8.623315618585218,18.81914011133787,True,2400,600
0.1,3,100,8,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.286367643058637,16.255729240875567,34.79782612480977,True,2400,600
0.1,3,100,8,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.5260446541747585,16.255729240875567,35.03750313592587,True,2400,600
0.1,3,100,8,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.5725088741674296,16.255729240875567,34.083967355918524,True,2400,600
0.1,3,100,8,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.286367643058637,21.48966697783341,45.2657015987255,True,2400,600
0.1,3,100,8,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.5260446541747585,18.952636819614526,40.43131829340387,True,2400,600
0.1,3,100,8,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.5725088741674296,8.589750645568024,18.75201016530348,True,2400,600
0.1,3,100,9,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.5274678670325783,111.45371774162794,225.43490335028895,True,2400,600
0.1,3,100,9,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.5970444832651167,444.92428451018736,892.4456135036404,True,2400,600
0.1,3,100,9,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.5723377190624215,295.0454932146922,591.6633241484459,True,2400,600
0.1,3,100,9,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.5274678670325783,18.32014230919622,39.167752485424984,True,2400,600
0.1,3,100,9,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.5970444832651167,20.94903123851097,44.495106960287025,True,2400,600
0.1,3,100,9,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.5723377190624215,10.05326487176459,21.678867462591597,True,2400,600
0.1,3,100,9,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.5274678670325783,17.620484975469882,37.76843781797238,True,2400,600
0.1,3,100,9,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.5970444832651167,17.620484975469882,37.83801443420485,True,2400,600
0.1,3,100,9,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.5723377190624215,17.620484975469882,36.8133076700022,True,2400,600
0.1,3,100,9,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.5274678670325783,19.533498230885506,41.59446432880356,True,2400,600
0.1,3,100,9,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.5970444832651167,22.32878431135228,47.25461310596968,True,2400,600
0.1,3,100,9,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.5723377190624215,9.134924498784654,19.84218671663174,True,2400,600
0.1,3,100,10,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.3470467923327516,85.65665071967128,173.66034823167666,True,2400,600
0.1,3,100,10,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.4526578489307953,320.17565731924844,642.8039724874268,True,2400,600
0.1,3,100,10,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.3937413514308497,165.12966564870848,331.65307264884734,True,2400,600
0.1,3,100,10,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.3470467923327516,16.60231835150899,35.55168349535076,True,2400,600
0.1,3,100,10,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.4526578489307953,18.887148748352182,40.226955345635176,True,2400,600
0.1,3,100,10,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.3937413514308497,10.880851217469754,23.155443786370387,True,2400,600
0.1,3,100,10,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.3470467923327516,16.62177055150588,35.590587895344505,True,2400,600
0.1,3,100,10,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.4526578489307953,16.62177055150588,35.69619895194255,True,2400,600
0.1,3,100,10,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.3937413514308497,16.62177055150588,34.63728245444265,True,2400,600
0.1,3,100,10,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.3470467923327516,17.011367091729507,36.36978097579177,True,2400,600
0.1,3,100,10,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.4526578489307953,16.62177055149065,35.696198951912145,True,2400,600
0.1,3,100,10,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.3937413514308497,10.722696980431275,22.839135312293397,True,2400,600
0.1,3,100,11,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.5465617844833175,80.3441003256352,163.2347624357522,True,2400,600
0.1,3,100,11,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.434003063625733,273.54929741832433,549.532597900275,True,2400,600
0.1,3,100,11,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.4858788541254815,171.779094308881,345.04406747188756,True,2400,600
0.1,3,100,11,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.5465617844833175,18.48310142280937,39.51276463010208,True,2400,600
0.1,3,100,11,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.434003063625733,20.543137220728667,43.52027750508304,True,2400,600
0.1,3,100,11,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.4858788541254815,11.14108943315482,23.768057720435134,True,2400,600
0.1,3,100,11,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.5465617844833175,17.189090732826134,36.9247432501356,True,2400,600
0.1,3,100,11,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.434003063625733,17.189090732826134,36.81218452927799,True,2400,600
0.1,3,100,11,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.4858788541254815,17.189090732826134,35.86406031977778,True,2400,600
0.1,3,100,11,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.5465617844833175,17.189090732781793,36.92474325004688,True,2400,600
0.1,3,100,11,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.434003063625733,19.9951427159262,42.4242884954781,True,2400,600
0.1,3,100,11,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.4858788541254815,9.870252908722186,21.226384671569875,True,2400,600
0.1,3,100,12,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.383293826823882,86.76057139961685,175.9044366260594,True,2400,600
0.1,3,100,12,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.5503637423831864,435.9484462815762,874.4472563055364,True,2400,600
0.1,3,100,12,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.4443844978066909,297.27372940169766,595.9918433012026,True,2400,600
0.1,3,100,12,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.383293826823882,16.0986692420197,34.58063231086332,True,2400,600
0.1,3,100,12,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.5503637423831864,18.964659987979775,40.479683718342756,True,2400,600
0.1,3,100,12,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.4443844978066909,10.321201314808565,22.08678712742381,True,2400,600
0.1,3,100,12,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.383293826823882,14.445239051546492,31.273771929916826,True,2400,600
0.1,3,100,12,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.5503637423831864,14.445239051546492,31.440841845476132,True,2400,600
0.1,3,100,12,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.4443844978066909,14.445239051546492,30.334862600899687,True,2400,600
0.1,3,100,12,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.383293826823882,14.649371755029314,31.682037336882512,True,2400,600
0.1,3,100,12,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.5503637423831864,15.601631182413305,33.75362610720986,True,2400,600
0.1,3,100,12,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.4443844978066909,10.279575243997199,22.00353498580108,True,2400,600
0.1,3,100,13,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.503774842756748,55.05220206745141,112.60817897766009,True,2400,600
0.1,3,100,13,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.448446354096043,206.78597541699116,416.02039718807805,True,2400,600
0.1,3,100,13,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.4300133924019314,129.37215790852605,260.1743292094538,True,2400,600
0.1,3,100,13,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.503774842756748,14.04669031921048,30.597155481177683,True,2400,600
0.1,3,100,13,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.448446354096043,15.832606980846293,34.1136603157886,True,2400,600
0.1,3,100,13,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.4300133924019314,8.100667854982582,17.631349102367096,True,2400,600
0.1,3,100,13,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.503774842756748,13.740996922320807,29.98576868739841,True,2400,600
0.1,3,100,13,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.448446354096043,13.740996922320807,29.930440198737628,True,2400,600
0.1,3,100,13,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.4300133924019314,13.740996922320807,28.91200723704354,True,2400,600
0.1,3,100,13,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.503774842756748,13.740996922305378,29.985768687367486,True,2400,600
0.1,3,100,13,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.448446354096043,15.658092292899461,33.76463093989497,True,2400,600
0.1,3,100,13,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.4300133924019314,8.035139747671863,17.500292887745665,True,2400,600
0.1,3,100,14,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.5784996091783206,73.63595930647665,149.85041822213054,True,2400,600
0.1,3,100,14,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.6933079158644624,314.16735442078027,631.0280167574249,True,2400,600
0.1,3,100,14,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.4537770459669848,195.1398300414384,391.733437128844,True,2400,600
0.1,3,100,14,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.5784996091783206,15.277232273639477,33.13296415645728,True,2400,600
0.1,3,100,14,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.6933079158644624,17.531908596019612,37.75712510790368,True,2400,600
0.1,3,100,14,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.4537770459669848,11.21977958766012,23.89333622128722,True,2400,600
0.1,3,100,14,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.5784996091783206,15.062153811915602,32.70280723300952,True,2400,600
0.1,3,100,14,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.6933079158644624,15.062153811915602,32.81761553969568,True,2400,600
0.1,3,100,14,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.4537770459669848,15.062153811915602,31.578084669798173,True,2400,600
0.1,3,100,14,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.5784996091783206,15.062153811900371,32.70280723297908,True,2400,600
0.1,3,100,14,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.6933079158644624,16.769363696189806,36.23203530824409,True,2400,600
0.1,3,100,14,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.4537770459669848,8.295169676067552,18.044116398102094,True,2400,600
0.1,3,100,15,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.4735838947155537,36.09449111145886,74.66256611763232,True,2400,600
0.1,3,100,15,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.6422586107524717,290.73221135870625,584.1066813281643,True,2400,600
0.1,3,100,15,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.5332134272109639,175.80961217111684,353.1524377694448,True,2400,600
0.1,3,100,15,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.4735838947155537,15.632097701045769,33.73777929680711,True,2400,600
0.1,3,100,15,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.6422586107524717,16.355654574725378,35.35356776020321,True,2400,600
0.1,3,100,15,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.5332134272109639,10.881182871461142,23.295579170133237,True,2400,600
0.1,3,100,15,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.4735838947155537,15.721351970691876,33.916287836099315,True,2400,600
0.1,3,100,15,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.6422586107524717,15.721351970691876,34.08496255213621,True,2400,600
0.1,3,100,15,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.5332134272109639,15.721351970691876,32.97591736859474,True,2400,600
0.1,3,100,15,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.4735838947155537,14.665306288698291,31.804196472112142,True,2400,600
0.1,3,100,15,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.6422586107524717,16.293167601967145,35.22859381468671,True,2400,600
0.1,3,100,15,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.5332134272109639,9.902076506469959,21.337366440150856,True,2400,600
0.1,3,100,16,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.3963700045422573,32.39626028777399,67.18889058009042,True,2400,600
