alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,2,30,15,TSCP_R,Gaussian,absolute_residual,2,1.5603787930688617,True,2400,600
0.1,2,30,15,Point_CHR,Gaussian,absolute_residual,1,6.108969609007245,True,2400,600
0.1,2,30,15,Point_CHR,Gaussian,absolute_residual,2,1.4121297425125643,True,2400,600
0.1,2,30,15,Unscaled,Gaussian,absolute_residual,1,4.4114995559187005,True,2400,600
0.1,2,30,15,Unscaled,Gaussian,absolute_residual,2,4.4114995559187005,True,2400,600
0.1,2,30,16,TSCP_R,Gaussian,absolute_residual,1,3.3467217494706416,True,2400,600
0.1,2,30,16,TSCP_R,Gaussian,absolute_residual,2,2.096198484961745,True,2400,600
0.1,2,30,16,Point_CHR,Gaussian,absolute_residual,1,4.382135652907498,True,2400,600
0.1,2,30,16,Point_CHR,Gaussian,absolute_residual,2,2.1813771167205687,True,2400,600
0.1,2,30,16,Unscaled,Gaussian,absolute_residual,1,2.7126259394554038,True,2400,600
0.1,2,30,16,Unscaled,Gaussian,absolute_residual,2,2.7126259394554038,True,2400,600
0.1,2,30,17,TSCP_R,Gaussian,absolute_residual,1,4.1206046664918645,True,2400,600
0.1,2,30,17,TSCP_R,Gaussian,absolute_residual,2,2.015057970769411,True,2400,600
0.1,2,30,17,Point_CHR,Gaussian,absolute_residual,1,4.650299190109273,True,2400,600
0.1,2,30,17,Point_CHR,Gaussian,absolute_residual,2,2.4928877215728966,True,2400,600
0.1,2,30,17,Unscaled,Gaussian,absolute_residual,1,3.5240290364841034,True,2400,600
0.1,2,30,17,Unscaled,Gaussian,absolute_residual,2,3.5240290364841034,True,2400,600
0.1,2,30,18,TSCP_R,Gaussian,absolute_residual,1,4.121425571500174,True,2400,600
0.1,2,30,18,TSCP_R,Gaussian,absolute_residual,2,2.0673445584663583,True,2400,600
0.1,2,30,18,Point_CHR,Gaussian,absolute_residual,1,4.224922600297811,True,2400,600
0.1,2,30,18,Point_CHR,Gaussian,absolute_residual,2,2.5681308114700525,True,2400,600
0.1,2,30,18,Unscaled,Gaussian,absolute_residual,1,3.7202232317485415,True,2400,600
0.1,2,30,18,Unscaled,Gaussian,absolute_residual,2,3.7202232317485415,True,2400,600
0.1,2,30,19,TSCP_R,Gaussian,absolute_residual,1,4.157336510909678,True,2400,600
0.1,2,30,19,TSCP_R,Gaussian,absolute_residual,2,2.364209019716336,True,2400,600
0.1,2,30,19,Point_CHR,Gaussian,absolute_residual,1,5.676781397781525,True,2400,600
0.1,2,30,19,Point_CHR,Gaussian,absolute_residual,2,2.595282172008414,True,2400,600
0.1,2,30,19,Unscaled,Gaussian,absolute_residual,1,3.569323823814458,True,2400,600
0.1,2,30,19,Unscaled,Gaussian,absolute_residual,2,3.569323823814458,True,2400,600
0.1,2,30,20,TSCP_R,Gaussian,absolute_residual,1,3.7258675672194874,True,2400,600
0.1,2,30,20,TSCP_R,Gaussian,absolute_residual,2,1.9402956656351327,True,2400,600
0.1,2,30,20,Point_CHR,Gaussian,absolute_residual,1,4.105056747301896,True,2400,600
0.1,2,30,20,Point_CHR,Gaussian,absolute_residual,2,1.9099784641093223,True,2400,600
0.1,2,30,20,Unscaled,Gaussian,absolute_residual,1,2.7154948594210224,True,2400,600
0.1,2,30,20,Unscaled,Gaussian,absolute_residual,2,2.7154948594210224,True,2400,600
0.1,2,30,21,TSCP_R,Gaussian,absolute_residual,1,3.5129276988696327,True,2400,600
0.1,2,30,21,TSCP_R,Gaussian,absolute_residual,2,2.5826699069404873,True,2400,600
0.1,2,30,21,Point_CHR,Gaussian,absolute_residual,1,3.2690881707422026,True,2400,600
0.1,2,30,21,Point_CHR,Gaussian,absolute_residual,2,3.7173557436215656,True,2400,600
0.1,2,30,21,Unscaled,Gaussian,absolute_residual,1,2.8118577504532514,True,2400,600
0.1,2,30,21,Unscaled,Gaussian,absolute_residual,2,2.8118577504532514,True,2400,600
0.1,2,30,22,TSCP_R,Gaussian,absolute_residual,1,4.533386522206973,True,2400,600
0.1,2,30,22,TSCP_R,Gaussian,absolute_residual,2,1.8278402272332088,True,2400,600
0.1,2,30,22,Point_CHR,Gaussian,absolute_residual,1,4.257045956895382,True,2400,600
0.1,2,30,22,Point_CHR,Gaussian,absolute_residual,2,2.588047740538443,True,2400,600
0.1,2,30,22,Unscaled,Gaussian,absolute_residual,1,3.986023582038314,True,2400,600
0.1,2,30,22,Unscaled,Gaussian,absolute_residual,2,3.986023582038314,True,2400,600
0.1,2,30,23,TSCP_R,Gaussian,absolute_residual,1,4.482471616312002,True,2400,600
0.1,2,30,23,TSCP_R,Gaussian,absolute_residual,2,2.321349550626418,True,2400,600
0.1,2,30,23,Point_CHR,Gaussian,absolute_residual,1,4.975754578599027,True,2400,600
0.1,2,30,23,Point_CHR,Gaussian,absolute_residual,2,2.6060554270738914,True,2400,600
0.1,2,30,23,Unscaled,Gaussian,absolute_residual,1,4.011225702105709,True,2400,600
0.1,2,30,23,Unscaled,Gaussian,absolute_residual,2,4.011225702105709,True,2400,600
0.1,2,30,24,TSCP_R,Gaussian,absolute_residual,1,3.7474028263167236,True,2400,600
0.1,2,30,24,TSCP_R,Gaussian,absolute_residual,2,2.046837129437832,True,2400,600
0.1,2,30,24,Point_CHR,Gaussian,absolute_residual,1,4.428076488012234,True,2400,600
0.1,2,30,24,Point_CHR,Gaussian,absolute_residual,2,2.7428787855619334,True,2400,600
0.1,2,30,24,Unscaled,Gaussian,absolute_residual,1,3.3441175894070923,True,2400,600
0.1,2,30,24,Unscaled,Gaussian,absolute_residual,2,3.3441175894070923,True,2400,600
0.1,2,30,25,TSCP_R,Gaussian,absolute_residual,1,3.7904150692206615,True,2400,600
0.1,2,30,25,TSCP_R,Gaussian,absolute_residual,2,1.9822652224928246,True,2400,600
0.1,2,30,25,Point_CHR,Gaussian,absolute_residual,1,3.3053208373845084,True,2400,600
0.1,2,30,25,Point_CHR,Gaussian,absolute_residual,2,2.0190616540706565,True,2400,600
0.1,2,30,25,Unscaled,Gaussian,absolute_residual,1,3.305320837461904,True,2400,600
0.1,2,30,25,Unscaled,Gaussian,absolute_residual,2,3.305320837461904,True,2400,600
0.1,2,30,26,TSCP_R,Gaussian,absolute_residual,1,4.991863506407367,True,2400,600
0.1,2,30,26,TSCP_R,Gaussian,absolute_residual,2,2.4658629213628984,True,2400,600
0.1,2,30,26,Point_CHR,Gaussian,absolute_residual,1,6.283895305324303,True,2400,600
0.1,2,30,26,Point_CHR,Gaussian,absolute_residual,2,2.5470712054016325,True,2400,600
0.1,2,30,26,Unscaled,Gaussian,absolute_residual,1,3.5132533731770694,True,2400,600
0.1,2,30,26,Unscaled,Gaussian,absolute_residual,2,3.5132533731770694,True,2400,600
0.1,2,30,27,TSCP_R,Gaussian,absolute_residual,1,5.331754263571592,True,2400,600
0.1,2,30,27,TSCP_R,Gaussian,absolute_residual,2,2.0165190372755792,True,2400,600
0.1,2,30,27,Point_CHR,Gaussian,absolute_residual,1,9.119771122681286,True,2400,600
0.1,2,30,27,Point_CHR,Gaussian,absolute_residual,2,2.2195199679957245,True,2400,600
0.1,2,30,27,Unscaled,Gaussian,absolute_residual,1,3.545023185413321,True,2400,600
0.1,2,30,27,Unscaled,Gaussian,absolute_residual,2,3.545023185413321,True,2400,600
0.1,2,30,28,TSCP_R,Gaussian,absolute_residual,1,3.8356246609374125,True,2400,600
0.1,2,30,28,TSCP_R,Gaussian,absolute_residual,2,1.7507045950296418,True,2400,600
0.1,2,30,28,Point_CHR,Gaussian,absolute_residual,1,3.416583881562086,True,2400,600
0.1,2,30,28,Point_CHR,Gaussian,absolute_residual,2,1.6965120806470377,True,2400,600
0.1,2,30,28,Unscaled,Gaussian,absolute_residual,1,3.011952480159279,True,2400,600
0.1,2,30,28,Unscaled,Gaussian,absolute_residual,2,3.011952480159279,True,2400,600
0.1,2,30,29,TSCP_R,Gaussian,absolute_residual,1,3.728466977907013,True,2400,600
0.1,2,30,29,TSCP_R,Gaussian,absolute_residual,2,1.9187231614094675,True,2400,600
0.1,2,30,29,Point_CHR,Gaussian,absolute_residual,1,4.012938474886512,True,2400,600
0.1,2,30,29,Point_CHR,Gaussian,absolute_residual,2,1.8958749632227212,True,2400,600
