alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,50,TSCP_R,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,18.898141757984842,2.3477201140522035,18.807247481611803
0.1,10,50,TSCP_R,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,16.291002726760457,1.891560764053059,16.128590594048987
0.1,10,50,TSCP_R,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,13.712895644471896,1.6601242142093275,13.707341503972684
0.1,10,50,TSCP_R,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,10.950885356809513,1.2961025725005995,10.942426035274169
0.1,10,50,TSCP_R,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,8.180036820349422,0.9507080986304282,8.135717386204895
0.1,10,50,TSCP_R,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,5.428378966317304,0.6249961154667147,5.363170506673622
0.1,10,50,TSCP_R,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.7213867188303134,0.351427817732699,2.6973110393858817
0.1,10,50,Unscaled,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.910317937907447,1.6813211499127476,19.949651159778135
0.1,10,50,Unscaled,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.910317937907447,1.6813211499127476,19.949651159778135
0.1,10,50,Unscaled,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.910317937907447,1.6813211499127476,19.949651159778135
0.1,10,50,Unscaled,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.910317937907447,1.6813211499127476,19.949651159778135
0.1,10,50,Unscaled,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.910317937907447,1.6813211499127476,19.949651159778135
0.1,10,50,Unscaled,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.910317937907447,1.6813211499127476,19.949651159778135
0.1,10,50,Unscaled,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.910317937907447,1.6813211499127476,19.949651159778135
0.1,10,50,Unscaled,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.910317937907447,1.6813211499127476,19.949651159778135
0.1,10,50,Unscaled,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.910317937907447,1.6813211499127476,19.949651159778135
0.1,10,50,Unscaled,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.910317937907447,1.6813211499127476,19.949651159778135
0.1,10,100,Empirical_copula,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,24.463291554232793,3.3123053199017867,23.94946164866971
0.1,10,100,Empirical_copula,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,21.893985417188592,2.28049871480111,21.89493552024846
0.1,10,100,Empirical_copula,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.405291950430097,2.1615487239457223,19.27964462668883
0.1,10,100,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,16.856419671443163,1.9705831470071853,16.666438809831998
0.1,10,100,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,14.304878258923265,1.5288252370045758,14.258270102548092
0.1,10,100,Empirical_copula,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,12.144425593267066,1.5061616491029144,12.10631493794622
0.1,10,100,Empirical_copula,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,9.590742134156951,1.1075123856511253,9.485914340024165
0.1,10,100,Empirical_copula,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,7.188543659174577,0.8225761443328022,7.039397823333099
0.1,10,100,Empirical_copula,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,4.873341483332798,0.5153288729743567,4.850923788184964
0.1,10,100,Empirical_copula,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.396758515163941,0.2780587308066108,2.3766965495752794
0.1,10,100,Point_CHR,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,27.49161611673513,3.7600509701001736,27.034468265195517
0.1,10,100,Point_CHR,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,24.71650289760024,3.5254726544188864,24.58085325246946
0.1,10,100,Point_CHR,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,21.557918867373257,2.7938188244664053,21.330880418915214
0.1,10,100,Point_CHR,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.333831778877645,2.629533344497362,19.278456049223486
0.1,10,100,Point_CHR,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,16.43956259899375,2.077877802896407,16.375676808861286
0.1,10,100,Point_CHR,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,13.539048076975812,1.9456275884401277,13.374150767754191
0.1,10,100,Point_CHR,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,10.899012202068826,1.4484062938580509,10.79797821005562
0.1,10,100,Point_CHR,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,8.112788936767707,1.0483856183046325,7.927345333784048
0.1,10,100,Point_CHR,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,5.427049811078994,0.7176691139065507,5.381818582126464
0.1,10,100,Point_CHR,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.675180889887558,0.3704498895934395,2.646519714953531
0.1,10,100,TSCP_R,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,26.606966305488807,2.328628128703705,26.376581932512288
0.1,10,100,TSCP_R,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,23.808408619558328,1.8792053001212428,23.85789688422119
0.1,10,100,TSCP_R,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,20.988803015851936,1.8166583330247599,21.08880931481126
0.1,10,100,TSCP_R,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,18.534128710396914,1.5834408400566122,18.542813314729777
0.1,10,100,TSCP_R,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,15.848323086185797,1.28025709899766,15.738168676718145
0.1,10,100,TSCP_R,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,13.247546146269986,1.1769249450868364,13.230376108663116
