alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,noise_ratio
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,4.145864459497606,0.22186647393805953,4.147525388674559,2
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,4.145864459497606,0.22186647393805953,4.147525388674559,2
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,4.145864459497606,0.22186647393805953,4.147525388674559,2
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,4.145864459497606,0.22186647393805953,4.147525388674559,2
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,4.145864459497606,0.22186647393805953,4.147525388674559,2
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,4.145864459497606,0.22186647393805953,4.147525388674559,2
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,4.145864459497606,0.22186647393805953,4.147525388674559,2
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,4.145864459497606,0.22186647393805953,4.147525388674559,2
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,4.145864459497606,0.22186647393805953,4.147525388674559,2
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,12.063507451221012,1.3767819204686833,12.020838702215887,5
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,10.174996855276907,1.1911903552783922,10.122801582420097,5
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,8.498050827969656,1.0486238604348215,8.424370886350642,5
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,7.06685373923289,0.8370683745548513,7.017615973213111,5
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,5.94649907414256,0.6375802234574615,5.891369772587012,5
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,5.008151637678021,0.5549486721712755,4.956462941526048,5
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,4.121302436487319,0.48146573314886926,4.062852675702572,5
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,3.4552790672202183,0.37985346432561623,3.441055219124304,5
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,2.8670138870802133,0.32824849899046266,2.8546582425986538,5
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.4092573894262497,0.2844193434531829,2.399163855793507,5
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,13.727441327664629,1.8995267390799615,13.544460885602621,5
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,11.395788633140748,1.6415960879522808,11.188733454485044,5
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,9.72882394181555,1.3024657170262721,9.655106751760748,5
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,7.929494538249767,1.0085244518396381,7.900642818454752,5
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,6.71031047153373,0.9586436808896938,6.600839829127083,5
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,5.607988621408453,0.7206355880690758,5.534253636569092,5
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,4.6351160029764795,0.6433676342234842,4.587032220799765,5
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,3.8386394821790555,0.4875379620523285,3.7730912956218408,5
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,3.2403779203870307,0.4327136901139461,3.1961707180546233,5
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,2.732799584500466,0.3819571305945898,2.705497034134228,5
