alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,heteroskedastic_fraction,heteroskedastic_strength,redraw_train_test,n_train,n_test
0.1,10,30,12,Unscaled,Gaussian,absolute_residual,0.965,272185270216760.03,27.76428296125492,0.0,0.5,1.5,True,7200,800
0.1,10,30,12,Empirical_copula,Gaussian,absolute_residual,0.76,31434299756.977303,35.23328247253646,0.0,0.5,1.5,True,7200,800
0.1,10,30,13,TSCP_R,Gaussian,absolute_residual,0.98625,1745629146623.4158,36.64693691304368,0.0030059814453125,0.5,1.5,True,7200,800
0.1,10,30,13,Point_CHR,Gaussian,absolute_residual,1.0,200012136102131.28,63.67064893696208,0.0009992122650146484,0.5,1.5,True,7200,800
0.1,10,30,13,Unscaled,Gaussian,absolute_residual,0.92375,18276623406193.06,21.192861323954183,0.0,0.5,1.5,True,7200,800
0.1,10,30,13,Empirical_copula,Gaussian,absolute_residual,0.835,64610777427.71718,28.531694484076635,0.0,0.5,1.5,True,7200,800
0.1,10,30,14,TSCP_R,Gaussian,absolute_residual,0.865,52803097446.0668,30.737534253629534,0.002106904983520508,0.5,1.5,True,7200,800
0.1,10,30,14,Point_CHR,Gaussian,absolute_residual,0.9175,222524072213.68127,38.452715142159356,0.0,0.5,1.5,True,7200,800
0.1,10,30,14,Unscaled,Gaussian,absolute_residual,0.81125,1477165869559.8079,16.479458097110257,0.0,0.5,1.5,True,7200,800
0.1,10,30,14,Empirical_copula,Gaussian,absolute_residual,0.7075,5865156255.188103,24.959774828271268,0.0,0.5,1.5,True,7200,800
0.1,10,30,15,TSCP_R,Gaussian,absolute_residual,0.95125,507572134310.5669,29.71920247627252,0.002997159957885742,0.5,1.5,True,7200,800
0.1,10,30,15,Point_CHR,Gaussian,absolute_residual,0.98125,23107602906719.1,50.79751453020754,0.0,0.5,1.5,True,7200,800
0.1,10,30,15,Unscaled,Gaussian,absolute_residual,0.88875,7298644913811.887,19.334111708661254,0.0,0.5,1.5,True,7200,800
0.1,10,30,15,Empirical_copula,Gaussian,absolute_residual,0.6825,15220748774.268972,23.00088698572411,0.0010001659393310547,0.5,1.5,True,7200,800
0.1,10,30,16,TSCP_R,Gaussian,absolute_residual,0.9125,101913957939.89627,28.73014241035225,0.0030100345611572266,0.5,1.5,True,7200,800
0.1,10,30,16,Point_CHR,Gaussian,absolute_residual,0.985,10727825381886.898,45.43033928009821,0.0,0.5,1.5,True,7200,800
0.1,10,30,16,Unscaled,Gaussian,absolute_residual,0.88125,3548139153046.9365,17.988711818417787,0.0,0.5,1.5,True,7200,800
0.1,10,30,16,Empirical_copula,Gaussian,absolute_residual,0.78125,23285327006.84816,29.492984987453507,0.0009961128234863281,0.5,1.5,True,7200,800
0.1,10,30,17,TSCP_R,Gaussian,absolute_residual,0.965,1163745539658.4077,39.27529911114442,0.0029931068420410156,0.5,1.5,True,7200,800
0.1,10,30,17,Point_CHR,Gaussian,absolute_residual,0.98125,5603355499069.556,51.338467399314794,0.0,0.5,1.5,True,7200,800
0.1,10,30,17,Unscaled,Gaussian,absolute_residual,0.92625,37400227981282.02,22.766036350629644,0.0,0.5,1.5,True,7200,800
0.1,10,30,17,Empirical_copula,Gaussian,absolute_residual,0.82625,51415743985.406456,25.661620590812095,0.0010006427764892578,0.5,1.5,True,7200,800
0.1,10,30,18,TSCP_R,Gaussian,absolute_residual,0.905,238446143254.252,39.950686786612266,0.0020003318786621094,0.5,1.5,True,7200,800
0.1,10,30,18,Point_CHR,Gaussian,absolute_residual,0.93,1350641357818.7476,49.990052579785015,0.001001119613647461,0.5,1.5,True,7200,800
0.1,10,30,18,Unscaled,Gaussian,absolute_residual,0.975,155401971421179.72,26.2509879360627,0.0,0.5,1.5,True,7200,800
0.1,10,30,18,Empirical_copula,Gaussian,absolute_residual,0.62625,13119282835.53833,29.175817327527536,0.0009992122650146484,0.5,1.5,True,7200,800
0.1,10,30,19,TSCP_R,Gaussian,absolute_residual,0.9425,328116010137.1791,32.726849019372,0.001996755599975586,0.5,1.5,True,7200,800
0.1,10,30,19,Point_CHR,Gaussian,absolute_residual,0.995,1853136017492411.5,111.79248011391402,0.0010008811950683594,0.5,1.5,True,7200,800
0.1,10,30,19,Unscaled,Gaussian,absolute_residual,0.95,74735659469812.19,24.39791911093483,0.0,0.5,1.5,True,7200,800
0.1,10,30,19,Empirical_copula,Gaussian,absolute_residual,0.77875,43231103901.28904,30.529014698294404,0.0,0.5,1.5,True,7200,800
0.1,10,30,20,TSCP_R,Gaussian,absolute_residual,0.92625,275901118289.76965,38.85574174838487,0.002994537353515625,0.5,1.5,True,7200,800
0.1,10,30,20,Point_CHR,Gaussian,absolute_residual,0.9475,1178272326514.8223,45.72962772447363,0.0009989738464355469,0.5,1.5,True,7200,800
0.1,10,30,20,Unscaled,Gaussian,absolute_residual,0.92875,37242636795958.914,22.756425319130003,0.0,0.5,1.5,True,7200,800
0.1,10,30,20,Empirical_copula,Gaussian,absolute_residual,0.7275,29800198150.27583,33.36443242668426,0.0,0.5,1.5,True,7200,800
0.1,10,30,21,TSCP_R,Gaussian,absolute_residual,0.8975,107937834590.20462,29.524927095261212,0.0029993057250976562,0.5,1.5,True,7200,800
0.1,10,30,21,Point_CHR,Gaussian,absolute_residual,0.9725,5672000399380.274,47.54078548583928,0.0,0.5,1.5,True,7200,800
0.1,10,30,21,Unscaled,Gaussian,absolute_residual,0.91125,19157749238963.312,21.292882053412626,0.0010030269622802734,0.5,1.5,True,7200,800
0.1,10,30,21,Empirical_copula,Gaussian,absolute_residual,0.75375,21875363601.475414,26.435348966988073,0.0,0.5,1.5,True,7200,800
0.1,10,30,22,TSCP_R,Gaussian,absolute_residual,0.9475,314512230793.45435,29.531942073323762,0.0029997825622558594,0.5,1.5,True,7200,800
0.1,10,30,22,Point_CHR,Gaussian,absolute_residual,0.92,491888196176.00525,34.6263790405686,0.0,0.5,1.5,True,7200,800
0.1,10,30,22,Unscaled,Gaussian,absolute_residual,0.84125,3113194244249.194,17.754997761552747,0.0,0.5,1.5,True,7200,800
0.1,10,30,22,Empirical_copula,Gaussian,absolute_residual,0.77,27305382143.938736,25.112731418065657,0.0,0.5,1.5,True,7200,800
0.1,10,30,23,TSCP_R,Gaussian,absolute_residual,0.90875,171922331254.06235,40.65200582148334,0.002999544143676758,0.5,1.5,True,7200,800
0.1,10,30,23,Point_CHR,Gaussian,absolute_residual,0.99625,168765216783061.3,53.052711698770466,0.001008749008178711,0.5,1.5,True,7200,800
0.1,10,30,23,Unscaled,Gaussian,absolute_residual,0.9225,26123515008502.516,21.963581564860874,0.0,0.5,1.5,True,7200,800
0.1,10,30,23,Empirical_copula,Gaussian,absolute_residual,0.7475,23076468677.559067,49.76410456803842,0.0,0.5,1.5,True,7200,800
0.1,10,30,24,TSCP_R,Gaussian,absolute_residual,0.90875,169882839660.0711,41.698355060373615,0.002999544143676758,0.5,1.5,True,7200,800
0.1,10,30,24,Point_CHR,Gaussian,absolute_residual,0.9525,4983015591584.405,64.51829180296278,0.0010004043579101562,0.5,1.5,True,7200,800
0.1,10,30,24,Unscaled,Gaussian,absolute_residual,0.97,463543621702526.06,29.282561290072135,0.0,0.5,1.5,True,7200,800
0.1,10,30,24,Empirical_copula,Gaussian,absolute_residual,0.80375,35826441003.824844,35.85584385913302,0.0010008811950683594,0.5,1.5,True,7200,800
0.1,10,30,25,TSCP_R,Gaussian,absolute_residual,0.9175,215579407785.3257,29.22968215947325,0.003006458282470703,0.5,1.5,True,7200,800
0.1,10,30,25,Point_CHR,Gaussian,absolute_residual,0.9575,1389482439454.507,33.338253717115435,0.0,0.5,1.5,True,7200,800
0.1,10,30,25,Unscaled,Gaussian,absolute_residual,0.85875,4459140455977.752,18.404546271181182,0.0,0.5,1.5,True,7200,800
0.1,10,30,25,Empirical_copula,Gaussian,absolute_residual,0.7825,18159160246.644672,24.2941719294631,0.001003265380859375,0.5,1.5,True,7200,800
0.1,10,30,26,TSCP_R,Gaussian,absolute_residual,0.93875,492838986586.9432,34.74324179110884,0.003990888595581055,0.5,1.5,True,7200,800
0.1,10,30,26,Point_CHR,Gaussian,absolute_residual,0.88625,587408616167.057,39.899649524132954,0.0,0.5,1.5,True,7200,800
0.1,10,30,26,Unscaled,Gaussian,absolute_residual,0.945,71744644524975.06,24.298471149324286,0.0,0.5,1.5,True,7200,800
0.1,10,30,26,Empirical_copula,Gaussian,absolute_residual,0.7975,46458475355.86589,28.332822698627908,0.0009965896606445312,0.5,1.5,True,7200,800
0.1,10,30,27,TSCP_R,Gaussian,absolute_residual,0.98875,2922336234212.8354,51.39731583633335,0.0029973983764648438,0.5,1.5,True,7200,800
0.1,10,30,27,Point_CHR,Gaussian,absolute_residual,0.94375,2011528888050.11,52.982588603212065,0.0010101795196533203,0.5,1.5,True,7200,800
0.1,10,30,27,Unscaled,Gaussian,absolute_residual,0.98125,381100831237080.06,28.71468058127243,0.0,0.5,1.5,True,7200,800
0.1,10,30,27,Empirical_copula,Gaussian,absolute_residual,0.78875,69679532420.5619,33.807601558367836,0.0,0.5,1.5,True,7200,800
0.1,10,30,28,TSCP_R,Gaussian,absolute_residual,0.895,136052701686.49265,37.57189989257262,0.003007650375366211,0.5,1.5,True,7200,800
0.1,10,30,28,Point_CHR,Gaussian,absolute_residual,0.97125,1278919573316.8176,45.734623361888495,0.0,0.5,1.5,True,7200,800
0.1,10,30,28,Unscaled,Gaussian,absolute_residual,0.93875,34182554487622.406,22.562148402769736,0.0,0.5,1.5,True,7200,800
0.1,10,30,28,Empirical_copula,Gaussian,absolute_residual,0.6725,11314418485.676907,32.22030220920908,0.0009911060333251953,0.5,1.5,True,7200,800
0.1,10,30,29,TSCP_R,Gaussian,absolute_residual,0.91125,163472361077.04016,30.06980130272356,0.002993345260620117,0.5,1.5,True,7200,800
0.1,10,30,29,Point_CHR,Gaussian,absolute_residual,0.95,931202299050.8054,35.652132727446585,0.0010013580322265625,0.5,1.5,True,7200,800
0.1,10,30,29,Unscaled,Gaussian,absolute_residual,0.895,10657656906090.781,20.0801139740829,0.0,0.5,1.5,True,7200,800
0.1,10,30,29,Empirical_copula,Gaussian,absolute_residual,0.73875,19985050878.60846,31.065911169054267,0.0010097026824951172,0.5,1.5,True,7200,800
0.1,10,30,30,TSCP_R,Gaussian,absolute_residual,0.8525,47386789339.39206,23.8708550697027,0.002010345458984375,0.5,1.5,True,7200,800
0.1,10,30,30,Point_CHR,Gaussian,absolute_residual,0.89625,315551768524.1956,32.536263803596114,0.0009925365447998047,0.5,1.5,True,7200,800
0.1,10,30,30,Unscaled,Gaussian,absolute_residual,0.88875,5835507589094.889,18.906357418039036,0.0,0.5,1.5,True,7200,800
