alpha,n_dim,n_cal,method,noise_type,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,10,50,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.92173125,0.05582392757939421,253188066568.5626,531487337717.53705,29.492256977610555,0.00041921138763427733
0.1,10,50,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.90924375,0.04329871292709767,54952342781.97746,50627134970.52494,25.61812929980392,0.0031954550743103025
0.1,10,50,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.90364375,0.038994865316381244,10093491131506.338,12813680928244.348,19.10490229071121,9.009242057800293e-05
0.1,10,100,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.87294375,0.03634116017758327,23831996807.949528,14978640104.714577,23.852419045453424,0.0012377727031707764
0.1,10,100,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9041750000000001,0.04231752877007389,52357756794.58839,48695172464.79743,25.67680484784363,0.0004424214363098145
0.1,10,100,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9069687500000001,0.03185296126964852,35685283681.005455,20415728718.98688,24.536831135573863,0.0037892377376556397
0.1,10,100,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9020625,0.03425530210583187,7424283936067.505,5195293104021.893,18.969182692227548,6.481170654296874e-05
0.1,10,300,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.8907312500000001,0.023157369881674453,23380888554.11532,7806759825.266451,23.92928522292327,0.0038460171222686767
0.1,10,300,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9006624999999999,0.029413207537400444,30452086905.417458,15357866592.224085,24.33541577293572,0.0004953324794769287
0.1,10,300,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.90214375,0.020503392253650003,26395590472.016117,8212722992.430255,24.180577954308568,0.00433476448059082
0.1,10,300,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.90045625,0.02048147584284407,5957036377962.499,2277539139599.009,18.84948271253147,5.504846572875976e-05
0.1,10,500,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.89330625,0.0170412306229103,22481684799.76386,5108127263.877612,23.823908914724385,0.0076562738418579105
0.1,10,500,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9015125,0.02135434402630927,27379836154.45595,9186247279.651903,24.35180764315305,0.0005295181274414063
0.1,10,500,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9005312499999999,0.01681186425821608,24483222774.60386,5554570187.056368,24.120393597077694,0.005461574792861939
0.1,10,500,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.90014375,0.017597617856077632,5669262854468.911,1704355096544.2253,18.73513704582794,9.511947631835937e-05
0.1,10,30,Empirical_copula,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.8340062500000001,0.07343406024767939,5935895746.675541,10622472188.359156,19.78755129173968,0.000496973991394043
0.1,10,30,Point_CHR,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.9409624999999999,0.05637245325671843,412974922560.34155,1277561858628.9946,27.826263753711018,0.00041513800621032713
0.1,10,30,TSCP_R,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.91865625,0.04880061756588287,27619836372.813587,43527552263.82927,22.835714800286983,0.0025673532485961915
0.1,10,30,Unscaled,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.9024437500000001,0.049331475711933505,6759965480608.722,10605885040190.562,17.808668391222348,4.4988393783569334e-05
0.1,10,50,Empirical_copula,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.8644750000000001,0.05146020441264255,6381437866.238614,7068082101.005097,20.30249222110635,0.000660250186920166
0.1,10,50,Point_CHR,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.9267125,0.05272316025130152,77749564084.36899,219911268886.8188,24.888199614385528,0.0004298877716064453
0.1,10,50,TSCP_R,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.91241875,0.03994953582962526,15088765770.660215,16965149079.6158,21.940798834928003,0.0028619837760925295
0.1,10,50,Unscaled,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.90655625,0.03796663138773521,5456154181157.062,7397651043689.877,18.00509807209515,5.497574806213379e-05
0.1,10,100,Empirical_copula,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.88528125,0.036915341296712444,6378070626.550488,4735077697.545433,20.66082044403089,0.001139986515045166
0.1,10,100,Point_CHR,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.90185625,0.04419932181245437,13616867146.037334,17270677042.069225,21.90010105987419,0.00040530085563659666
0.1,10,100,TSCP_R,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.90813125,0.03178128713563199,9470569986.578053,7338810994.180088,21.39590888624052,0.002992236614227295
0.1,10,100,Unscaled,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.9002312499999999,0.03321216192051753,3617351712977.9175,2908640559836.643,17.6222056266584,6.0023069381713866e-05
0.1,10,300,Empirical_copula,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.894825,0.020661956763250475,5748257173.4784155,2276692076.4203677,20.841454451875435,0.003628758192062378
0.1,10,300,Point_CHR,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.9018125,0.027093486371614208,7914429029.761635,5163044297.653258,21.147651641276482,0.00044057369232177737
0.1,10,300,TSCP_R,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.9030875,0.020359870835844264,6586065938.938219,2535284308.5764513,21.020671241308882,0.004090906381607056
0.1,10,300,Unscaled,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.9008499999999999,0.02088447825924326,2900478949760.6475,1440860282484.925,17.463749929263116,7.503867149353028e-05
0.1,10,500,Empirical_copula,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.896175,0.017729400956926263,5555515147.539842,1720055227.0266912,20.836322783527855,0.007578297853469849
0.1,10,500,Point_CHR,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.90185,0.020541491899256897,6815814792.52795,2812924343.009541,21.17471288146687,0.0005203795433044434
0.1,10,500,TSCP_R,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.9002625000000001,0.017741774759252232,5913464536.131852,1740890532.9089441,20.883444461170463,0.004993264675140381
0.1,10,500,Unscaled,Gaussian,0.9,equicorrelated,absolute_residual,True,7200,800,200,0.89920625,0.016595986935077016,2631717323556.3594,898604814258.3636,17.35588264883583,7.512211799621582e-05
