dataset,method,coordinate,target,n_trials,full_length_mean,full_length_sd,paired_length_ratio_mean,paired_length_ratio_sd,infinite_fraction,marginal_coverage_mean,marginal_coverage_sd,marginal_mc95_lower,marginal_mc95_upper
scm1d,TSCP_R,2,MTLp2,200,485.35136514069075,61.03106132494093,0.850299679691191,0.10190527114136264,0.0,0.9858465068842426,0.005529136943179755,0.9850802075998228,0.9866128061686623
scm1d,TSCP_R,3,MTLp3,200,475.993788188935,60.60746056685081,0.8333847091280882,0.09672408066533847,0.0,0.9858159102498725,0.0054310322296099185,0.985063207585066,0.9865686129146789
scm1d,TSCP_R,4,MTLp4,200,533.3527617881073,44.92909460527453,0.9342715307634107,0.06841141535445883,0.0,0.9848674145843956,0.0045354887901423654,0.9842388279080126,0.9854960012607786
scm1d,TSCP_R,5,MTLp5,200,584.2151540011054,49.86021876858915,1.0240636927560245,0.08560508409823785,0.0,0.9812340642529321,0.005369307890094074,0.9804899161451368,0.9819782123607275
scm1d,TSCP_R,6,MTLp6,200,661.7145406647141,56.498212119684624,1.159129642287766,0.08771376743762917,0.0,0.9830214176440591,0.005184270147137667,0.9823029144590565,0.9837399208290618
scm1d,TSCP_R,7,MTLp7,200,654.4421480564895,51.878893098960376,1.1465046827348775,0.08099777418659528,0.0,0.9835492095869455,0.0052522443460257424,0.9828212856586148,0.9842771335152761
scm1d,TSCP_R,8,MTLp8,200,706.8324684557557,65.27780770816014,1.2383713443709488,0.10565518585387794,0.0,0.9840872004079552,0.005108476152061589,0.9833792017347393,0.9847951990811711
scm1d,TSCP_R,9,MTLp9,200,449.0229926689499,47.17088982780371,0.7862014753500091,0.07190861251315096,0.0,0.98383222845487,0.00547147695002995,0.9830739204377934,0.9845905364719465
scm1d,TSCP_R,10,MTLp10,200,511.0852128860608,49.886191177501715,0.8955111355506173,0.08263329787672852,0.0,0.9844390617032126,0.00552097251187806,0.9836738939512415,0.9852042294551837
scm1d,TSCP_R,11,MTLp11,200,472.6785858203593,46.100163264610764,0.8283499384871489,0.07795813403837876,0.0,0.9852065272819989,0.004822328846071415,0.9845381866020778,0.9858748679619199
scm1d,TSCP_R,12,MTLp12,200,533.4939806295718,50.451913569248084,0.934396860331722,0.07935953444635281,0.0,0.9847883732789393,0.005086895414327519,0.9840833655433784,0.9854933810145002
scm1d,TSCP_R,13,MTLp13,200,570.7380836583857,63.42128825110562,0.9997373946120767,0.10336693653786806,0.0,0.9836792452830189,0.005595153932655532,0.9829037965106565,0.9844546940553812
scm1d,TSCP_R,14,MTLp14,200,650.3228360895462,64.55118678405842,1.1399252968335234,0.11190312802428239,0.0,0.9838296787353391,0.004740228000440964,0.9831727166520966,0.9844866408185816
scm1d,TSCP_R,15,MTLp15,200,599.3569928078554,50.1347807458928,1.0501901069246276,0.08095822920680665,0.0,0.9844543600203977,0.004709359058967933,0.9838016761541725,0.9851070438866228
scm1d,TSCP_R,16,MTLp16,200,624.1326323553462,56.64458008710747,1.0941972842518966,0.09939209303806502,0.0,0.9840311065782765,0.004985826268376319,0.9833401063116959,0.9847221068448572
scm20d,Empirical_copula,1,LBL,200,483.16403505714874,63.2275513089606,0.7340147317995483,0.09342243870502391,0.0,0.9827034559643255,0.006187673266751924,0.9818458882018949,0.9835610237267561
scm20d,Empirical_copula,2,MTLp2A,200,541.463236677013,59.67971920553321,0.8228987141199005,0.08963454230664708,0.0,0.982541806020067,0.006108399598842174,0.9816952250274735,0.9833883870126605
scm20d,Empirical_copula,3,MTLp3A,200,512.1048283286755,50.006447536757236,0.7782331598203516,0.07387916962036835,0.0,0.9832413600891863,0.005881371572077639,0.9824262435758127,0.9840564766025599
scm20d,Empirical_copula,4,MTLp4A,200,583.2400849989724,59.294798272390366,0.8858431000630699,0.08101489022092052,0.0,0.9830769230769231,0.006136268875519245,0.9822264795996426,0.9839273665542035
scm20d,Empirical_copula,5,MTLp5A,200,690.1623618078742,88.15458117828268,1.0481828287462613,0.12789445698098076,0.0,0.9827452619843924,0.006926636145352667,0.981785279192111,0.9837052447766738
scm20d,Empirical_copula,6,MTLp6A,200,734.5062645457169,79.83416131678216,1.1154511652759143,0.11218552563905113,0.0,0.982396878483835,0.0065479745542563784,0.981489375510606,0.9833043814570639
scm20d,Empirical_copula,7,MTLp7A,200,747.2425567771925,79.688636880376,1.1347504975618168,0.11056437071307527,0.0,0.9825613154960982,0.00650323597289894,0.9816600129739039,0.9834626180182924
scm20d,Empirical_copula,8,MTLp8A,200,801.9400912813021,93.9595001760228,1.2180931962187607,0.1352810035400668,0.0,0.9823578595317726,0.006734964386547419,0.9814244410899722,0.983291277973573
scm20d,Empirical_copula,9,MTLp9A,200,504.8089724362328,55.26415891296513,0.766974114649336,0.08063792819682113,0.0,0.9822185061315497,0.0067551611364098235,0.9812822885630273,0.9831547237000721
scm20d,Empirical_copula,10,MTLp10A,200,595.7003786159489,78.04203012744266,0.9047603856337628,0.11229202598024655,0.0,0.9827536231884058,0.0068416621170250295,0.9818054171956088,0.9837018291812027
scm20d,Empirical_copula,11,MTLp11A,200,534.9097739377063,56.49876642780846,0.813126296380382,0.0866859638598135,0.0,0.9828483835005574,0.006406805289579487,0.9819604455892207,0.983736321411894
scm20d,Empirical_copula,12,MTLp12A,200,590.7497815859216,66.94290562811418,0.8974745946917442,0.09628348188472466,0.0,0.9822937569676701,0.006477399074143745,0.9813960352569535,0.9831914786783866
scm20d,Empirical_copula,13,MTLp13A,200,671.801354433668,71.74518048589496,1.020403388636785,0.10059346309256455,0.0,0.9831884057971013,0.006205444817984582,0.9823283750233305,0.9840484365708722
scm20d,Empirical_copula,14,MTLp14A,200,749.4646154635288,96.27800942068808,1.1374387006332047,0.13228099490305426,0.0,0.9826170568561872,0.007020177721318758,0.9816441098628989,0.9835900038494755
scm20d,Empirical_copula,15,MTLp15A,200,691.7663032395199,76.71859501695062,1.0500422942430918,0.10192339358496236,0.0,0.9823606465997772,0.006452746101022758,0.9814663416168168,0.9832549515827376
scm20d,Empirical_copula,16,MTLp16A,200,753.1283887106345,87.82453205106012,1.143441946892572,0.12169788244295394,0.0,0.9822408026755852,0.0069650174499711484,0.9812755005058736,0.9832061048452968
scm20d,Unscaled,1,LBL,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9925557413600891,0.002277390143057565,0.9922401111894307,0.9928713715307474
