dataset,alpha,n_trials,n_cal,n_dim,fallback_count,fallback_rate,backward_run_count,backward_run_rate,nonfallback_runs,searched_coordinates,backward_coordinates,binary_candidates,backward_candidates,runtime_ms_mean,runtime_ms_sd,runtime_ms_median,fallback_one_sided95_upper,backward_one_sided95_upper,binary_only_count,binary_only_runtime_ms_mean,binary_only_runtime_ms_sd,binary_only_runtime_ms_median,any_backward_count,any_backward_runtime_ms_mean,any_backward_runtime_ms_sd,any_backward_runtime_ms_median,fallback_runtime_ms_mean,fallback_runtime_ms_sd,fallback_runtime_ms_median
scm20d,0.1,200,448,16,0,0.0,0,0.0,200,3200,0,27159,0,7.120385,0.3429187237971314,7.10605,0.014867039231272056,0.014867039231272056,200,7.120385,0.3429187237971314,7.10605,0,,,,,,
scm20d,0.3,200,448,16,0,0.0,0,0.0,200,3200,0,26901,0,6.2976405,0.34574922755012416,6.2666,0.014867039231272056,0.014867039231272056,200,6.2976405,0.34574922755012416,6.2666,0,,,,,,
scm20d,0.5,200,448,16,0,0.0,0,0.0,200,3200,0,26785,0,5.8182624999999994,0.3807285337689827,5.7786,0.014867039231272056,0.014867039231272056,200,5.8182624999999994,0.3807285337689827,5.7786,0,,,,,,
scm20d,0.7,200,448,16,0,0.0,0,0.0,200,3200,0,26837,0,5.698140500000001,0.3817109242057924,5.69475,0.014867039231272056,0.014867039231272056,200,5.698140500000001,0.3817109242057924,5.69475,0,,,,,,
scm20d,0.9,200,448,16,186,0.93,0,0.0,14,224,0,1848,0,0.76676,0.8129494542564619,0.54195,0.9571873519806745,0.014867039231272056,14,3.67625,0.5412866690367713,3.71835,0,,,,0.5477661290322581,0.03858961746747385,0.53825
energy,0.1,200,38,2,0,0.0,0,0.0,200,400,0,1990,0,0.46564099999999997,0.043090109149695396,0.45755,0.014867039231272056,0.014867039231272056,200,0.46564099999999997,0.043090109149695396,0.45755,0,,,,,,
energy,0.3,200,38,2,1,0.005,0,0.0,199,398,0,1859,0,0.3520745,0.06319031952887091,0.34425,0.023498470434950704,0.014867039231272056,199,0.353219095477387,0.06123593829257168,0.3444,0,,,,0.1243,,0.1243
energy,0.5,200,38,2,140,0.7,3,0.015,60,120,6,513,6,0.16567500000000002,0.08058075056618079,0.11785000000000001,0.753303446648477,0.03830970849856934,57,0.2682614035087719,0.07087646384073076,0.2637,3,0.29460000000000003,0.019694669329541933,0.2868,0.121145,0.024395978926244875,0.11460000000000001
energy,0.7,200,38,2,190,0.95,10,0.05,10,20,20,0,20,0.129701,0.04522345634756481,0.1128,0.9726257464748855,0.08333515106637196,0,,,,10,0.28958,0.026650611833710522,0.28955,0.12128631578947369,0.02638025600690214,0.1124
energy,0.9,200,38,2,190,0.95,10,0.05,10,20,20,0,20,0.126725,0.03971006574671011,0.11245,0.9726257464748855,0.08333515106637196,0,,,,10,0.27737,0.01224863257674096,0.2773,0.1187963157894737,0.01972930399406491,0.11185
student,0.1,200,32,3,0,0.0,0,0.0,200,600,0,3007,0,0.6195525,0.07766732168705318,0.60795,0.014867039231272056,0.014867039231272056,200,0.6195525,0.07766732168705318,0.60795,0,,,,,,
student,0.3,200,32,3,0,0.0,0,0.0,200,600,0,2895,0,0.4946035,0.11927999591245118,0.46725,0.014867039231272056,0.014867039231272056,200,0.4946035,0.11927999591245118,0.46725,0,,,,,,
student,0.5,200,32,3,5,0.025,0,0.0,195,585,0,2748,0,0.41029449999999995,0.09896561313235683,0.40075,0.05184333912029053,0.014867039231272056,195,0.41727076923076917,0.08981390564000906,0.4018,0,,,,0.13821999999999998,0.03362673043874471,0.1231
student,0.7,200,32,3,175,0.875,0,0.0,25,75,0,332,0,0.1454955,0.06721852632389214,0.1159,0.9115836987714445,0.014867039231272056,25,0.29971600000000004,0.04738629970782694,0.2952,0,,,,0.123464,0.03086072376442859,0.1149
student,0.9,200,32,3,200,1.0,0,0.0,0,0,0,0,0,0.12294250000000001,0.033579352410245455,0.1124,1.0,0.014867039231272056,0,,,,0,,,,0.12294250000000001,0.033579352410245455,0.1124
