dataset,trial,n_cal,n_test,n_dim,alpha,fallback,any_backward,backward_coordinates,binary_coordinates,binary_candidates,backward_candidates,regime,runtime_ms,zero_scale_coordinates,fit_seconds
stock,124,15,64,6,0.1,0,0,0,6,25,0,binary_only,0.967,0,0.015002199914306402
stock,125,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0368,0,0.017093000002205372
stock,126,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9807,0,0.015122300013899803
stock,127,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9502,0,0.015177400084212422
stock,128,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0121,0,0.014768699882552028
stock,129,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9841,0,0.017839200096204877
stock,130,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9581,0,0.016219499986618757
stock,131,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0426,0,0.013163000112399459
stock,132,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9526,0,0.015519400127232075
stock,133,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0732,0,0.018137600040063262
stock,134,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0947,0,0.013136500027030706
stock,135,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0144,0,0.012917699990794063
stock,136,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0308,0,0.012875399785116315
stock,137,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0485,0,0.013065599836409092
stock,138,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9235,0,0.014195000054314733
stock,139,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9506,0,0.01824160013347864
stock,140,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9877,0,0.01311960001476109
stock,141,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9551,0,0.012941300170496106
stock,142,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9481,0,0.015843800036236644
stock,143,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0166,0,0.015550300013273954
stock,144,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9283,0,0.014306999975815415
stock,145,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9538,0,0.015140200033783913
stock,146,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0516,0,0.013229100033640862
stock,147,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.002,0,0.016841299831867218
stock,148,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9805,0,0.013581200037151575
stock,149,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.021,0,0.015735399909317493
stock,150,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0194,0,0.013224800117313862
stock,151,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9642,0,0.015630999812856317
stock,152,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9106,0,0.01968759996816516
stock,153,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9569,0,0.01363850012421608
stock,154,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0053,0,0.017733100103214383
stock,155,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0103,0,0.01296270010061562
stock,156,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0094,0,0.01716129994019866
stock,157,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.031,0,0.013155299937352538
stock,158,15,64,6,0.1,0,0,0,6,27,0,binary_only,1.1071,0,0.013242099899798632
stock,159,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0554,0,0.01623079995624721
stock,160,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0559,0,0.013843799941241741
stock,161,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9874,0,0.018541299970820546
stock,162,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9586,0,0.012856899993494153
stock,163,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9703,0,0.01741040009073913
